event_date,rows,explicit_zero_rows,visible_activity_rows,explicit_zero_share
2025-04-27,68623,9606,59017,0.13998222170409338
2025-04-28,65685,9648,56037,0.1468828499657456
2025-04-29,65450,9789,55661,0.14956455309396485
2025-04-30,63750,9990,53760,0.15670588235294117
2025-05-01,61410,9110,52300,0.14834717472724313
2025-05-02,62947,8849,54098,0.14057858198166712
2025-05-03,63279,8602,54677,0.1359376728456518
2025-05-04,66884,8852,58032,0.13234854374738353
2025-05-05,65832,9279,56553,0.14094969012030623
2025-05-06,65059,9176,55883,0.14104120874898168
2025-05-07,62436,9417,53019,0.15082644628099173
2025-05-08,61105,8576,52529,0.14034858031257672
2025-05-09,52427,7849,44578,0.14971293417513876
2025-05-10,61810,8418,53392,0.1361915547646012
2025-05-11,67520,8707,58813,0.12895438388625594
2025-05-12,67384,9423,57961,0.1398403181764217
2025-05-13,68070,9479,58591,0.13925370941677684
2025-05-14,67845,9852,57993,0.1452133539686049
2025-05-15,67262,9916,57346,0.1474235080729089
2025-05-16,64390,9435,54955,0.1465289641248641
2025-05-17,62203,8818,53385,0.1417616513672974
2025-05-18,68345,8963,59382,0.131143463311142
2025-05-19,70118,10022,60096,0.14293048860492313
2025-05-20,69730,10180,59550,0.14599168220278216
2025-05-21,67684,9673,58011,0.14291413037054548
2025-05-22,66878,10100,56778,0.1510212625975657
2025-05-23,65409,10165,55244,0.15540674830680792
2025-05-24,62781,9446,53335,0.15045953393542633
2025-05-25,67663,9553,58110,0.1411849903196725
2025-05-26,69627,10355,59272,0.14872104212446322
2025-05-27,68849,9674,59175,0.14051039230780404
2025-05-28,68096,10017,58079,0.14710115131578946
2025-05-29,68206,10218,57988,0.1498108670791426
2025-05-30,64593,9457,55136,0.14640905361262055
2025-05-31,62793,9124,53669,0.14530282037806763
2025-06-01,66299,9354,56945,0.14108810087633297
2025-06-02,67569,9426,58143,0.1395018425609377
2025-06-03,68228,9719,58509,0.14244884798030133
2025-06-04,68552,9923,58629,0.144751429571712
2025-06-05,67598,10048,57550,0.14864345098967424
2025-06-06,64690,9602,55088,0.1484309785129077
2025-06-07,62291,8866,53425,0.14233195806777865
2025-06-08,67986,8944,59042,0.13155649692583768
2025-06-09,68807,9652,59155,0.14027642536369847
2025-06-10,68941,9968,58973,0.14458740082099186
2025-06-11,67237,10081,57156,0.14993232892603775
2025-06-12,63922,9231,54691,0.14441037514470761
2025-06-13,64460,9251,55209,0.14351535836177473
2025-06-14,64257,9171,55086,0.1427237499416406
2025-06-15,67953,9109,58844,0.1340485335452445
2025-06-16,69321,10004,59317,0.14431413280246966
2025-06-17,68597,9857,58740,0.1436943306558596
2025-06-18,68143,9945,58198,0.14594309026605815
2025-06-19,67329,9745,57584,0.1447370375321184
2025-06-20,65999,9991,56008,0.15138108153153837
2025-06-21,64613,8971,55642,0.1388420286939161
2025-06-22,68004,9081,58923,0.13353626257278983
2025-06-23,68735,10017,58718,0.1457336146068233
2025-06-24,67947,10218,57729,0.1503819153163495
2025-06-25,69040,10551,58489,0.152824449594438
2025-06-26,69136,10649,58487,0.15402973848646145
2025-06-27,65611,10567,55044,0.16105531084726646
2025-06-28,63120,9471,53649,0.15004752851711026
2025-06-29,67714,9227,58487,0.13626428803497062
2025-06-30,70015,10220,59795,0.14596872098835964
2025-07-01,70251,10813,59438,0.15391951715989807
2025-07-02,68997,10324,58673,0.1496296940446686
2025-07-03,68616,10988,57628,0.16013757724145972
2025-07-04,65366,10684,54682,0.16344888780099745
2025-07-05,62399,9620,52779,0.1541691373259187
2025-07-06,67543,9808,57735,0.14521119879188074
2025-07-07,68723,9927,58796,0.1444494565138309
2025-07-08,69393,10537,58856,0.15184528698860117
2025-07-09,69960,10394,59566,0.14857061177815895
2025-07-10,70012,11296,58716,0.16134376963949038
2025-07-11,66623,10252,56371,0.15388079191870677
2025-07-12,64360,9386,54974,0.14583592293349906
2025-07-13,69108,10269,58839,0.1485935058169821
2025-07-14,71258,10400,60858,0.145948525077886
2025-07-15,72611,11293,61318,0.15552739942983845
2025-07-16,72650,11535,61115,0.15877494838265657
2025-07-17,69441,10496,58945,0.15114989703489293
2025-07-18,67443,11045,56398,0.16376792254199843
2025-07-19,63631,9415,54216,0.14796247112256605
2025-07-20,69031,10231,58800,0.14820877576740885
2025-07-21,71883,11236,60647,0.15630955858826148
2025-07-22,71757,10549,61208,0.14701004780021462
2025-07-23,72159,10903,61256,0.15109688327166396
2025-07-24,70820,10432,60388,0.14730302174526969
2025-07-25,68926,11285,57641,0.16372631517859734
2025-07-26,65274,10244,55030,0.1569384440971903
2025-07-27,68833,9773,59060,0.14198131710080922
2025-07-28,72928,11271,61657,0.15454969284774023
2025-07-29,72408,11207,61201,0.1547757153905646
2025-07-30,71773,10751,61022,0.14979170440137657
2025-07-31,69890,10147,59743,0.14518529117184145
2025-08-01,68488,11164,57324,0.16300665810068918
2025-08-02,64718,9472,55246,0.14635804567508268
2025-08-03,70242,10545,59697,0.15012385752114119
2025-08-04,72605,10538,62067,0.14514151917911988
2025-08-05,73448,10656,62792,0.14508223505064807
2025-08-06,73491,10800,62691,0.14695677021676123
2025-08-07,72809,11288,61521,0.15503577854386133
2025-08-08,69077,10309,58768,0.14923925474470517
2025-08-09,66457,9593,56864,0.14434897753434553
2025-08-10,71360,9905,61455,0.13880325112107622
2025-08-11,75225,11558,63667,0.15364572947823196
2025-08-12,75376,10830,64546,0.1436796858416472
2025-08-13,76030,11224,64806,0.14762593713008024
2025-08-14,75177,11737,63440,0.15612487861979063
2025-08-15,71480,11179,60301,0.1563933967543369
2025-08-16,69509,10763,58746,0.154843257707635
2025-08-17,74420,10283,64137,0.13817522171459284
2025-08-18,77066,11823,65243,0.153413956868139
2025-08-19,76684,11069,65615,0.14434562620624902
2025-08-20,78040,12153,65887,0.15572783188108663
2025-08-21,77202,12322,64880,0.15960726406051656
2025-08-22,73934,11957,61977,0.16172532258500824
2025-08-23,72278,11125,61153,0.15391958825645424
2025-08-24,76216,10644,65572,0.13965571533536264
2025-08-25,79744,12451,67293,0.15613713884430178
2025-08-26,79185,11458,67727,0.14469912230851803
2025-08-27,79370,12518,66852,0.15771702154466424
2025-08-28,76969,11436,65533,0.1485792981589991
2025-08-29,76016,12357,63659,0.1625578825510419
2025-08-30,71157,10644,60513,0.14958472110965892
2025-08-31,74069,10986,63083,0.14832115999945997
2025-09-01,72669,11352,61317,0.15621516740288155
2025-09-02,77107,12283,64824,0.15929811819938527
2025-09-03,77073,11494,65579,0.1491313430124687
2025-09-04,77472,12202,65270,0.1575020652622883
2025-09-05,73108,11606,61502,0.15875143623132898
2025-09-06,70611,10657,59954,0.15092549319511125
2025-09-07,75811,12028,63783,0.15865771457967842
2025-09-08,76353,11406,64947,0.14938509292365723
2025-09-09,79435,13077,66358,0.16462516522943288
2025-09-10,78418,12394,66024,0.15805044760131604
2025-09-11,78699,12301,66398,0.15630440031004206
2025-09-12,76517,12477,64040,0.16306180325940642
2025-09-13,73287,10937,62350,0.14923519860275355
2025-09-14,77212,10792,66420,0.1397710200486971
2025-09-15,80291,12614,67677,0.15710353588820664
2025-09-16,79832,11647,68185,0.1458938771419982
2025-09-17,79995,11968,68027,0.14960935058441152
2025-09-18,79198,12162,67036,0.15356448395161493
2025-09-19,77332,12234,65098,0.158201003465577
2025-09-20,74770,11333,63437,0.15157148589006286
2025-09-21,79731,12336,67395,0.15472024682996577
2025-09-22,80819,13030,67789,0.16122446454422845
2025-09-23,80599,12079,68520,0.14986538294519783
2025-09-24,81448,13025,68423,0.15991798448089578
2025-09-25,81023,12124,68899,0.14963652296261556
2025-09-26,78244,12055,66189,0.15406932160932468
2025-09-27,77025,11153,65872,0.14479714378448555
2025-09-28,82621,11357,71264,0.13745899952796506
2025-09-29,83632,12794,70838,0.152979720681079
2025-09-30,82375,12213,70162,0.14826100151745067
2025-10-01,82153,13092,69061,0.1593611919223887
2025-10-02,81837,13073,68764,0.15974436990603272
2025-10-03,78565,12102,66463,0.15403805765926304
2025-10-04,77430,11216,66214,0.1448534159886349
2025-10-05,82394,11268,71126,0.13675753088817147
2025-10-06,83817,12571,71246,0.14998150733144827
2025-10-07,82950,12703,70247,0.15314044605183846
2025-10-08,82384,12295,70089,0.14924014371722666
2025-10-09,82743,12181,70562,0.14721487014007228
2025-10-10,81161,13023,68138,0.16045884106898634
2025-10-11,80224,11867,68357,0.1479233147187874
2025-10-12,86757,12680,74077,0.14615535345851055
2025-10-13,86507,12500,74007,0.14449697712323858
2025-10-14,87073,13263,73810,0.15232046673480873
2025-10-15,86805,13957,72848,0.16078566902828179
2025-10-16,85470,12863,72607,0.1504972504972505
2025-10-17,83277,13561,69716,0.16284208124692293
2025-10-18,81326,11784,69542,0.14489831050340604
2025-10-19,86108,11972,74136,0.13903470060853812
2025-10-20,87487,13823,73664,0.15800061723456058
2025-10-21,86252,12672,73580,0.14691833232852572
2025-10-22,85839,13253,72586,0.154393690513636
2025-10-23,85837,14098,71739,0.16424152754639607
2025-10-24,83807,13663,70144,0.16302934122448007
2025-10-25,84320,13172,71148,0.15621442125237192
2025-10-26,88574,13368,75206,0.15092465057466073
2025-10-27,88633,14348,74285,0.1618810149718502
2025-10-28,88606,13857,74749,0.1563889578583843
2025-10-29,87853,13789,74064,0.15695536862713852
2025-10-30,87345,14496,72849,0.16596256225313413
2025-10-31,85120,13877,71243,0.16302866541353384
2025-11-01,83926,14208,69718,0.1692919953292186
2025-11-02,85233,12871,72362,0.15100958548918847
2025-11-03,86913,12988,73925,0.14943679311495403
2025-11-04,90014,12868,77146,0.14295554024929455
2025-11-05,89003,13442,75561,0.15102861701290968
2025-11-06,90302,14949,75353,0.16554450621248698
2025-11-07,86020,13386,72634,0.15561497326203208
2025-11-08,88196,13890,74306,0.15749013560705702
2025-11-09,92314,13243,79071,0.1434560305045822
2025-11-10,92525,14128,78397,0.15269386652256148
2025-11-11,97559,15426,82133,0.15811970192396396
2025-11-12,94647,15379,79268,0.1624879816581614
2025-11-13,92612,14372,78240,0.15518507320865546
2025-11-14,90574,14616,75958,0.16137081281603993
2025-11-15,91168,13900,77268,0.15246577746577747
2025-11-16,96884,13764,83120,0.14206680153585732
2025-11-17,96404,15546,80858,0.16125886892660055
2025-11-18,94154,14339,79815,0.15229305180873887
2025-11-19,93989,14590,79399,0.15523093127919224
2025-11-20,95480,16006,79474,0.16763720150816924
2025-11-21,92593,15529,77064,0.1677124620651669
2025-11-22,92197,14357,77840,0.1557209019816263
2025-11-23,97366,14651,82715,0.15047347123225766
2025-11-24,97853,16137,81716,0.16491063125300195
2025-11-25,95833,14784,81049,0.15426836267256583
2025-11-26,95215,14944,80271,0.15695006038964449
2025-11-27,94948,16047,78901,0.16900829927960567
2025-11-28,93190,16170,77020,0.17351647172443396
2025-11-29,92833,15248,77585,0.16425193627266166
2025-11-30,95716,15134,80582,0.1581135860253249
2025-12-01,95705,14553,81152,0.1520610208453059
2025-12-02,96913,15708,81205,0.1620835182070517
2025-12-03,98059,16233,81826,0.1655431933835752
2025-12-04,97764,15996,81768,0.16361850988093776
2025-12-05,95021,15914,79107,0.16747876785131707
2025-12-06,95605,15342,80263,0.16047277862036505
2025-12-07,101012,15639,85373,0.1548231893240407
2025-12-08,100346,16066,84280,0.16010603312538615
2025-12-09,100561,16166,84395,0.1607581467964718
2025-12-10,100977,16920,84057,0.16756291036572685
2025-12-11,99712,16607,83105,0.16654966302952504
2025-12-12,97247,16667,80580,0.17138832046232788
2025-12-13,98159,15850,82309,0.1614727126396968
2025-12-14,103617,15469,88148,0.14929017439223294
2025-12-15,102272,16543,85729,0.1617549280350438
2025-12-16,102103,16323,85780,0.15986797645514822
2025-12-17,101837,16425,85412,0.16128715496332374
2025-12-18,98931,15222,83709,0.15386481487097067
2025-12-19,95284,16223,79061,0.17025943495235296
2025-12-20,96534,15511,81023,0.16067913895622268
2025-12-21,101903,15390,86513,0.15102597568275714
2025-12-22,99558,16212,83346,0.16283975170252515
2025-12-23,97679,15879,81800,0.16256308930271604
2025-12-24,95268,14863,80405,0.15601251207120964
2025-12-25,96169,16246,79923,0.16893177635204693
2025-12-26,90912,14597,76315,0.16056186202041534
2025-12-27,92960,15078,77882,0.1621987951807229
2025-12-28,93986,15027,78959,0.1598855148639159
2025-12-29,87176,15423,71753,0.17691795907130403
2025-12-30,77901,14638,63263,0.18790516167956767
2025-12-31,57419,10632,46787,0.18516518922307948
2026-01-01,69140,11361,57779,0.1643187735030373
2026-01-02,83551,13291,70260,0.15907649220236741
2026-01-03,85326,13992,71334,0.16398284227550805
2026-01-04,87311,14206,73105,0.1627057300912829
2026-01-05,87928,14530,73398,0.16524883995996725
2026-01-06,86216,14348,71868,0.1664192261297207
2026-01-07,85206,12826,72380,0.15052930544797316
2026-01-08,88816,13239,75577,0.14906098000360296
2026-01-09,89897,14155,75742,0.157457979687865
2026-01-10,91696,14316,77380,0.15612458558715755
2026-01-11,94083,14356,79727,0.1525886717047713
2026-01-12,90341,13662,76679,0.1512270176331898
2026-01-13,89283,14138,75145,0.1583504138525811
2026-01-14,92245,16090,76155,0.17442679820044446
2026-01-15,93626,16331,77295,0.17442804349219235
2026-01-16,91769,16405,75364,0.17876407065566804
2026-01-17,92484,15779,76705,0.1706132952726958
2026-01-18,96085,15474,80611,0.16104490815423844
2026-01-19,92599,16236,76363,0.17533666670266418
2026-01-20,92215,14940,77275,0.1620126877406062
2026-01-21,92653,15261,77392,0.16471134232027027
2026-01-22,92385,15665,76720,0.16956215835904098
2026-01-23,91240,16530,74710,0.1811705392371767
2026-01-24,91307,14530,76777,0.1591334727895999
2026-01-25,96142,16032,80110,0.16675334401198227
2026-01-26,94669,16583,78086,0.17516821768477536
2026-01-27,91814,15027,76787,0.16366785021892086
2026-01-28,93131,16904,76227,0.18150776862698778
2026-01-29,91604,16558,75046,0.18075629885157854
2026-01-30,89415,16528,72887,0.18484594307442823
2026-01-31,90571,15917,74654,0.17574057921409722
2026-02-01,95891,16129,79762,0.1682013953342858
2026-02-02,93646,16831,76815,0.17973004719902613
2026-02-03,94332,16796,77536,0.17805198660051733
2026-02-04,93391,15698,77693,0.16808900215224165
2026-02-05,94361,17302,77059,0.18335965070315066
2026-02-06,90130,15540,74590,0.1724176189947853
2026-02-07,91511,15997,75514,0.1748095857328627
2026-02-08,96553,16103,80450,0.16677886756496432
2026-02-09,95083,16866,78217,0.17738186636938255
2026-02-10,94016,15231,78785,0.16200433968686181
2026-02-11,95601,17071,78530,0.17856507777115302
2026-02-12,94450,17360,77090,0.1838009528851244
2026-02-13,91293,16926,74367,0.18540304294962373
