event_date,rows,active_users,search,cat,search_to_cart,search_to_ord,cat_to_cart,cat_to_ord,to_cart,to_ord,searches,gmv_search,gmv_cat,gmv,purchasing_rows,positive_gmv_rows
2025-01-20,58704,58704,49290,10826,48705,12034,4934,985,53639,13019,189248,440383.30887377367,37313.536431884655,477696.8453056583,7934,7934
2025-01-21,58279,58279,49015,10536,47378,11788,5248,1066,52626,12854,185850,411337.14926625026,41487.04845684017,452824.1977230904,7817,7817
2025-01-22,58700,58700,49258,10653,49209,12155,5400,1041,54609,13196,187801,434096.47598191194,42459.65919315475,476556.13517506665,7958,7958
2025-01-23,58423,58423,48522,10611,48624,12176,5193,1047,53817,13223,184832,432354.53208118695,37732.238717785425,470086.77079897234,7933,7933
2025-01-24,56371,56371,46715,10359,46182,11716,4863,1115,51045,12831,176199,405977.2314951498,36964.28543593998,442941.51693108975,7557,7557
2025-01-25,56853,56853,47752,10529,47785,11882,5306,1205,53091,13087,184826,404628.2795889291,42303.282061575046,446931.5616505041,7717,7717
2025-01-26,60621,60621,51175,11781,54937,13239,5808,1174,60745,14413,206429,452505.9163613918,49180.943302698775,501686.85966409056,8380,8380
2025-01-27,59303,59303,49638,10862,49758,11985,5397,1092,55155,13077,187992,428814.51121166896,44441.49374653411,473256.00495820306,7948,7948
2025-01-28,58777,58777,49439,10502,47828,11567,5047,1070,52875,12637,186051,408072.5338264547,41917.41344852256,449989.9472749773,7749,7749
2025-01-29,58451,58451,48766,10799,48171,11915,5302,1047,53473,12962,185002,434558.8039897073,46229.80284828086,480788.6068379882,7991,7991
2025-01-30,58348,58348,48738,10540,47181,11227,5259,1073,52440,12300,185742,393971.68955524487,44364.232023293625,438335.9215785385,7439,7439
2025-01-31,56360,56360,46737,10297,44968,10662,4971,1007,49939,11669,174592,381349.05023516895,40422.81918024588,421771.8694154148,7115,7115
2025-02-01,57541,57541,48497,10779,50151,11804,5554,1157,55705,12961,188184,425884.27301809186,44353.09063888792,470237.3636569798,7610,7610
2025-02-02,61110,61110,51735,11688,53834,12498,5892,1137,59726,13635,207359,439961.8924133081,37540.598122487885,477502.490535796,7963,7963
2025-02-03,59631,59631,49910,10941,50312,12181,5283,1172,55595,13353,191143,455462.4030060323,43193.49476604807,498655.8977720804,7936,7936
2025-02-04,59360,59360,49581,11104,49985,12014,5247,1034,55232,13048,187981,419268.854996658,37916.232264968225,457185.08726162626,7781,7781
2025-02-05,60359,60359,49933,11233,50541,12765,5818,1183,56359,13948,189715,464107.2164431968,47362.15671056898,511469.3731537658,8244,8244
2025-02-06,59720,59720,49624,11014,50598,12665,5666,1139,56264,13804,189755,451045.43695885316,49522.72170125963,500568.15866011276,8194,8194
2025-02-07,58198,58198,48203,10538,48134,12072,5366,1127,53500,13199,182350,407529.577739738,42846.25153421552,450375.82927395345,7960,7960
2025-02-08,58870,58870,49478,10975,51598,12818,5708,1205,57306,14023,194520,428658.9861940074,42572.21086145159,471231.19705545896,8205,8205
2025-02-09,62991,62991,52999,12205,56777,13661,6358,1342,63135,15003,211197,443714.914847952,50476.27355948521,494191.18840743724,8650,8650
2025-02-10,62296,62296,51746,11428,53989,13971,5830,1247,59819,15218,201870,472683.43910488824,39896.398523074015,512579.83762796223,8904,8904
2025-02-11,62095,62095,51817,11341,53845,13799,5806,1163,59651,14962,203469,446707.8225867681,45637.828870558136,492345.6514573262,8831,8831
2025-02-12,62115,62115,51843,11117,51977,14030,5612,1278,57589,15308,201565,487342.0596105997,43886.57662910403,531228.6362397037,8974,8974
2025-02-13,61827,61827,51337,11204,52386,13709,5917,1206,58303,14915,197770,493692.9841038954,50590.68886658608,544283.6729704814,8902,8902
2025-02-14,59315,59315,48279,10973,49497,13350,5430,1229,54927,14579,182130,483732.27782791137,43856.25007049033,527588.5278984017,8543,8543
2025-02-15,61127,61127,50615,11608,56039,14706,5727,1335,61766,16041,200631,504615.7131048131,44012.019343137574,548627.7324479506,9168,9168
2025-02-16,65217,65217,54612,12596,61787,15799,6511,1225,68298,17024,225188,527680.1975295782,48971.66096370231,576651.8584932806,9993,9993
2025-02-17,64758,64758,53300,12153,56851,14479,5588,1124,62439,15603,209518,481301.9828271456,44322.27810699311,525624.2609341387,9271,9271
2025-02-18,63974,63974,52780,12031,55449,14531,5979,1185,61428,15716,207729,485461.7174888078,38035.64100639389,523497.3584952017,9391,9391
2025-02-19,64157,64157,52713,12103,55825,14697,6071,1268,61896,15965,206463,518265.8161045387,53083.15576177258,571348.9718663113,9599,9599
2025-02-20,63582,63582,52488,11781,55212,14373,5859,1192,61071,15565,203882,502883.7359862558,50358.290979337355,553242.0269655931,9434,9434
2025-02-21,61682,61682,50466,11685,52272,13820,6249,1401,58521,15221,195551,489361.8327626564,51484.13825039318,540845.9710130496,8986,8986
2025-02-22,61715,61715,51106,11457,54904,13940,6440,1483,61344,15423,203385,479115.8775691155,59425.58736763919,538541.4649367547,8967,8967
2025-02-23,61233,61233,51045,11722,54720,13882,6026,1249,60746,15131,205821,471044.9609562067,44938.7769748848,515983.7379310915,8666,8666
2025-02-24,63233,63233,52181,11495,54182,13550,5898,1199,60080,14749,202675,448912.8174437287,41345.747693370875,490258.5651370996,8745,8745
2025-02-25,63461,63461,52416,11667,55636,14046,6021,1245,61657,15291,205636,460893.8046630996,44650.94483761967,505544.74950071925,9072,9072
2025-02-26,64570,64570,53019,11789,57450,14857,6199,1440,63649,16297,205144,508298.1159928009,47191.783162389685,555489.8991551906,9592,9592
2025-02-27,64338,64338,52307,11797,55780,14350,5942,1139,61722,15489,208951,492536.42470498866,36328.35068076442,528864.775385753,9191,9191
2025-02-28,61714,61714,50042,11431,53065,14163,6033,1155,59098,15318,192054,527381.9780606024,43375.73494195775,570757.7130025602,9049,9049
2025-03-01,62679,62679,51286,12654,57982,15413,6237,1422,64219,16835,204932,544993.9353249177,64052.70587706045,609046.6412019782,9753,9753
2025-03-02,66154,66154,54578,12682,62255,16067,6793,1392,69048,17459,222298,528959.3005361771,56803.32083628051,585762.6213724576,10078,10078
2025-03-03,66520,66520,54264,13124,60062,16090,6009,1175,66071,17265,219127,603109.2124787581,52483.83145754925,655593.0439363073,10158,10158
2025-03-04,67087,67087,55051,12659,60559,16101,6158,1270,66717,17371,220909,556051.5293190731,45122.80245295758,601174.3317720307,10232,10232
2025-03-05,66001,66001,53961,12062,56778,15534,6073,1394,62851,16928,214605,549311.1773896929,50554.22674314577,599865.4041328387,10057,10057
2025-03-06,63127,63127,51383,11736,53195,14494,5884,1301,59079,15795,201207,561138.8745043449,51343.76379513835,612482.6382994832,9341,9341
2025-03-07,58392,58392,46780,10484,46669,12592,4893,1132,51562,13724,177688,478731.4445548268,39121.35672880946,517852.8012836363,8198,8198
2025-03-08,54310,54310,44278,9520,44263,11853,4827,1087,49090,12940,167858,471457.2813530788,39205.70635857543,510662.9877116542,7709,7709
2025-03-09,64276,64276,53107,12142,58690,15024,6003,1220,64693,16244,213869,515031.9521263688,48324.97026134663,563356.9223877154,9267,9267
2025-03-10,65510,65510,53387,12110,57437,15092,6148,1383,63585,16475,206157,540325.6390849747,51086.57833702449,591412.2174219991,9739,9739
2025-03-11,64544,64544,52953,12084,57588,14703,6011,1267,63599,15970,206319,503371.0938742553,49833.89318240713,553204.9870566624,9482,9482
2025-03-12,65149,65149,52760,11801,56725,14636,6041,1343,62766,15979,200390,520357.66264459386,52100.37477861444,572458.0374232082,9450,9450
2025-03-13,64319,64319,52032,12162,55752,14189,6127,1199,61879,15388,198090,503531.66522762284,47301.25808924192,550832.9233168648,9254,9254
2025-03-14,62900,62900,50824,11897,55423,14575,6377,1359,61800,15934,195209,524925.5736023806,41418.38122247948,566343.9548248601,9208,9208
2025-03-15,62603,62603,51571,11495,57163,14968,6413,1385,63576,16353,202331,520085.0304312923,48752.319656428976,568837.3500877213,9417,9417
2025-03-16,66619,66619,55183,12854,61875,15561,6729,1442,68604,17003,221741,528454.9214986208,48064.511854858014,576519.4333534788,9913,9913
2025-03-17,65747,65747,53352,11934,56611,14482,5949,1212,62560,15694,205171,485253.51305048197,43508.75708481923,528762.2701353012,9384,9384
2025-03-18,64688,64688,52795,11744,56492,14139,5857,1227,62349,15366,200476,499799.2262283636,42279.093207609556,542078.3194359732,9104,9104
2025-03-19,65294,65294,52942,11803,57706,14635,5935,1309,63641,15944,203525,503140.55768196884,41083.64231502925,544224.1999969981,9302,9302
2025-03-20,65902,65902,52795,11551,56345,14735,5734,1196,62079,15931,196997,488075.29080173455,43693.95805473507,531769.2488564696,9536,9536
2025-03-21,63087,63087,50748,11531,54161,13749,6027,1432,60188,15181,187444,474249.50425756595,45964.575054113564,520214.0793116795,8964,8964
2025-03-22,63912,63912,51850,11757,57849,14556,6223,1341,64072,15897,200071,496641.7684418156,49659.097803015975,546300.8662448316,9444,9444
2025-03-23,66554,66554,55276,12212,63175,15468,6497,1369,69672,16837,219426,534122.7160993025,41886.16525579045,576008.881355093,9841,9841
2025-03-24,64808,64808,52775,11498,56798,14102,5543,1071,62341,15173,201522,519964.54144803685,57266.849392410106,577231.3908404469,8984,8984
2025-03-25,65537,65537,53687,11305,58060,14385,5700,1250,63760,15635,205677,489949.65556336445,56562.56623271617,546512.2217960806,9226,9226
2025-03-26,65490,65490,52998,11633,57168,14084,5732,1223,62900,15307,203284,474152.7824656916,38565.8068134695,512718.58927916107,9010,9010
2025-03-27,64533,64533,52115,11168,54474,13354,5580,1110,60054,14464,194745,465834.3142592347,41856.10057740817,507690.41483664286,8635,8635
2025-03-28,62499,62499,49955,10565,51270,13085,5464,1184,56734,14269,184423,530172.8596674473,46326.92747995683,576499.7871474042,8428,8428
2025-03-29,61066,61066,49662,11040,55080,13610,5474,1198,60554,14808,189580,493005.55948237283,36617.31320135596,529622.8726837288,8547,8547
2025-03-30,64938,64938,53620,11646,61452,15129,5792,1121,67244,16250,211106,547672.0623532255,44799.12066307171,592471.1830162973,9529,9529
2025-03-31,65523,65523,53221,11356,56473,13925,5661,1141,62134,15066,201306,500898.63213105383,49709.564459098714,550608.1965901526,9146,9146
2025-04-01,64796,64796,52817,10488,57251,14331,5292,1188,62543,15519,199865,533832.565462554,47583.40525791526,581415.9707204693,9262,9262
2025-04-02,65485,65485,52809,9852,56854,14507,4828,1036,61682,15543,199062,540156.0214305829,40513.179453463155,580669.200884046,9315,9315
2025-04-03,64496,64496,52273,9602,56246,14276,5184,1177,61430,15453,197136,509826.72804251953,43486.7573964329,553313.4854389525,8973,8973
2025-04-04,62616,62616,50394,9423,52849,13542,4717,878,57566,14420,188431,491869.39771388617,32024.005210579224,523893.40292446536,8469,8469
2025-04-05,62451,62451,51311,9358,56434,13997,4574,874,61008,14871,197629,479576.1820441538,42785.86250559939,522362.0445497532,8639,8639
2025-04-06,66305,66305,55018,10140,62692,15604,4902,800,67594,16404,221556,531016.8408571942,29283.88429970821,560300.7251569023,9445,9445
2025-04-07,64369,64369,52391,9719,54524,13167,4598,778,59122,13945,198251,477161.7721559771,38586.034959285644,515747.8071152627,8513,8513
2025-04-08,65137,65137,53119,9851,56628,13798,4794,762,61422,14560,203082,516104.43121513014,36139.99771936978,552244.4289345,8646,8646
2025-04-09,65090,65090,52431,9489,55001,13568,4660,812,59661,14380,199976,456853.2619182211,40030.0609541124,496883.32287233346,8727,8727
2025-04-10,65715,65715,52930,9650,56437,14598,4422,808,60859,15406,200934,497044.02159431216,41495.177250616376,538539.1988449285,9217,9217
2025-04-11,64228,64228,51702,9331,55426,14861,4264,718,59690,15579,196311,509080.2686976135,32653.70792772291,541733.9766253365,9333,9333
2025-04-12,63861,63861,52433,9524,58895,15293,4695,895,63590,16188,207389,505565.20087201265,43610.01676290145,549175.2176349141,9421,9421
2025-04-13,67645,67645,55932,9726,64971,16491,5177,918,70148,17409,225422,595166.4424075013,52130.62987647109,647297.0722839724,10063,10063
2025-04-14,67238,67238,54306,9608,58892,15146,4436,882,63328,16028,206226,537300.21840906,42906.533432613105,580206.7518416732,9687,9687
2025-04-15,66838,66838,54360,9676,57935,15642,4473,860,62408,16502,204395,566278.076905098,37122.30124675562,603400.3781518537,9930,9930
2025-04-16,66869,66869,53813,9484,58548,16190,4875,1059,63423,17249,204737,594170.2080195132,42432.10073324412,636602.3087527573,10148,10148
2025-04-17,64129,64129,51672,8945,54512,14761,4408,944,58920,15705,192842,530674.196253053,40033.49612381411,570707.692376867,9419,9419
2025-04-18,62040,62040,49775,8766,52388,14578,4338,838,56726,15416,185873,523785.33311597,41392.16372787812,565177.4968438481,9082,9082
2025-04-19,58350,58350,47217,8607,50691,13716,4315,894,55006,14610,178144,518253.09800867754,40408.94564937027,558662.0436580478,8619,8619
2025-04-20,62750,62750,50818,9190,57246,14353,4785,927,62031,15280,197198,518012.36705883103,47221.8302120692,565234.1972709002,9042,9042
2025-04-21,66520,66520,53395,9630,59681,15389,4954,930,64635,16319,203668,557512.7585294811,45971.517729766936,603484.276259248,9809,9809
2025-04-22,66362,66362,53823,9687,59996,15785,4975,959,64971,16744,205273,537932.7993681007,44715.07669660355,582647.8760647043,10058,10058
2025-04-23,66608,66608,53305,9648,59046,15686,5042,969,64088,16655,201070,517193.1758122545,42846.203133099465,560039.3789453539,9900,9900
2025-04-24,66449,66449,52701,9729,58277,15313,4785,926,63062,16239,199717,527413.81675419,44854.79851083324,572268.6152650232,9692,9692
2025-04-25,64440,64440,50795,9678,55300,15070,4781,947,60081,16017,191090,509114.9095040392,37045.2054225792,546160.1149266184,9540,9540
2025-04-26,63149,63149,51215,9549,57466,15400,5084,1031,62550,16431,201560,528871.2957143793,39437.0413128555,568308.3370272348,9429,9429
2025-04-27,68623,68623,56039,10485,65890,17052,5547,1002,71437,18054,225751,600683.1833681448,54823.065548094135,655506.2489162389,10544,10544
2025-04-28,65685,65685,53142,9335,58775,14929,4462,783,63237,15712,204327,513215.08614827937,35854.80839758887,549069.8945458683,9423,9423
2025-04-29,65450,65450,52772,9071,58303,15362,4773,882,63076,16244,203758,548607.5995521155,37715.62096900922,586323.2205211248,9704,9704
2025-04-30,63750,63750,50971,8628,54821,15015,4138,837,58959,15852,192749,505995.08738603635,32278.588259372646,538273.675645409,9360,9360
2025-05-01,61410,61410,49785,8497,57106,15334,4377,842,61483,16176,195599,523563.3383227272,39211.668389752725,562775.0067124799,9263,9263
2025-05-02,62947,62947,51299,9220,58126,15005,4179,780,62305,15785,202490,499345.5827181815,34954.899018410164,534300.4817365917,9212,9212
2025-05-03,63279,63279,52029,9154,58819,14506,4566,773,63385,15279,205187,474868.95530996565,34433.12745176163,509302.0827617273,9158,9158
2025-05-04,66884,66884,55158,9792,63660,15456,4964,847,68624,16303,220655,502953.7849771259,41444.89801244735,544398.6829895732,9693,9693
2025-05-05,65832,65832,53769,9073,59988,15471,4474,776,64462,16247,207430,524386.7488518521,36090.10904822668,560476.8579000789,9650,9650
2025-05-06,65059,65059,53127,9531,56322,14683,4714,966,61036,15649,201745,499444.2076459519,36458.44492816348,535902.6525741153,9411,9411
2025-05-07,62436,62436,50236,9544,53529,14276,4507,920,58036,15196,188476,484566.0241709233,41492.71465046473,526058.738821388,9070,9070
2025-05-08,61105,61105,49660,9685,55551,14973,4557,827,60108,15800,193593,496226.3324941697,37702.778900075806,533929.1113942455,9224,9224
2025-05-09,52427,52427,41823,8488,44643,11606,3966,682,48609,12288,158110,397836.99645008106,32962.61301053374,430799.6094606148,7134,7134
2025-05-10,61810,61810,50436,10026,56544,13860,4753,783,61297,14643,199386,520817.1820335374,35870.26767389535,556687.4497074328,8597,8597
2025-05-11,67520,67520,55588,11448,65695,16643,5561,918,71256,17561,227589,533958.5149630124,35961.511740182366,569920.0267031948,9999,9999
2025-05-12,67384,67384,54816,10743,60792,15848,5219,1012,66011,16860,213636,533151.1013289059,43349.405304530985,576500.5066334369,9773,9773
2025-05-13,68070,68070,55405,10941,61164,16227,5438,1045,66602,17272,214207,608566.363819882,47017.960478427565,655584.3242983095,10259,10259
2025-05-14,67845,67845,54897,10597,59638,16029,4961,886,64599,16915,210543,546960.5527159668,39615.11517268066,586575.6678886474,10094,10094
2025-05-15,67262,67262,53994,10615,58452,16242,4960,893,63412,17135,208126,553663.9162122482,34964.345789048966,588628.2620012971,10140,10140
2025-05-16,64390,64390,51660,10176,53589,14670,4455,856,58044,15526,190909,510865.420626327,33078.72176671741,543944.1423930444,9352,9352
2025-05-17,62203,62203,50651,9435,56213,14967,4650,898,60863,15865,194709,510957.93293397763,42977.138723829325,553935.0716578069,9424,9424
2025-05-18,68345,68345,56534,10584,66934,17277,5295,941,72229,18218,227475,559701.0090977793,41594.784344476866,601295.793442256,10455,10455
2025-05-19,70118,70118,56759,11123,63255,16491,4970,940,68225,17431,222153,587436.1028198106,37842.05441535267,625278.1572351633,10461,10461
2025-05-20,69730,69730,56422,10875,62594,16579,5348,1058,67942,17637,219918,624084.3441405917,51091.08969477685,675175.4338353686,10443,10443
2025-05-21,67684,67684,54936,10442,59924,16338,4881,936,64805,17274,211433,563363.612606444,42050.27723760545,605413.8898440495,10349,10349
2025-05-22,66878,66878,53822,10017,57740,15582,4924,1033,62664,16615,203173,510793.8393477581,50830.27885231953,561624.1182000776,9822,9822
2025-05-23,65409,65409,52051,10201,55298,15032,4909,986,60207,16018,195294,543250.7014730782,40986.41479774699,584237.1162708253,9531,9531
2025-05-24,62781,62781,50468,9513,54845,14962,4687,927,59532,15889,190992,494006.6672078731,38526.46943834027,532533.1366462134,9155,9155
2025-05-25,67663,67663,55133,10447,64599,17415,5647,1059,70246,18474,217724,580045.0996940349,48347.60314433988,628392.7028383748,10545,10545
2025-05-26,69627,69627,55902,10961,62254,16800,5412,1137,67666,17937,213633,577497.6407908814,47409.265924468986,624906.9067153503,10484,10484
2025-05-27,68849,68849,56043,10717,62039,16650,5519,1059,67558,17709,211752,555661.8309789146,43534.88599416933,599196.7169730839,10542,10542
2025-05-28,68096,68096,54847,10659,60418,16388,5125,1069,65543,17457,206227,578905.4495095281,54245.736136817446,633151.1856463456,10450,10450
2025-05-29,68206,68206,54681,10582,59613,16065,4992,1017,64605,17082,205006,544196.4911755477,38530.73747334961,582727.2286488974,10138,10138
2025-05-30,64593,64593,51923,10230,55229,14803,4924,953,60153,15756,192904,514894.4640932963,43971.282792503,558865.7468857993,9345,9345
2025-05-31,62793,62793,50873,9685,56282,15052,4809,1034,61091,16086,193232,526313.3288792258,48660.20782909048,574973.5367083162,9311,9311
2025-06-01,66299,66299,53942,10452,61206,16382,5304,1001,66510,17383,208811,540265.545267735,41993.476705596375,582259.0219733315,10114,10114
2025-06-02,67569,67569,55052,10173,60620,15759,5017,927,65637,16686,208786,540073.6752072056,47266.58262124861,587340.2578284543,9942,9942
2025-06-03,68228,68228,55257,10817,62619,16864,4957,958,67576,17822,211897,582911.5505537153,41703.97958529005,624615.5301390054,10403,10403
2025-06-04,68552,68552,55508,10544,62565,16877,4943,970,67508,17847,211109,585996.5193551845,39302.111269226574,625298.630624411,10516,10516
2025-06-05,67598,67598,54556,10024,61229,17086,4959,1000,66188,18086,208858,603140.6691946263,48298.15652767274,651438.8257222989,10615,10615
2025-06-06,64690,64690,51778,10391,57444,16031,4686,939,62130,16970,194812,565473.6296713239,38629.57732425049,604103.2069955744,9820,9820
2025-06-07,62291,62291,50573,9515,58511,16281,4936,976,63447,17257,194540,583380.6692519665,52471.74179796309,635852.4110499296,9955,9955
2025-06-08,67986,67986,56220,10613,67831,18184,5683,1039,73514,19223,225124,624891.1303884838,47683.896414840994,672575.0268033247,10888,10888
2025-06-09,68807,68807,56020,10770,64014,17307,5042,1008,69056,18315,218434,595901.7975874032,54755.20267105096,650657.0002584541,10888,10888
2025-06-10,68941,68941,55761,10865,62992,17715,5191,1009,68183,18724,215933,619450.443596193,44050.27270960349,663500.7163057964,11056,11056
2025-06-11,67237,67237,54196,10202,60785,17653,4678,930,65463,18583,206467,634808.7693130479,42530.82261082661,677339.5919238745,10998,10998
2025-06-12,63922,63922,51854,9692,59199,16877,4771,943,63970,17820,197450,601146.6926795896,40387.54243216096,641534.2351117505,10454,10454
2025-06-13,64460,64460,52180,10191,60555,16317,4893,937,65448,17254,201324,541530.0075793832,43133.732670667116,584663.7402500503,10103,10103
2025-06-14,64257,64257,52189,9957,59610,15854,4886,946,64496,16800,202856,529619.3731819693,43902.5207043064,573521.8938862756,9900,9900
2025-06-15,67953,67953,55836,10656,66175,17132,5276,1098,71451,18230,223221,551865.5682348378,50269.62049714499,602135.1887319828,10461,10461
2025-06-16,69321,69321,56324,10616,63435,17213,5196,952,68631,18165,215688,598701.4433119349,46805.8711217682,645507.3144337032,10725,10725
2025-06-17,68597,68597,55710,10338,62639,16668,5177,1028,67816,17696,213577,571597.7317552032,44741.252871285185,616338.9846264884,10542,10542
2025-06-18,68143,68143,55113,10451,61643,16885,4998,991,66641,17876,212446,567961.9489205357,43070.50399314968,611032.4529136854,10640,10640
2025-06-19,67329,67329,54502,10260,61820,16654,4988,959,66808,17613,208079,578827.2810199359,49296.35921478374,628123.6402347196,10521,10521
2025-06-20,65999,65999,52987,9759,58033,16003,4739,947,62772,16950,201481,548248.8853896208,42796.32479693483,591045.2101865556,9961,9961
2025-06-21,64613,64613,52771,9916,60209,16292,4991,910,65200,17202,206520,551669.8190095352,41723.79157368396,593393.6105832192,10020,10020
2025-06-22,68004,68004,55878,10692,65806,17572,5311,974,71117,18546,223515,573406.1702266046,46012.48863048166,619418.6588570862,10772,10772
2025-06-23,68735,68735,55620,10313,64037,17132,5290,936,69327,18068,213961,590882.7163304655,40202.32319348656,631085.0395239521,10788,10788
2025-06-24,67947,67947,54748,10151,63934,16776,5252,909,69186,17685,210929,592913.148369009,41111.53681924576,634024.6851882548,10546,10546
2025-06-25,69040,69040,55374,10435,65055,17516,5336,1006,70391,18522,212680,589196.265292028,44940.10939646899,634136.3746884969,11054,11054
2025-06-26,69136,69136,55504,10091,64721,17682,4908,897,69629,18579,212063,588434.6809159991,39908.271117948585,628342.9520339477,11047,11047
2025-06-27,65611,65611,52135,9661,59436,16089,4586,930,64022,17019,196122,610648.5355849343,38753.304132787736,649401.839717722,10147,10147
2025-06-28,63120,63120,50908,9320,60338,15953,4900,931,65238,16884,195194,549573.3888505197,42938.79064016999,592512.1794906897,9858,9858
2025-06-29,67714,67714,55617,10382,68661,17544,5348,1043,74009,18587,223238,567125.1105831679,42508.94466579337,609634.0552489612,10803,10803
2025-06-30,70015,70015,56785,10430,68138,17855,5609,995,73747,18850,225532,613783.3558912782,41199.794110618175,654983.1500018964,11148,11148
2025-07-01,70251,70251,56308,10598,67134,17636,5789,1128,72923,18764,223494,603482.173066834,51040.32035363418,654522.4934204682,11145,11145
2025-07-02,68997,68997,55713,9972,66023,17945,5426,1049,71449,18994,214217,626326.8322266877,59323.71673059301,685650.5489572807,11173,11173
2025-07-03,68616,68616,54333,10382,64838,17320,5352,1016,70190,18336,208251,569752.157289638,48273.86756714566,618026.0248567836,10814,10814
2025-07-04,65366,65366,51697,9577,59996,16447,5140,998,65136,17445,194817,532727.4032114637,55263.7608880517,587991.1640995154,10254,10254
2025-07-05,62399,62399,50111,8907,60170,16373,4804,851,64974,17224,194554,543302.1155909722,39711.75773245796,583013.8733234302,9892,9892
2025-07-06,67543,67543,54828,10175,68214,17364,5270,991,73484,18355,216855,588022.6041141357,47201.743238367526,635224.3473525033,10854,10854
2025-07-07,68723,68723,55981,9955,67196,18109,5187,1047,72383,19156,217306,648924.349363316,46624.08443770962,695548.4338010255,11160,11160
2025-07-08,69393,69393,55754,10300,65601,17985,5173,1027,70774,19012,217610,617295.5098948191,51247.044733675306,668542.5546284944,11095,11095
2025-07-09,69960,69960,56431,10490,66218,18251,5202,1022,71420,19273,219234,621027.5132231895,46708.13033331073,667735.6435565002,11407,11407
2025-07-10,70012,70012,55779,10101,66508,18400,5114,1042,71622,19442,216649,635944.1836380075,46632.11107408034,682576.2947120878,11338,11338
2025-07-11,66623,66623,53101,10125,60952,17392,5027,1064,65979,18456,204308,605048.923738292,56889.315720558785,661938.2394588507,10812,10812
2025-07-12,64360,64360,51990,9751,62986,17126,4666,975,67652,18101,201196,569691.5237277943,46822.31594716748,616513.8396749618,10526,10526
2025-07-13,69108,69108,55878,10516,69030,18473,5396,1047,74426,19520,224057,613719.1862607597,46709.6217033875,660428.8079641473,11370,11370
2025-07-14,71258,71258,57706,10789,69407,18548,5633,1140,75040,19688,227627,642645.2654501933,60602.76611726459,703248.0315674578,11619,11619
2025-07-15,72611,72611,58303,10522,69818,19676,5465,1078,75283,20754,230088,662550.0425695006,49653.66244594664,712203.7050154473,12169,12169
2025-07-16,72650,72650,57946,10656,68554,19422,5603,1042,74157,20464,227958,616521.6587626523,41457.24212574079,657978.9008883932,12074,12074
2025-07-17,69441,69441,55876,10225,63529,17436,5124,981,68653,18417,219571,583822.7806339498,47049.13068246999,630871.9113164197,11054,11054
