local_id,namespaces,global_ids,canonical_names,resolution
EXP-018,"[""team_a_current"",""team_b_core""]","[""team_a_current:EXP-018"",""team_b_core:EXP-018""]","[""E10 seed averaging"",""Core min-leaf300 on calibrated baseline""]",globally namespaced; no cross-branch identity inferred
EXP-019,"[""team_a_current"",""team_b_core""]","[""team_a_current:EXP-019"",""team_b_core:EXP-019""]","[""Gap-axis stress test"",""Core leaves127 on calibrated baseline""]",globally namespaced; no cross-branch identity inferred
EXP-020,"[""team_a_current"",""team_b_core""]","[""team_a_current:EXP-020"",""team_b_core:EXP-020""]","[""Train blocks zero"",""Core learning-rate0.03""]",globally namespaced; no cross-branch identity inferred
EXP-021,"[""team_a_current"",""team_b_core""]","[""team_a_current:EXP-021"",""team_b_core:EXP-021""]","[""Personal-time features"",""Core G15 combo""]",globally namespaced; no cross-branch identity inferred
EXP-022,"[""team_a_current"",""team_b_core""]","[""team_a_current:EXP-022"",""team_b_core:EXP-022""]","[""Dense temporal grid"",""Core classifier-probability feature""]",globally namespaced; no cross-branch identity inferred
EXP-023,"[""team_a_current"",""team_b_core""]","[""team_a_current:EXP-023"",""team_b_core:EXP-023""]","[""Holiday year-over-year correction"",""Core CatBoost blend diagnostic""]",globally namespaced; no cross-branch identity inferred
EXP-024,"[""team_a_current"",""team_b_core""]","[""team_a_current:EXP-024"",""team_b_core:EXP-024""]","[""Multi-horizon hazard/count stacking"",""Core post-G14 diagnostics""]",globally namespaced; no cross-branch identity inferred
EXP-025,"[""team_a_current"",""team_b_core""]","[""team_a_current:EXP-025"",""team_b_core:EXP-025""]","[""SEQ-01 temporal convolutional encoder"",""Core funnel features""]",globally namespaced; no cross-branch identity inferred
EXP-026,"[""team_a_current"",""team_b_core""]","[""team_a_current:EXP-026"",""team_b_core:EXP-026""]","[""SEQ-AVG2/AVG3 seed averaging"",""Core last7/prev7 activity trend""]",globally namespaced; no cross-branch identity inferred
EXP-027,"[""independent_renewal"",""team_a_current""]","[""independent_renewal:EXP-027"",""team_a_current:EXP-027""]","[""RENEWAL-01 next-purchase clock"",""Sequence depth-support failure diagnostic""]",globally namespaced; no cross-branch identity inferred
EXP-028,"[""independent_domain"",""team_a_current"",""team_b_core""]","[""independent_domain:EXP-028"",""team_a_current:EXP-028"",""team_b_core:EXP-028""]","[""DOMAIN-01 test-like validation"",""Fresh-DIST leakage audit"",""Core log-space hurdle threshold""]",globally namespaced; no cross-branch identity inferred
EXP-029,"[""independent_calendar"",""team_a_current"",""team_b_core""]","[""independent_calendar:EXP-029"",""team_b_core:EXP-029"",""team_a_current:EXP-029""]","[""CALENDAR-PLACEBO-01"",""Core variance-predictability hurdle"",""Sequence availability augmentation""]",globally namespaced; no cross-branch identity inferred
EXP-030,"[""team_a_current"",""team_b_core""]","[""team_b_core:EXP-030"",""team_a_current:EXP-030""]","[""Core seasonality-coefficient LB diagnostic"",""SEQ-D3A depth curriculum""]",globally namespaced; no cross-branch identity inferred
EXP-032,"[""team_a_current"",""team_b_core""]","[""team_b_core:EXP-032"",""team_a_current:EXP-032""]","[""Core naive30 delta model"",""S04 conditional fresh sequence pilot""]",globally namespaced; no cross-branch identity inferred
EXP-057,"[""independent_global_regime"",""team_a_current""]","[""team_a_current:EXP-057"",""independent_global_regime:EXP-057""]","[""Production-state reweight"",""GLOBAL-REGIME-OCC-RANK""]",globally namespaced; no cross-branch identity inferred
EXP-058,"[""independent_anniversary"",""team_a_current""]","[""team_a_current:EXP-058"",""independent_anniversary:EXP-058""]","[""Dataset-fingerprint probe"",""Exact anniversary window""]",globally namespaced; no cross-branch identity inferred
