component_id,experiment_association,model_family,oof_artifacts,test_artifacts,model_artifacts,artifact_count,schema_or_arrays,sha256,pairing_status,duplicate_note,validation_protocol,ensemble_readiness
DETSEQ01-S42-V1016:snapshot_step_00001,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_00001.pt,1,unknown,1844d30518a77ed849d595df2c2b2decd11e21834d77c08d8c0ccb053439f4a8,model_only,unknown,unknown,model_state_only
DETSEQ01-S42-V1016:snapshot_step_00100,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_00100.pt,1,unknown,fa9942cf8760988677657dbaff209386ce37813ed584fd2e7013cb2a14234d1c,model_only,unknown,unknown,model_state_only
DETSEQ01-S42-V1016:snapshot_step_01000,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_01000.pt,1,unknown,c8f83e9da4b5324b5830e253aab9da8334307e95ecc7d174aba2e843efd83a41,model_only,unknown,unknown,model_state_only
DETSEQ01-S42-V1016:snapshot_step_04842,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_04842.pt,1,unknown,0be46adf57c6d9b66412d60ed8341d45055ef0a18f13462d2d388ef6fb59360f,model_only,unknown,unknown,model_state_only
DETSEQ01-S42-V1016:snapshot_step_09684,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_09684.pt,1,unknown,397f29d79d2cca437d50abaa90a723b589c36e4adefefa8894668db1be49c121,model_only,unknown,unknown,model_state_only
DETSEQ01-S42-V1016:snapshot_step_14526,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_14526.pt,1,unknown,52956c13f577dc6b8dae70eeb07e8c4788399f1297c98bc2c7360d24a3566101,model_only,unknown,unknown,model_state_only
DETSEQ01-S42-V1016:snapshot_step_19368,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S42-V1016/snapshot_step_19368.pt,1,unknown,1cc7159c8d5c36434aae7378172b1fcb03b0fabb5c0d3b6ffa3cc6b86ae70b41,model_only,unknown,unknown,model_state_only
DETSEQ01-S43-V1016,team_a:exp_025,unknown,unknown,unknown,artifacts/model_DETSEQ01-S43-V1016.pt,1,unknown,819cf3bf09729f700bdb1e97fdaedb3868c4ca59ca822b035cc64e29a515f0b2,model_only,unknown,unknown,model_state_only
DETSEQ01-S43-V1016:snapshot_step_00000,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_00000.pt,1,unknown,e1e6e56067bc7b3e1111b232280d2f2f40138e01ca892418c0862a3f1f115e97,model_only,unknown,unknown,model_state_only
DETSEQ01-S43-V1016:snapshot_step_00001,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_00001.pt,1,unknown,696b5017c7b8f448d151963a368c4a427b9e490764bb3a97030bedfa72b3d586,model_only,unknown,unknown,model_state_only
DETSEQ01-S43-V1016:snapshot_step_00100,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_00100.pt,1,unknown,1c785729fe279882fd325b9bc824b48280972f71d5cf2223bd7ac056bdad674c,model_only,unknown,unknown,model_state_only
DETSEQ01-S43-V1016:snapshot_step_01000,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_01000.pt,1,unknown,e1a6fcb22f23d09983561a5e1b8fa26fba6ea01de163abf56c369ad89d58616c,model_only,unknown,unknown,model_state_only
DETSEQ01-S43-V1016:snapshot_step_04842,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_04842.pt,1,unknown,5d30231b2e25f24f4b4e7e39e64ba197d952e59987d41b6898d5cb38d8b2ed0a,model_only,unknown,unknown,model_state_only
DETSEQ01-S43-V1016:snapshot_step_09684,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_09684.pt,1,unknown,b8879ce8cbbcba6fd3b3fd109a635142b2e14dbccb52ec2b1e0255dd7b6740ef,model_only,unknown,unknown,model_state_only
DETSEQ01-S43-V1016:snapshot_step_14526,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_14526.pt,1,unknown,fe72f4bb93d64bdaa19256d330fe5bea9faaeb5894ead6d18add8dd3afdb960d,model_only,unknown,unknown,model_state_only
DETSEQ01-S43-V1016:snapshot_step_19368,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S43-V1016/snapshot_step_19368.pt,1,unknown,fd7cacd0aae7891c9ed1cba6600beadf30e392b0e7354cd9a28e287c5cf1943a,model_only,unknown,unknown,model_state_only
DETSEQ01-S44-V1016,team_a:exp_025,unknown,unknown,unknown,artifacts/model_DETSEQ01-S44-V1016.pt,1,unknown,66de739d198eda6b2cfeebcee16b225140877173512ef9ac3936fc105f9f0afd,model_only,unknown,unknown,model_state_only
DETSEQ01-S44-V1016:snapshot_step_00000,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_00000.pt,1,unknown,5fba8eb356176cf3cae1f5c3f8e44ebcb3d9b328d190d04e94ffcd29e531922a,model_only,unknown,unknown,model_state_only
DETSEQ01-S44-V1016:snapshot_step_00001,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_00001.pt,1,unknown,517d3e4dba60fe5a6b60941f3657246935f0cf7a1133d52ecbcded3f2fb80885,model_only,unknown,unknown,model_state_only
DETSEQ01-S44-V1016:snapshot_step_00100,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_00100.pt,1,unknown,9339046cfba430a876bfdc1a1a40edaac0edce6e94b4b929e92ba96c9f280744,model_only,unknown,unknown,model_state_only
DETSEQ01-S44-V1016:snapshot_step_01000,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_01000.pt,1,unknown,523a5f055e8fb34e12994b16c97a47d456e9247bb87dcb0032244f51d54cb68b,model_only,unknown,unknown,model_state_only
DETSEQ01-S44-V1016:snapshot_step_04842,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_04842.pt,1,unknown,eacf73b8e10f75b20813036742727a0c86a56fcde1de150be99fa12f6eb06df0,model_only,unknown,unknown,model_state_only
DETSEQ01-S44-V1016:snapshot_step_09684,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_09684.pt,1,unknown,db99dbf40a5bb7fc4efcce2fbdfcbc140b8d0d497203156eff6ecf7f9f7f1283,model_only,unknown,unknown,model_state_only
DETSEQ01-S44-V1016:snapshot_step_14526,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_14526.pt,1,unknown,bfad1e9a7a851d00b0fd8367f1a1e913e6091866d9ed8497ec712354c735257e,model_only,unknown,unknown,model_state_only
DETSEQ01-S44-V1016:snapshot_step_19368,component_family:fresh;team_a:exp_025;team_a:exp_044,fresh,unknown,unknown,artifacts/FRESH_COND_FT_EXP044/baselines/DETSEQ01-S44-V1016/snapshot_step_19368.pt,1,unknown,b961bf3607c9259189a60aa70261c507f0bb1c1c5c9aaf2dc74745c5bf0bec36,model_only,unknown,unknown,model_state_only
DOMAIN-01-DIRECT,independent_domain:exp_028,unknown,linked_worktree/independent_domain/artifacts/domain_01/oof_DOMAIN-01-DIRECT.npz,unknown,unknown,1,"arrays=user_id:(770616,):int64|cutoff:(770616,):<U10|z:(770616,):float32|y:(770616,):float32",e02aa884a2ef9e96b5b902e3039778a88d3f574d5432cbeebd13f4b16bb9b827,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
DOMAIN-01-DIRECT_20250904,independent_domain:exp_028,unknown,linked_worktree/independent_domain/artifacts/domain_01/oof_DOMAIN-01-DIRECT_20250904.npz,unknown,linked_worktree/independent_domain/artifacts/domain_01/model_DOMAIN-01-DIRECT_20250904.txt,2,"arrays=user_id:(188518,):int64|cutoff:(188518,):<U10|z:(188518,):float32|y:(188518,):float32;unknown",7cfaf3f886d8283fc4d41ea174c57232d972e13ab3d681d8eb1b1721b60d590b;c5b4b15273c6044300255a4cfb12c92807045f838082d35f8e6a68be496577a0,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
DOMAIN-01-DIRECT_20250918,independent_domain:exp_028,unknown,linked_worktree/independent_domain/artifacts/domain_01/oof_DOMAIN-01-DIRECT_20250918.npz,unknown,linked_worktree/independent_domain/artifacts/domain_01/model_DOMAIN-01-DIRECT_20250918.txt,2,"arrays=user_id:(191025,):int64|cutoff:(191025,):<U10|z:(191025,):float32|y:(191025,):float32;unknown",e4c0fc32f7b0961254ff27c69893713e23a246ef8de289bbfbb7ab94129e09e4;f38727273768fa573a97e70fdd9e6e1eefe398553d3f68668be7de41090aeb95,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
DOMAIN-01-DIRECT_20251002,independent_domain:exp_028,unknown,linked_worktree/independent_domain/artifacts/domain_01/oof_DOMAIN-01-DIRECT_20251002.npz,unknown,linked_worktree/independent_domain/artifacts/domain_01/model_DOMAIN-01-DIRECT_20251002.txt,2,"arrays=user_id:(193694,):int64|cutoff:(193694,):<U10|z:(193694,):float32|y:(193694,):float32;unknown",c620b734a3f280bb4aecc6479ee5e407ab348ccf1c5027f258cd63888f78e7c2;2f6910b7a987763e1535c9f4e859c1db1ad9745eddc50fd4999f3aa550e6e75c,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
DOMAIN-01-DIRECT_20251016,independent_domain:exp_028,unknown,linked_worktree/independent_domain/artifacts/domain_01/oof_DOMAIN-01-DIRECT_20251016.npz,unknown,linked_worktree/independent_domain/artifacts/domain_01/model_DOMAIN-01-DIRECT_20251016.txt,2,"arrays=user_id:(197379,):int64|cutoff:(197379,):<U10|z:(197379,):float32|y:(197379,):float32;unknown",92b6b6be2e0bb8bf7755fcba88207c760027047b22674385a9e72ae82b2193cb;072f533c6f09b1ef1d412d957a3c4663d653d6d2fa0123d9623f00237c6c9cf2,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S42,component_family:etx,etx,artifacts/oof_ETX-01-S42.npz,artifacts/ztest_ETX-01-S42.npy,unknown,2,"array=ztest_ETX-01-S42:(250000,):float64;arrays=user_id:(770616,):int64|cutoff:(770616,):<U10|z:(770616,):float32|y:(770616,):float32",679aa17bfadbb376552c28494de625b29feebe8b4cf09b4a1c18f1e41de819fa;11576380436f1fa1e1366f9f9abff196b42a6aa50fc43b548c7dc9dcb7c2e25f,oof_and_test,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S42-DC,component_family:etx,etx,unknown,artifacts/ztest_ETX-01-S42-DC.npy,unknown,1,"array=ztest_ETX-01-S42-DC:(250000,):float64",0bc1b1afce5806e9345c2903f3a31bf87ac825a26710d4c5ed1d87e292c5f96a,test_only,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S42-DCW,component_family:etx,etx,unknown,artifacts/ztest_ETX-01-S42-DCW.npy;пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/artifacts/predictions/ztest_ETX-01-S42-DCW.npy,unknown,2,"array=ztest_ETX-01-S42-DCW:(250000,):float64",2a9f9955503578fb48b959c7253f1d8a7de0c1ffb85704dfb2ff85253fea1c39;2a9f9955503578fb48b959c7253f1d8a7de0c1ffb85704dfb2ff85253fea1c39,test_only,contains_exact_duplicate_artifacts,unknown,potential_component_only_not_a_recommendation
ETX-01-S42-FULL,component_family:etx,etx,unknown,artifacts/ztest_ETX-01-S42-FULL.npy,unknown,1,"array=ztest_ETX-01-S42-FULL:(250000,):float64",4015e2161760e63979414147cbdfadeb07dac81386013daffdd38b402cd4878c,test_only,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S42-TEST,component_family:etx,etx,unknown,unknown,artifacts/model_ETX-01-S42-TEST.pt;пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/artifacts/models/model_ETX-01-S42-TEST.pt,2,unknown,bc8af886d1a4b5c81124211c8bac1d237b9987ec535faf009442526184b0937a;bc8af886d1a4b5c81124211c8bac1d237b9987ec535faf009442526184b0937a,model_only,contains_exact_duplicate_artifacts,unknown,model_state_only
ETX-01-S42-V0904,component_family:etx,etx,artifacts/oof_ETX-01-S42-V0904.npz,unknown,artifacts/model_ETX-01-S42-V0904.pt,2,"arrays=user_id:(188518,):int64|cutoff:(188518,):<U10|z:(188518,):float32|y:(188518,):float32;unknown",558fd1554076ec03ea976aa31808697003e98591c03b7ddb9403a2a9fbc1ad53;c60a9f92ff58a64c65724e07e04ead4ac6ce078e5b0f172377243fb5339adc4c,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S42-V0918,component_family:etx,etx,artifacts/oof_ETX-01-S42-V0918.npz,unknown,artifacts/model_ETX-01-S42-V0918.pt,2,"arrays=user_id:(191025,):int64|cutoff:(191025,):<U10|z:(191025,):float32|y:(191025,):float32;unknown",a7ad59fbdf0dee5ff02d2aed2fc1e7043de98a6f627d54e9b5815d585116eda5;afec28e0124c5422c1b38cd52d2d9da87e4535dbebf13f8c83faa0f2bffdfc9f,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S42-V1002,component_family:etx,etx,artifacts/oof_ETX-01-S42-V1002.npz,unknown,artifacts/model_ETX-01-S42-V1002.pt,2,"arrays=user_id:(193694,):int64|cutoff:(193694,):<U10|z:(193694,):float32|y:(193694,):float32;unknown",419e4060887fdcbc596d3147f6cb11d9ff7c5af746e01a21ea1edb2e0c9a591f;def5d02ffe8f3d4d7f9b87929b30f6a18ffbdf882a7e9edcc401f4bb26f84e5e,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S42-V1016,component_family:etx,etx,artifacts/oof_ETX-01-S42-V1016.npz,unknown,artifacts/model_ETX-01-S42-V1016.pt,2,"arrays=user_id:(197379,):int64|cutoff:(197379,):<U10|z:(197379,):float32|y:(197379,):float32;unknown",a16f9c255b11825e112db8c69572f96ba64a72d70941041d90fba7968d8aa177;18e35df4d7960818a9fa640ec3eafdf7fbb212c6cfa224ee426b4a126abd8b2f,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S43,component_family:etx,etx,artifacts/oof_ETX-01-S43.npz,artifacts/ztest_ETX-01-S43.npy,unknown,2,"array=ztest_ETX-01-S43:(250000,):float64;arrays=user_id:(770616,):int64|cutoff:(770616,):<U10|z:(770616,):float32|y:(770616,):float32",69ffc5703428443fbc2bdb569c101a6158c75c55baab86f90aa315a4a2ae73a9;e4a330bf493f4c2abfc8cb20001fc9c048f614a3b6a6a462c60e63f1affe7f53,oof_and_test,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S43-DCW,component_family:etx,etx,unknown,artifacts/ztest_ETX-01-S43-DCW.npy;пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/artifacts/predictions/ztest_ETX-01-S43-DCW.npy,unknown,2,"array=ztest_ETX-01-S43-DCW:(250000,):float64",eba71ea4cc7eb43958fa5b3fae9ae6812052643293677f85d8acac7b86283c04;eba71ea4cc7eb43958fa5b3fae9ae6812052643293677f85d8acac7b86283c04,test_only,contains_exact_duplicate_artifacts,unknown,potential_component_only_not_a_recommendation
ETX-01-S43-FULL,component_family:etx,etx,unknown,artifacts/ztest_ETX-01-S43-FULL.npy,unknown,1,"array=ztest_ETX-01-S43-FULL:(250000,):float64",db7312807848811da2ab60a39beb70317eccaa7192371fca46525f0b89f6071c,test_only,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S43-TEST,component_family:etx,etx,unknown,unknown,artifacts/model_ETX-01-S43-TEST.pt;пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/artifacts/models/model_ETX-01-S43-TEST.pt,2,unknown,685c228b4089a4c2d7292bdd1ad17ee6a402366fd6c557d37d31f6a278c4b4b2;685c228b4089a4c2d7292bdd1ad17ee6a402366fd6c557d37d31f6a278c4b4b2,model_only,contains_exact_duplicate_artifacts,unknown,model_state_only
ETX-01-S43-V0904,component_family:etx,etx,artifacts/oof_ETX-01-S43-V0904.npz,unknown,unknown,1,"arrays=user_id:(188518,):int64|cutoff:(188518,):<U10|z:(188518,):float32|y:(188518,):float32",49ae4d10fa04d80be2698214cd4879ea2f0ed87138f7b5c18ae02276bdb606f2,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S43-V0918,component_family:etx,etx,artifacts/oof_ETX-01-S43-V0918.npz,unknown,unknown,1,"arrays=user_id:(191025,):int64|cutoff:(191025,):<U10|z:(191025,):float32|y:(191025,):float32",3ef750d61c7226030d8d55f06ea9dea2eecc267723c6ab2547890e844dad008b,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S43-V1002,component_family:etx,etx,artifacts/oof_ETX-01-S43-V1002.npz,unknown,unknown,1,"arrays=user_id:(193694,):int64|cutoff:(193694,):<U10|z:(193694,):float32|y:(193694,):float32",1c212b4f5a79de3c852929911c902df12e3a7ed018353a9e8300563018e3efe3,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S43-V1016,component_family:etx,etx,artifacts/oof_ETX-01-S43-V1016.npz,unknown,unknown,1,"arrays=user_id:(197379,):int64|cutoff:(197379,):<U10|z:(197379,):float32|y:(197379,):float32",89e6bb0b8e2ba6932ca00f786345362fadc903bbf16404f52193c0db9f4984a8,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S44,component_family:etx,etx,artifacts/oof_ETX-01-S44.npz,artifacts/ztest_ETX-01-S44.npy,unknown,2,"array=ztest_ETX-01-S44:(250000,):float64;arrays=user_id:(770616,):int64|cutoff:(770616,):<U10|z:(770616,):float32|y:(770616,):float32",203ffe180c1105d0d86e12a4997e47b598c700fc16047bfd46e52588dcc2750c;506bd8325ad203dadaa303ec6903824f6928cfd07952363fa596aba1024be913,oof_and_test,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S44-DCW,component_family:etx,etx,unknown,artifacts/ztest_ETX-01-S44-DCW.npy;пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/artifacts/predictions/ztest_ETX-01-S44-DCW.npy,unknown,2,"array=ztest_ETX-01-S44-DCW:(250000,):float64",eb69c69fbabef0648ae555bcda4ada05d3ec3d7bbf8214b10fa2ebaab4a19c34;eb69c69fbabef0648ae555bcda4ada05d3ec3d7bbf8214b10fa2ebaab4a19c34,test_only,contains_exact_duplicate_artifacts,unknown,potential_component_only_not_a_recommendation
ETX-01-S44-FULL,component_family:etx,etx,unknown,artifacts/ztest_ETX-01-S44-FULL.npy,unknown,1,"array=ztest_ETX-01-S44-FULL:(250000,):float64",a80d9278a64a6e4c429c9499ad8f640bccdb03aa872bc4853e72c9387165c85a,test_only,unknown,unknown,potential_component_only_not_a_recommendation
ETX-01-S44-TEST,component_family:etx,etx,unknown,unknown,artifacts/model_ETX-01-S44-TEST.pt;пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/artifacts/models/model_ETX-01-S44-TEST.pt,2,unknown,1a5b31e0687ac6cdbbbd4910f6924080f61f05b64b465b77fab7283e8479d7c4;1a5b31e0687ac6cdbbbd4910f6924080f61f05b64b465b77fab7283e8479d7c4,model_only,contains_exact_duplicate_artifacts,unknown,model_state_only
ETX-01-S44-V0904,component_family:etx,etx,artifacts/oof_ETX-01-S44-V0904.npz,unknown,artifacts/model_ETX-01-S44-V0904.pt,2,"arrays=user_id:(188518,):int64|cutoff:(188518,):<U10|z:(188518,):float32|y:(188518,):float32;unknown",39c6a580338fcfdf130e8daabc460d19548cd44fa6f1a6e00ef878c1aa494a61;95949df34e7a66fdc8e3d324566bc45963fbc7f4641d77eb325188e38fc22d78,oof_only,unknown,unknown,potential_component_only_not_a_recommendation
