feature,hist_mean,test_mean,smd,ks,psi,hist_missing,test_missing,hist_q10,test_q10,hist_q50,test_q50,hist_q90,test_q90,median_delta_iqr,gain,split,gain_share
w60_aov,28.0418840510593,24.667110031578858,-0.04997947493346897,0.08262999999999998,0.030482290533636294,0.0,0.0,0.0,0.0,16.306394577026367,13.024040699005127,57.61464424133301,52.65798912048346,-0.10411982083076775,373.5692047119141,1.0,0.0001046359565583
w365_lgmv_std,0.9082139551734939,0.923113348292581,0.04383781323482825,0.03489313365193897,0.008678358269669567,0.17356000000000005,0.19349000000000005,0.5023871004581452,0.531246542930603,0.896291583776474,0.9186501502990723,1.303757095336914,1.2967033386230469,0.05744591490875205,300.2294410705566,1.4,8.409364143816798e-05
rec_over_buygap,1.841078835451528,2.149740143570333,0.035325470775618074,0.03159217280324589,0.00520873817416953,0.17356000000000005,0.18649000000000004,0.04639827609062197,0.0572916641831398,0.6431847810745239,0.7142856121063232,3.3333330154418945,3.666666269302368,0.05264996871757253,278.31811447143554,2.2,7.795632447188135e-05
w365_days_search,98.23872412180782,90.40789,-0.11319574285566923,0.08147000000000001,0.04034594566207869,0.0,0.0,23.89090919494629,17.0,82.29090881347656,72.0,198.28720092773438,195.0,-0.11022313668297143,226.37219848632813,2.0,6.340638154339212e-05
w30_lgmv_mean,3.2861327758269114,3.1438117345150567,-0.16629050256090236,0.07326432716909087,0.04116472397705222,0.38966,0.45826,2.2969751358032227,2.1060349702835084,3.2099703550338745,3.0768539905548096,4.358327007293702,4.244922399520875,-0.12610437644447886,210.0348419189453,0.8,5.883032197932652e-05
w365_gmv_cat,84.2285278012516,71.51294527576405,-0.032468752723413756,0.01705000000000001,0.0020122222551914246,0.0,0.0,0.0,0.0,0.0,0.0,176.88022613525413,153.2682083129883,0.0,203.94140090942383,2.4,5.71235618376424e-05
w90_lgmv_mean,3.294968068394859,3.2058052920282925,-0.12052549517076067,0.062257710636904495,0.03179600059934965,0.19699,0.24609000000000003,2.457784652709961,2.3183727264404297,3.243617057800293,3.1533637046813965,4.17985725402832,4.134676456451416,-0.10423539052406541,180.83282165527345,1.8,5.065089689507495e-05
w180_gmv,583.2793370911921,561.3031182535551,-0.018268655127381364,0.04860999999999999,0.013648260401085584,0.0,0.0,0.0,0.0,220.1379165649414,183.9595947265625,1454.1232543945314,1437.795458984375,-0.059893427057092004,179.09739990234374,0.4,5.016480887481124e-05
w365_gmv_max,249.72261033618227,271.7019311715063,0.04255474094724989,0.03144395856199245,0.009359766994148956,0.10602,0.12690999999999997,23.966740417480473,24.02834091186524,119.47109603881836,130.6731414794922,567.9865051269531,630.3434936523437,0.051918020382738336,177.5616584777832,2.4,4.973465089883718e-05
w365_days_cart,44.68994353372574,41.70301,-0.0688888183524582,0.07199,0.03236309997660617,0.0,0.0,5.91093111038208,4.0,31.03238868713379,27.0,102.30104064941406,101.0,-0.08480688733014669,164.6589225769043,1.2,4.612062143340279e-05
w180_gmv_cat,41.96010778123744,38.55401419404108,-0.01528073161802197,0.022400000000000087,0.0017580471009005921,0.0,0.0,0.0,0.0,0.0,0.0,82.35773468017601,73.27568817138675,0.0,137.90888214111328,1.0,3.862799079450669e-05
w180_gmv_max,213.29294491881797,207.62609597797646,-0.012968467696969644,0.019270323444252363,0.014044876924791734,0.13066,0.1693,19.999602890014657,18.173382568359376,100.45272064208984,96.20772171020508,487.8028900146483,478.5606994628908,-0.023296307039356583,136.88014221191406,1.0,3.833984288192781e-05
w180_days_search,50.27482,50.48036,0.005779617213246062,0.036019999999999996,0.01733200074102085,0.0,0.0,13.0,11.0,42.0,41.0,101.0,105.0,-0.020833333333333332,123.17864151000975,1.0,3.450208105856296e-05
w180_lgmv_mean,3.296824173890141,3.2267959815905303,-0.10428267603964911,0.055717079983376216,0.02637378135849033,0.13066,0.1693,2.5372230768203736,2.4429492473602297,3.2524070739746094,3.177064061164856,4.094483184814453,4.058096075057984,-0.09666455195163522,116.31300048828123,1.0,3.2579029300994886e-05
trend_pres_30_90,1.0542989664904774,0.9931270996002108,-0.16584587085523506,0.07889000000000002,0.03159839000607343,0.0,0.0,0.5999891757965088,0.5294103622436523,1.032785415649414,0.9999849796295166,1.499995470046997,1.451608657836914,-0.07717759176742435,106.67807998657229,1.4,2.988030812606003e-05
w90_lgmv_std,0.8759129625552207,0.8919022466317612,0.03885451300929503,0.022546577172995574,0.014090103883906729,0.32345999999999997,0.37710999999999995,0.37276512384414673,0.3863235592842102,0.8558030426502228,0.8741940259933472,1.3710119366645814,1.3821444511413576,0.03736564452601806,100.3160614013672,0.6,2.8098319964541032e-05
w60_lgmv_mean,3.290613433689422,3.1933976993968924,-0.12357756981455875,0.0634832483430226,0.03454316442034614,0.25683,0.31484,2.3990156650543213,2.2368524074554443,3.2317841053009033,3.1383591890335083,4.240686511993409,4.195488691329956,-0.10059679950956003,94.4955795288086,0.8,2.6468015108884756e-05
w180_orders,16.97801,17.1707,0.006002456111522732,0.04458999999999999,0.015649880147645984,0.0,0.0,0.0,0.0,8.0,7.0,41.0,43.0,-0.05555555555555555,80.46120147705078,0.6,2.253701503279675e-05
w180_cat_gmv_share,0.05974264671210477,0.055761239532373476,-0.024920148082649793,0.019320000000000004,0.001870338792080446,0.0,0.0,0.0,0.0,0.0,0.0,0.18703113198280347,0.16676978915929797,0.0,77.74120178222657,0.4,2.177514878066354e-05
w365_searches,387.1279368043387,361.59568,-0.050103459327034465,0.06436,0.030405571428608776,0.0,0.0,53.04498291015625,38.0,232.38754272460938,202.0,868.4483032226562,846.0,-0.0829664566638788,71.6411003112793,0.8,2.006652305759954e-05
w180_days_cart,23.29215,23.6315,0.014725296069736979,0.03591999999999998,0.015090025588971547,0.0,0.0,3.0,2.0,16.0,16.0,53.0,57.0,0.0,62.216400146484375,0.4,1.742668416140598e-05
w90_orders,9.36856,8.95725,-0.02376255386610031,0.05424000000000001,0.01627495834704448,0.0,0.0,0.0,0.0,4.0,4.0,23.0,23.0,0.0,53.69190063476562,0.4,1.5038989594137186e-05
w90_days_present,32.84803,33.66892,0.03984489374879754,0.03059999999999996,0.0157158053920582,0.0,0.0,10.0,9.0,29.0,30.0,62.0,66.0,0.034482758620689655,41.20113983154297,0.4,1.1540353495922964e-05
dlog_gmv_60_180,-1.2913782525353588,-1.396313875807672,-0.07122371962411954,0.04311999999999999,0.02583299113796151,0.0,0.0,-3.4210671424865717,-3.720187973976135,-0.8748044073581696,-0.9721108973026276,0.0,0.0,-0.06128487002038869,39.95048065185547,0.4,1.1190046463264972e-05
w30_days_present,11.44307,11.18974,-0.033459225485392846,0.040590000000000015,0.015434398460446449,0.0,0.0,3.0,2.0,10.0,10.0,22.0,23.0,0.0,30.13194122314453,0.4,8.439894009127434e-06
w90_aov,30.514014338462204,27.42001740653435,-0.0461904174299026,0.07327,0.02493004859662695,0.0,0.0,0.0,0.0,19.069035530090332,16.268603324890137,60.70619201660163,56.724870300292984,-0.10919730886224234,22.399200439453125,0.2,6.273969413327309e-06
w180_carts,63.6123,69.45678,0.05262496742055515,0.022680000000000006,0.011213167891551684,0.0,0.0,4.0,3.0,31.0,32.0,154.0,172.0,0.015873015873015872,22.21100006103516,0.2,6.221254879120489e-06
w365_carts,121.7010312596941,118.61182,-0.0153102057790476,0.05080000000000001,0.01584215728142124,0.0,0.0,8.84083080291748,6.0,59.35986328125,54.0,292.5910949707031,293.0,-0.04514719963001979,20.161319732666016,0.4,5.64714368608718e-06
w90_gmv_max,161.48523746157008,154.9710705842971,-0.020446442806538286,0.02955893132224241,0.01861068244801843,0.19699,0.24609000000000003,15.468196868896484,13.352882385253906,74.35945892333984,68.70608520507812,370.45965576171875,348.9634704589844,-0.04118681896620556,19.670939636230468,0.2,5.50978924192934e-06
w90_searches,106.03539,110.07129,0.02746578801583558,0.02556999999999998,0.008595979801873939,0.0,0.0,13.0,11.0,63.0,61.0,240.0,259.0,-0.019417475728155338,17.96112060546875,0.2,5.030872490846154e-06
w365_gmv,1105.4409716583687,1009.1427815587118,-0.04399971082576211,0.05135000000000001,0.014056315629056827,0.0,0.0,0.0,0.0,434.9822998046875,355.3245849609375,2735.761962890626,2574.384521484375,-0.06985299798274963,15.771339416503906,0.2,4.41751933841638e-06
w180_lgmv_std,0.8964310923948249,0.9103877226828976,0.03783778316290016,0.025820056937866653,0.013630190287083706,0.21614,0.26134,0.4559774398803711,0.4638083428144455,0.8832500278949738,0.9026266038417816,1.3229019045829773,1.3333656787872314,0.04572222222222222,12.761119842529297,0.2,3.574363102301331e-06
w90_days_presence_only,4.95222,5.56123,0.09739237835717171,0.03149000000000002,0.008408738203856125,0.0,0.0,0.0,0.0,3.0,3.0,12.0,14.0,0.0,11.317379760742188,0.2,3.1699745109133728e-06
w180_aov,33.49841729436338,30.593472079762854,-0.03927451350037246,0.061460000000000015,0.02010557293982653,0.0,0.0,0.0,0.0,22.694679260253906,20.25228786468506,63.66103363037113,60.08671226501466,-0.09775181546084397,10.371420288085938,0.2,2.9050132318831178e-06
rec_search,5.170934179826362,6.2340677184611994,0.08943349398402023,0.04037633636947158,0.011183306194710882,0.0013699999999999823,0.0023400000000000087,0.0,0.0,2.0,2.0,14.0,17.0,0.0,8.739420318603516,0.2,2.44789343786364e-06
w180_gmv_per_day,8.342979482543035,7.570836862077096,-0.043587713275654694,0.05249000000000004,0.014746357365504198,0.0,0.0,0.0,0.0,4.10364031791687,3.399580478668213,19.846394920349123,18.733887481689457,-0.07992044980975449,8.438580322265626,0.2,2.363628781166121e-06
w60_cart2ord,0.31403735981116304,0.25768527723726586,-0.19075505845332702,0.08183999999999997,0.03780369992500258,0.0,0.0,0.0,0.0,0.23636363446712494,0.1666666567325592,0.7999998331069946,0.6703421771526344,-0.13939398039471754,0.0,0.0,0.0
w90_cart2ord,0.3208176853695465,0.26743218738602476,-0.1905891035535155,0.08126999999999995,0.03735799395611013,0.0,0.0,0.0,0.0,0.2499999850988388,0.19354838132858276,0.7647058367729187,0.666666567325592,-0.13172042580808735,0.0,0.0,0.0
w30_cart2ord,0.2842235730867472,0.22545421230955515,-0.18616790057641322,0.08376000000000006,0.03532730338559801,0.0,0.0,0.0,0.0,0.166666641831398,0.07692307233810425,0.8571428060531616,0.699999988079071,-0.1794872245727656,0.0,0.0,0.0
trend_gmv_30_90,0.8494445721030457,0.6836662679176608,-0.17330378288060452,0.08356000000000008,0.034124285949019825,0.0,0.0,0.0,0.0,0.46127043664455414,0.1841713935136795,2.5719358682632456,2.25597939491272,-0.18837772433396074,0.0,0.0,0.0
w30_gmv_per_day,8.372563140904914,6.361753715876888,-0.08800509426757915,0.08451999999999998,0.03381791113578192,0.0,0.0,0.0,0.0,1.7872635126113892,0.6788919866085052,21.332463836669923,16.22696266174318,-0.13246058035541292,0.0,0.0,0.0
w30_gmv_max,107.4672336101128,92.49902947191806,-0.06599439413859728,0.054058732534451814,0.03219829843422115,0.38966,0.45826,10.579465103149413,8.342048454284669,46.19649887084961,39.31198692321777,237.3894500732424,198.62142333984414,-0.07914093576071843,0.0,0.0,0.0
trend_srch_30_90,1.0533453165430482,0.9624354366461374,-0.163432344748103,0.07699,0.02989057322129482,0.0,0.0,0.3658060163259513,0.2999635159969335,0.9999982118606567,0.9069748520851135,1.7999892234802246,1.6923037767410278,-0.12887280545187557,0.0,0.0,0.0
w30_gmv,111.53414508240726,84.94217509113656,-0.0934529929055915,0.08099000000000006,0.029652102036792766,0.0,0.0,0.0,0.0,19.43244743347168,7.95786190032959,288.97226562500003,217.72300872802748,-0.11094550087857548,0.0,0.0,0.0
w30_lgmv,2.642861837210227,2.2483898902089337,-0.16989791431178658,0.08099000000000006,0.029652102036792766,0.0,0.0,0.0,0.0,3.0171241760253906,2.1925315856933594,5.669785261154175,5.38780632019043,-0.17738999151104914,0.0,0.0,0.0
w30_gmv30eq,2.642861837210227,2.2483898902089337,-0.16989791431178658,0.08099000000000006,0.029652102036792766,0.0,0.0,0.0,0.0,3.0171241760253906,2.1925315856933594,5.669785261154175,5.38780632019043,-0.17738999151104914,0.0,0.0,0.0
trend_gmv_30_60,0.7553662358493181,0.6371838582081063,-0.15480196226379767,0.07655,0.026662503175142398,0.0,0.0,0.0,0.0,0.5468824207782745,0.2364390417933464,1.9999942779541016,1.9999885559082031,-0.21098706488980407,0.0,0.0,0.0
w60_gmv_per_day,8.516929494666895,7.2136753303003704,-0.06855164578261592,0.07441000000000003,0.026540720693961867,0.0,0.0,0.0,0.0,3.1250044107437134,2.0727524757385254,21.63060359954834,18.467354965210014,-0.10899058692576087,0.0,0.0,0.0
dlog_gmv_30_90,-1.4327475535166874,-1.5060506385259642,-0.044563775970004875,0.03567000000000009,0.02638760781728271,0.0,0.0,-4.037127876281738,-4.1499999999999995,-0.8831760585308075,-0.9821413457393646,0.0,0.0,-0.044934685031203174,0.0,0.0,0.0
w90_gmv_per_day,8.512214384559055,7.3552241670997915,-0.06784644794360746,0.07084000000000001,0.024390309826309433,0.0,0.0,0.0,0.0,3.66473126411438,2.666916012763977,21.246812248229983,18.49998722076417,-0.10629476549364167,0.0,0.0,0.0
w30_buyday_rate,0.14621920975085348,0.1242719704400003,-0.129229877715674,0.07272,0.024051668476168075,0.0,0.0,0.0,0.0,0.09999998658895493,0.0624999962747097,0.3749999701976776,0.3333333134651184,-0.15937496833503056,0.0,0.0,0.0
w14_lgmv_mean,3.2791891257167505,3.155011783149818,-0.13324926520129887,0.060059583599161026,0.023742432221273434,0.5583,0.6100300000000001,2.2020164728164673,2.0207283973693846,3.1828380823135376,3.074206829071045,4.481606197357178,4.365664863586426,-0.09189437398372673,0.0,0.0,0.0
w60_gmv_max,138.32284541319893,128.3048299569513,-0.035643659557162276,0.035708476295552294,0.02367392556953741,0.25683,0.31484,13.210370635986328,11.235546112060547,62.03322982788086,55.98645782470703,313.17433471679686,283.0388946533203,-0.0523580468929915,0.0,0.0,0.0
w60_gmv,218.50283509679713,186.78644495241687,-0.06302737698351553,0.06953000000000004,0.023407188799129012,0.0,0.0,0.0,0.0,62.905160903930664,41.47584342956543,568.1579223632814,487.69567260742207,-0.09444624377267481,0.0,0.0,0.0
w60_lgmv,3.5563237608703413,3.191078595507387,-0.14988340128424577,0.06953000000000004,0.023407188799129012,0.0,0.0,0.0,0.0,4.157400131225586,3.748935580253601,6.344158077239991,6.191740131378174,-0.07523916705653717,0.0,0.0,0.0
w60_gmv30eq,3.056266510129329,2.732560038979743,-0.1495002713870209,0.06953000000000004,0.023407188799129012,0.0,0.0,0.0,0.0,3.4797799587249756,3.079058289527893,5.652766180038452,5.5006371498107915,-0.08453841231212349,0.0,0.0,0.0
w14_aov,16.105629412957988,13.157929300841223,-0.05336314634193733,0.07152999999999998,0.02224294095836225,0.0,0.0,0.0,0.0,0.0,0.0,39.03594818115235,31.697597122192388,0.0,0.0,0.0,0.0
w14_cart2ord,0.23023918863754486,0.183497787199968,-0.14617985978620943,0.05929999999999991,0.02142731740404207,0.0,0.0,0.0,0.0,0.0,0.0,0.9999989867210388,0.666666567325592,0.0,0.0,0.0,0.0
dlog_buyd_30_90,-0.6443086314643175,-0.6534033561111987,-0.016644699240397045,0.035640000000000005,0.021304568019081517,0.0,0.0,-1.3862943649291992,-1.3862943649291992,-0.6931471824645996,-0.6931471824645996,0.0,0.0,0.0,0.0,0.0,0.0
w14_gmv_max,83.7534552521608,73.80482486042588,-0.05645844542345396,0.04568895888492702,0.021246414750617833,0.5583,0.6100300000000001,8.740901565551757,7.02174654006958,35.13571357727051,31.115337371826172,182.53908233642576,156.37661743164065,-0.06078977148758674,0.0,0.0,0.0
w30_orders,3.30391,2.80919,-0.07634233822828071,0.0686,0.02091879592104115,0.0,0.0,0.0,0.0,1.0,1.0,9.0,8.0,0.0,0.0,0.0,0.0
dlog_gmv_7_30,-1.541924638740428,-1.3050699483834844,0.13016122095361551,0.06599000000000005,0.020503630664682547,0.0,0.0,-4.4858780860900875,-4.172744560241699,-0.5051490664482117,0.0,0.0,0.0,0.16952149364786087,0.0,0.0,0.0
w30_days_buy,1.9316,1.6742,-0.09980352377917302,0.0686,0.02022848237261485,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0
w90_buyday_rate,0.14681066528042777,0.13173637509426103,-0.11438250598682813,0.062309999999999977,0.01974616516678469,0.0,0.0,0.0,0.0,0.12121211737394333,0.10169491171836853,0.333333283662796,0.3124999701976776,-0.10994901654254098,0.0,0.0,0.0
w14_gmv_per_day,7.773332327983461,5.968313198571449,-0.06973531239420375,0.06211999999999995,0.019380295180655017,0.0,0.0,0.0,0.0,0.0,0.0,19.62365818023682,14.676314926147468,0.0,0.0,0.0,0.0
w60_buyday_rate,0.14751498165396973,0.13120301758028566,-0.11463269322794883,0.06394,0.019157844079201757,0.0,0.0,0.0,0.0,0.11764705181121826,0.09756097197532654,0.3421052396297455,0.33333322405815125,-0.0889526419242301,0.0,0.0,0.0
w60_days_buy,3.77332,3.45306,-0.06790480226512219,0.060960000000000014,0.018873377932320193,0.0,0.0,0.0,0.0,2.0,2.0,10.0,9.0,0.0,0.0,0.0,0.0
w180_cart2ord,0.31824830437804225,0.2847311838962836,-0.12848828949761257,0.05252000000000001,0.018833530352864506,0.0,0.0,0.0,0.0,0.2539682388305664,0.2222222089767456,0.7249999642372131,0.666666567325592,-0.07987715406313026,0.0,0.0,0.0
w60_orders,6.46651,5.8555,-0.051206136587347906,0.06211,0.018659568469044426,0.0,0.0,0.0,0.0,3.0,2.0,16.0,15.0,-0.125,0.0,0.0,0.0
w90_gmv,317.42678998888715,289.10573961722156,-0.041025300974015876,0.06070000000000003,0.01850543905196816,0.0,0.0,0.0,0.0,106.7296028137207,78.9526138305664,815.8139892578128,747.7813903808594,-0.08447382409430966,0.0,0.0,0.0
w90_lgmv,4.075609390708152,3.7544405295933596,-0.13156437374768093,0.06070000000000003,0.01850543905196816,0.0,0.0,0.0,0.0,4.679624319076538,4.381434202194214,6.705411243438721,6.618447017669678,-0.09785312841603563,0.0,0.0,0.0
w90_gmv30eq,3.2190686170204357,2.953817298213486,-0.12916084916605225,0.06070000000000003,0.01850543905196816,0.0,0.0,0.0,0.0,3.5994069576263428,3.3075289726257324,5.6092445850372314,5.522502136230469,-0.09934636788895897,0.0,0.0,0.0
dlog_buyd_7_30,-0.5086331722205877,-0.44183786162018773,0.12382983482869578,0.06571999999999995,0.017987103095381776,0.0,0.0,-1.3862943649291992,-1.1786550283432007,-0.40546509623527527,0.0,0.0,0.0,0.44250702278985077,0.0,0.0,0.0
w14_gmv,51.89846802876469,39.864028337517624,-0.07462287005908999,0.06209000000000009,0.017843939381561286,0.0,0.0,0.0,0.0,0.0,0.0,132.24776306152347,98.5591270446778,0.0,0.0,0.0,0.0
