row_group,rows,user_id_min,user_id_max,event_date_min,event_date_max
112,122880,409909,413513,2025-01-01,2026-02-13
113,122880,413513,417257,2025-01-01,2026-02-13
114,122880,417257,420921,2025-01-01,2026-02-13
115,122880,420921,424759,2025-01-01,2026-02-13
116,122880,424759,428315,2025-01-01,2026-02-13
117,122880,428315,432102,2025-01-01,2026-02-13
118,122880,432102,435697,2025-01-01,2026-02-13
119,122880,435697,439293,2025-01-01,2026-02-13
120,122880,439293,443208,2025-01-01,2026-02-13
121,122880,443208,446997,2025-01-01,2026-02-13
122,122880,446999,450790,2025-01-01,2026-02-13
123,122880,450790,454500,2025-01-01,2026-02-13
124,122880,454500,458311,2025-01-01,2026-02-13
125,122880,458311,462150,2025-01-01,2026-02-13
126,122880,462150,465912,2025-01-01,2026-02-13
127,122880,465912,469571,2025-01-01,2026-02-13
128,122880,469571,473223,2025-01-01,2026-02-13
129,122880,473223,476972,2025-01-01,2026-02-13
130,122880,476972,480701,2025-01-01,2026-02-13
131,122880,480701,484360,2025-01-01,2026-02-13
132,122880,484360,488117,2025-01-01,2026-02-13
133,122880,488117,491880,2025-01-01,2026-02-13
134,122880,491880,495481,2025-01-01,2026-02-13
135,122880,495481,499114,2025-01-01,2026-02-13
136,122880,499114,502900,2025-01-01,2026-02-13
137,122880,502900,506733,2025-01-01,2026-02-13
138,122880,506733,510381,2025-01-01,2026-02-13
139,122880,510381,514171,2025-01-01,2026-02-13
140,122880,514171,517733,2025-01-01,2026-02-13
141,122880,517733,521232,2025-01-01,2026-02-13
142,122880,521232,524869,2025-01-01,2026-02-13
143,122880,524869,528790,2025-01-01,2026-02-13
144,122880,528790,532568,2025-01-01,2026-02-13
145,122880,532568,536328,2025-01-01,2026-02-13
146,122880,536328,539909,2025-01-01,2026-02-13
147,122880,539909,543731,2025-01-01,2026-02-13
148,122880,543731,547601,2025-01-01,2026-02-13
149,122880,547601,551412,2025-01-01,2026-02-13
150,122880,551412,555524,2025-01-01,2026-02-13
151,122880,555524,559238,2025-01-01,2026-02-13
152,122880,559238,562941,2025-01-01,2026-02-13
153,122880,562941,566435,2025-01-01,2026-02-13
154,122880,566435,569863,2025-01-01,2026-02-13
155,122880,569863,573808,2025-01-01,2026-02-13
156,122880,573808,577271,2025-01-01,2026-02-13
157,122880,577271,581099,2025-01-01,2026-02-13
158,122880,581099,585162,2025-01-01,2026-02-13
159,122880,585162,588680,2025-01-01,2026-02-13
160,122880,588680,592559,2025-01-01,2026-02-13
161,122880,592559,596235,2025-01-01,2026-02-13
162,122880,596235,599704,2025-01-01,2026-02-13
163,122880,599704,603275,2025-01-01,2026-02-13
164,122880,603275,606800,2025-01-01,2026-02-13
165,122880,606800,610260,2025-01-01,2026-02-13
166,122880,610260,614060,2025-01-01,2026-02-13
167,122880,614060,617854,2025-01-01,2026-02-13
168,122880,617854,621496,2025-01-01,2026-02-13
169,122880,621496,625243,2025-01-01,2026-02-13
170,122880,625243,629134,2025-01-01,2026-02-13
171,122880,629134,632863,2025-01-01,2026-02-13
172,122880,632863,636600,2025-01-01,2026-02-13
173,122880,636600,640100,2025-01-01,2026-02-13
174,122880,640100,643707,2025-01-01,2026-02-13
175,122880,643707,647335,2025-01-01,2026-02-13
176,122880,647335,651173,2025-01-01,2026-02-13
177,122880,651173,654776,2025-01-01,2026-02-13
178,122880,654776,658625,2025-01-01,2026-02-13
179,122880,658625,662312,2025-01-01,2026-02-13
180,122880,662312,666035,2025-01-01,2026-02-13
181,122880,666035,669853,2025-01-01,2026-02-13
182,122880,669853,673779,2025-01-01,2026-02-13
183,122880,673779,677283,2025-01-01,2026-02-13
184,122880,677283,681118,2025-01-01,2026-02-13
185,122880,681118,685033,2025-01-01,2026-02-13
186,122880,685033,688888,2025-01-01,2026-02-13
187,122880,688888,692470,2025-01-01,2026-02-13
188,122880,692470,696179,2025-01-01,2026-02-13
189,122880,696179,699716,2025-01-01,2026-02-13
190,122880,699716,703431,2025-01-01,2026-02-13
191,122880,703431,707153,2025-01-01,2026-02-13
192,122880,707153,710965,2025-01-01,2026-02-13
193,122880,710965,714629,2025-01-01,2026-02-13
194,122880,714629,718408,2025-01-01,2026-02-13
195,122880,718408,722313,2025-01-01,2026-02-13
196,122880,722313,725963,2025-01-01,2026-02-13
197,122880,725963,729483,2025-01-01,2026-02-13
198,122880,729483,733366,2025-01-01,2026-02-13
199,122880,733366,737044,2025-01-01,2026-02-13
200,122880,737044,740844,2025-01-01,2026-02-13
201,122880,740844,744665,2025-01-01,2026-02-13
202,122880,744665,748349,2025-01-01,2026-02-13
203,122880,748349,752051,2025-01-01,2026-02-13
204,122880,752051,755471,2025-01-01,2026-02-13
205,122880,755471,759137,2025-01-01,2026-02-13
206,122880,759137,762867,2025-01-01,2026-02-13
207,122880,762867,766736,2025-01-01,2026-02-13
208,122880,766736,770478,2025-01-01,2026-02-13
209,122880,770478,774134,2025-01-01,2026-02-13
210,122880,774134,777985,2025-01-01,2026-02-13
211,122880,777985,781566,2025-01-01,2026-02-13
212,122880,781566,785150,2025-01-01,2026-02-13
213,122880,785150,788699,2025-01-01,2026-02-13
214,122880,788699,792364,2025-01-01,2026-02-13
215,122880,792364,796100,2025-01-01,2026-02-13
216,122880,796100,799826,2025-01-01,2026-02-13
217,122880,799826,803429,2025-01-01,2026-02-13
218,122880,803429,807090,2025-01-01,2026-02-13
219,122880,807090,810827,2025-01-01,2026-02-13
220,122880,810827,814525,2025-01-01,2026-02-13
221,122880,814525,818316,2025-01-01,2026-02-13
222,122880,818316,822054,2025-01-01,2026-02-13
223,122880,822054,825564,2025-01-01,2026-02-13
224,122880,825564,829335,2025-01-01,2026-02-13
225,122880,829335,832899,2025-01-01,2026-02-13
226,122880,832899,836548,2025-01-01,2026-02-13
227,122880,836548,840065,2025-01-01,2026-02-13
228,122880,840065,843809,2025-01-01,2026-02-13
229,122880,843809,847387,2025-01-01,2026-02-13
230,122880,847387,851021,2025-01-01,2026-02-13
231,122880,851021,854626,2025-01-01,2026-02-13
232,122880,854626,858141,2025-01-01,2026-02-13
233,122880,858141,861979,2025-01-01,2026-02-13
234,122880,861979,865584,2025-01-01,2026-02-13
235,122880,865584,869195,2025-01-01,2026-02-13
236,122880,869195,872926,2025-01-01,2026-02-13
237,122880,872926,876726,2025-01-01,2026-02-13
238,122880,876726,880604,2025-01-01,2026-02-13
239,122880,880604,884137,2025-01-01,2026-02-13
240,122880,884137,887761,2025-01-01,2026-02-13
241,122880,887761,891418,2025-01-01,2026-02-13
242,122880,891418,895053,2025-01-01,2026-02-13
243,122880,895053,898949,2025-01-01,2026-02-13
244,122880,898949,902652,2025-01-01,2026-02-13
245,122880,902652,906421,2025-01-01,2026-02-13
246,122880,906421,910072,2025-01-01,2026-02-13
247,122880,910072,913701,2025-01-01,2026-02-13
248,122880,913701,917425,2025-01-01,2026-02-13
249,33886,917425,918481,2025-01-01,2026-02-13
