exp_id,timestamp,commit,description,scenario,n_features,model,params,cutoffs,L,panel_blocks,fold_scores,cv_mean,cv_std,bias_mean,best_offset,cv_mean_calib,delta_vs_b0,runtime_s,verdict,conclusion,wcv,fold_cal,mean_z,lb_public
S1-SEEDAVG5,2026-08-12T12:10:04,e3032ca,S_05 B: среднее 5 сидов direct при 300 раундах,S1,227,direct,"{""rounds"": 300, ""seeds"": [42,43,44,45,46], ""avg"": ""log-space equal weights""}",,,,"[1.77214, 1.76457, 1.75202, 1.74437]",1.75827,0.01077,-0.05107,-0.05108,1.75738,,,ПРИНЯТО в разработку,"S_05 вариант B. Пять сидов (42..46) боевой конфигурации direct при 300 раундах. Разброс wCV между сидами: std 0.00010, range 0.00023 — МЕНЬШЕ порога закрытия направления 0.0003 из стратегии, но само правило оказалось мисспецифицировано: усреднение всё равно дало -0.00071 к сиду 42 и -0.00077 к среднему сиду, на 4 фолдах из 4. Разброс скора по сидам мал потому, что скор уже усредняет 190k строк; убирает же усреднение дисперсию ПРЕДСКАЗАНИЙ: Var(z_i - z_j) = 0.00712 в среднем по 10 парам, то есть sigma^2 = 0.00356 на сид. Кривая усреднения монотонна и совпала с теорией MSE_k = M + sigma^2/k с точностью 0.00005: k=1 1.75114, k=2 1.75066, k=3 1.75050, k=4 1.75042, k=5 1.75037. Плато после 3 сидов (3->5 даёт лишь 0.00013). ГЛАВНЫЙ побочный результат: 0.00712 — это пол разнообразия проекта. Var(z_DIST - z_E10)=0.01320 и Var(z_E11 - z_DIST)=0.0107 всего в 1.5-1.8 раза выше пола, то есть половина «разнообразия» смеси — переобучение сидов, а не разные функции. A+B вместе: S1-E10 1.75170 -> 1.75037 (-0.00133) на 4 фолдах из 4. Детали exp_018",1.75037,"[1.77026, 1.76391, 1.75175, 1.74381]",2.67670,
S1-ROUNDS,2026-08-12T12:11:20,e3032ca,S_05 A: кривая по раундам direct; боевая точка 300 раундов вместо 600,S1,227,direct,"{""rounds"": 300, ""curve"": ""25..1600, 16 точек"", ""argmin_wcv"": 200, ""argmin_fold_10-16"": 300}",,,,"[1.7729, 1.76545, 1.75271, 1.74502]",1.75902,0.01084,-0.05077,-0.05077,1.75814,,,ПРИНЯТО в разработку,"S_05 вариант A. Кривая RMSLE_cal(rounds) для direct на 4 фолдах, 16 точек 25..1600, снята срезами по префиксу деревьев (--snap-save) за 28 мин. 600 раундов оказались ПЕРЕОБУЧЕНИЕМ, а не недобором: wCV 1.75170 (600) против 1.75103 (200, argmin), 1.75108 (300) и 1.75457 (1600). Правый край сетки стратегии стоит +0.00287 wCV — больше суммы всех выигрышей E0 и смеси с головой. Рекомендация strategy_1_results.md §9 п.2 «поднять раунды» опровергнута. Дельта -0.00062 к S1-E10 на 4 фолдах из 4 (диапазон exp_016 §6 «в разработку»). argmin по фолдам 150/200/250/300 при 18/20/22/24 обучающих cutoff ах — оптимум растёт с объёмом выборки, +50 раундов на 2 cutoff а; дно плоское (0.00003 между 200 и 300 на фолде 10-16 при парной SE 0.00012), поэтому позиция argmin внутри 150..300 не разрешена. Боевая точка 300 выбрана по фолду 10-16 (правило §Risks стратегии). Контроль методики: срез 600 воспроизвёл S1-E10 на 4 фолдах из 4 до 5-го знака, полный прогон 300 раундов побитово равен срезу 300 из прогона 1600 (Var=0.00000). Детали exp_017",1.75108,"[1.77106, 1.7648, 1.75243, 1.74447]",2.67639,
S1-SAMPLE-A,2026-08-12T15:08:55,27098ea,STRATEGY_02 Variant A: train_blocks=0 with a separate capacity curve and avg3,S1,227,direct,"{""baseline_rounds"": 300, ""only_change"": ""train sample panel"", ""rounds"": 200, ""seeds"": [42, 43, 44], ""train_blocks"": 0}",all @ step 7,0,3,"[1.77179, 1.76447, 1.75225, 1.74476]",1.75832,0.01049,-0.05019,-0.05019,1.75746,,,REJECT,Avg3 wCV 1.750569 vs capacity-matched baseline 1.750456: +0.000113; 2/4 folds and the latest fold is worse by +0.000194. Training rows +9.23% without a quality gain. Exclude from pipeline; details in exp_020.,1.75057,"[1.77018, 1.76389, 1.75195, 1.7441]",2.67582,
S1-GAPAXIS,2026-08-12T15:26:40,3c62fa3,STRATEGY_01 gap-axis k=5 with k=11 latest-fold control,S2,227,validation,"{""actual_gaps"": [35, 63, 91, 126], ""capacity"": ""per probe and gap"", ""k11_control"": true, ""n_cutoffs"": 5, ""requested_gaps"": [30, 60, 90, 120], ""seed"": 42}",last 5 eligible @ step 7,0,3,"[1.77979, 1.76936, 1.75667, 1.75032]",1.76403,0.01139,0.01215,0.01215,1.76384,,,REJECT,"E10 gCV worsens by +0.004951 from actual gap 35 to 126, but the registered bias slope fails (+0.000543/day vs a negative accept band). E03a narrows its deficit but never changes rank; k11 is non-monotone. Do not use gCV as a selection gate; details in exp_019.",1.75637,"[1.77818, 1.76936, 1.7566, 1.75027]",2.61348,
PT-OD-AVG3,2026-08-12T19:16:03,34a2335,"STRATEGY_08 A: просрочка относительно собственного распределения интервалов (9 колонок), avg3",S1,236,direct,"{""base"": ""S1-SEEDAVG3"", ""only_change"": ""feature set"", ""ptime"": ""od"", ""ptime_source"": ""real"", ""rounds"": 300, ""seeds"": [42, 43, 44]}",all @ step 7,,3,"[1.77246, 1.76484, 1.75216, 1.74464]",1.75853,0.01081,-0.05287,-0.05288,1.75758,,,REJECT,"Вариант A. wCV 1.750566 против 1.750456 у S1-SEEDAVG3: +0.000110, 0 фолдов из 4. AUC(y>0) 0.84323 против 0.84326. Обобщение rec_over_buygap на весь личный распределительный профиль (od_rank, квантили, отклонение от ожидаемого момента) не добавляет ничего. Детали exp_021",1.75056,"[1.77053, 1.7641, 1.75186, 1.74404]",2.67850,
PT-FULL-AVG3,2026-08-12T19:16:03,34a2335,"STRATEGY_08 B: полное представление в личном времени (30 колонок), avg3",S1,257,direct,"{""base"": ""S1-SEEDAVG3"", ""only_change"": ""feature set"", ""ptime"": ""full"", ""ptime_source"": ""real"", ""rounds"": 300, ""seeds"": [42, 43, 44]}",all @ step 7,,3,"[1.77217, 1.76474, 1.752, 1.74459]",1.75838,0.01074,-0.05336,-0.05336,1.75742,,,REJECT,"КЛЮЧЕВОЙ вариант. wCV 1.750451 против 1.750456: -0.000006 при пороге exp_016 §6 -0.0005 (промах в 83 раза), 2 фолда из 4, последний фолд ХУЖЕ базы (1.74398 против 1.74391). AUC(y>0) 0.84326 -> 0.84326: -0.0000004 при требуемых по обменному курсу диагностики +0.003..+0.008. Целевые сегменты не улучшились: rec_buy 15-60 RMSLE +0.00012/AUC -0.00002, полоса 2-15 покупательных дней +0.00004/-0.00004, их пересечение +0.00025/-0.00012. Разнообразия нет: Var(z-z_база)=0.00270 против пола сидов 0.00712, corr остатков 0.99956 ВЫШЕ потолка похожести двух сидов 0.99885; corr остатков со смесью 0.99904. Подстановка в слот S1-E10 при фиксированных весах: 1.749484 -> 1.749451, из них -0.000018 уже давало усреднение сидов. Признаки при этом не игнорируются (pt_od_z_buy 5-й по gain на контрольном коротком прогоне) — они избыточны с rec_over_buygap. Гипотеза личного времени FAIL, STRATEGY_13 DEPRIORITIZED. Детали exp_021",1.75045,"[1.77023, 1.76399, 1.75168, 1.74398]",2.67898,
PT-SHUF-AVG3,2026-08-12T19:16:03,34a2335,"STRATEGY_08 C: контроль честности — профиль личного времени переставлен между пользователями, avg3",S1,257,direct,"{""base"": ""S1-SEEDAVG3"", ""only_change"": ""feature set"", ""ptime"": ""full"", ""ptime_source"": ""shuf"", ""rounds"": 300, ""seeds"": [42, 43, 44]}",all @ step 7,,3,"[1.77223, 1.76464, 1.75203, 1.74446]",1.75834,0.01078,-0.05134,-0.05134,1.75744,,,REJECT (контроль),"Контрольный вариант C. rho и весь профиль интервалов переставлены между пользователями фиксированной перестановкой при сохранении маргинального распределения (mean(rho) совпал до 4-го знака, rho совпала лишь у 0.19%). wCV 1.750428 — НЕ ХУЖЕ настоящего личного времени (1.750451) и лучше базы на 3 фолдах из 4 против 2 у B. По отдельным сидам среднее -0.000025 против +0.000021 у B. Сработал критерий закрытия направления «B ~ C»: выигрыша нет, а то, что есть, не связано с тем, ЧЕЙ это ритм. Детали exp_021",1.75043,"[1.77037, 1.76396, 1.75175, 1.74389]",2.67697,
S1-SAMPLE-B,2026-08-12T20:19:27,34a2335,STRATEGY_02 Variant B: dense step 3 at matched train volume,S1,227,direct,"{""baseline_rounds"": 300, ""dense_rounds"": 200, ""dense_step"": 3, ""row_frac"": 0.422, ""seed"": 42}","57 @ step 3, row_frac 0.422",,3,"[1.77383, 1.76646, 1.75450, 1.74643]",1.76031,0.01057,-0.05532,-0.05532,1.75933,,,FAIL,"Capacity-matched dense wCV 1.752339 vs baseline 1.751076: +0.001263, 0/4 folds. Weighted AUC -0.000416; rec_buy 15-60 RMSLE/AUC +0.001557/-0.001208; 2-15 purchase days +0.001512/-0.000935. Train rows within +/-1% each fold. Dense supervision gate for HDN/TCN failed; details exp_022.",1.75234,"[1.77172, 1.76582, 1.75414, 1.74564]",2.68095,
HOLIDAY-YOY,2026-08-12T23:26:32,34a2335,"Персональная holiday-response 2025->2026; direct zero-mean correction, beta=YoY-placebo",S1,6,postprocess,"{""base"": ""S1-DIST-MIX"", ""beta"": ""crossfit_yoy_slope-placebo_slope"", ""level"": 2.3293, ""seed"": 42, ""shrinkage"": ""support/(support+median_positive)"", ""weights"": [0.15, 0.3, 0.1, 0.45]}",saved OOF; 4 folds,,3,"[1.77252, 1.76385, 1.75121, 1.74413]",1.75793,0.01099,-0.06640,-0.06640,1.75652,,,SEND_HIGH_RISK,"wCV +0.000093, 0/4, AUC -0.000003: ordinary CV neutral. YoY diagnostic purchase Pearson 0.03996 vs placebo 0.01281, OOS R2 0.001683 vs 0.000077; one high-risk submission allowed. File submissions/submission_HOLIDAY-YOY.csv; L*=2.3293; E03a kept.",1.74958,"[1.76917, 1.76263, 1.75082, 1.74324]",2.69203,
MHZ-BASE,2026-08-13T03:33:21,34a2335,exp_024 MHZ арка BASE: aux = нет,S1,255,direct+aux,"{""aux"": []}",,,,"[1.77494, 1.76608, 1.75355, 1.7458]",1.76009,0.01122,-0.05366,-0.05366,1.75912,,,,,1.75191,"[1.77275, 1.76527, 1.75325, 1.74529]",2.67928,
MHZ-SELF,2026-08-13T03:33:24,34a2335,exp_024 MHZ арка SELF: aux = ['selfz'],S1,255,direct+aux,"{""aux"": [""selfz""]}",,,,"[1.77549, 1.7669, 1.75393, 1.74627]",1.76065,0.01131,-0.05568,-0.05568,1.75961,,,,,1.75235,"[1.7732, 1.76608, 1.75357, 1.74569]",2.68130,
MHZ-P30,2026-08-13T03:33:27,34a2335,"exp_024 MHZ арка P30: aux = ['b30_p', 'b30_lo', 'val_mu', 'tp30']",S1,255,direct+aux,"{""aux"": [""b30_p"", ""b30_lo"", ""val_mu"", ""tp30""]}",,,,"[1.77572, 1.76685, 1.7542, 1.74669]",1.76087,0.01120,-0.05496,-0.05497,1.75986,,,,,1.75267,"[1.77346, 1.76603, 1.75389, 1.74612]",2.68059,
MHZ-FULL,2026-08-13T03:33:30,34a2335,"exp_024 MHZ арка FULL: aux = ['haz_p7', 'haz_p14', 'haz_p21', 'haz_p30', 'haz_p45', 'haz_p60', 'haz_edays', 'haz_h2', 'haz_h3', 'haz_h4', 'haz_h5', 'haz_h6', 'haz_lo7', 'haz_lo30', 'haz_lo60', 'haz_sl730', 'haz_sl3060', 'cnt_p0', 'cnt_en', 'cnt_ge2', 'cnt_ge4', 'cnt_mix', 'b30_p', 'b30_lo', 'val_mu', 'tp30', 'tp_cnt']",S1,255,direct+aux,"{""aux"": [""haz_p7"", ""haz_p14"", ""haz_p21"", ""haz_p30"", ""haz_p45"", ""haz_p60"", ""haz_edays"", ""haz_h2"", ""haz_h3"", ""haz_h4"", ""haz_h5"", ""haz_h6"", ""haz_lo7"", ""haz_lo30"", ""haz_lo60"", ""haz_sl730"", ""haz_sl3060"", ""cnt_p0"", ""cnt_en"", ""cnt_ge2"", ""cnt_ge4"", ""cnt_mix"", ""b30_p"", ""b30_lo"", ""val_mu"", ""tp30"", ""tp_cnt""]}",,,,"[1.77536, 1.76653, 1.75373, 1.7465]",1.76053,0.01117,-0.05565,-0.05565,1.75950,,,,,1.75234,"[1.77304, 1.76573, 1.75342, 1.74588]",2.68128,
SEQ-01,2026-08-13T14:35:24,34a2335,"exp_025 SEQ-01: dilated TCN на сырой дневной последовательности 365 дней (17 каналов), голова только z30",S1,17,tcn,"{""arch"": ""dilated causal TCN"", ""batch"": 1024, ""blocks"": 8, ""channels"": 17, ""dropout"": 0.1, ""epochs"": 4, ""hidden"": 64, ""kernel"": 3, ""lr"": 0.003, ""opt"": ""AdamW cosine"", ""params_n"": 245633, ""precision"": ""bf16"", ""rf_days"": 511, ""seed"": 42, ""seq_len"": 365, ""wd"": 0.01}",all @ step 7,,3,"[1.77124, 1.76544, 1.75358, 1.74757]",1.75946,0.00936,-0.00964,-0.00969,1.75930,,,CONTINUE,"Одиночная wCV 1.75270 (+0.00322 к S1-DIST-MIX, +0.00162 к лучшему табличному S1-ROUNDS), AUC(y>0) 0.84205 (-0.00129) — ранжирование НЕ улучшилось, ни один целевой сегмент не выигран. Главный результат — разнообразие: Var(z-z_mix)=0.03749 = 5.27x пола сидов 0.00712, corr остатков 0.99393 против потолка 0.99885. КОНТРОЛЬ: лучшая табличная модель S1-ROUNDS против той же смеси даёт Var 0.00685 (0.96x пола) и corr 0.99889, то есть ещё один GBDT неотличим от переcида. Подстановка в слот S1-E10 при неизменных весах: S1-ROUNDS -0.000005 (2/4), SEQ-01 -0.000767 (4/4). LOFO при фиксированной страховке S1-E03a=0.10: честный выигрыш -0.00106 (в выборке -0.00115), 4/4 фолда включая 10-16; со свободными весами -0.00131, но они обнуляют E03a (запрещено MIX-E11). Плато 28 комбинаций из 1330. Вывод: в сырой последовательности есть новый сигнал, но это сигнал РАЗНООБРАЗИЯ, а не ранжирования. Детали exp_025",1.75270,"[1.77057, 1.76475, 1.75352, 1.74704]",2.63527,
