"relative_path","size_bytes","sha256"
"artifacts\availprobe_SEQ-D3A-BASE-S42-V1016_on1016.csv","501","47bbb6c0e69c647a9e0d84569dc64c63c9e45a77047facdf33feedf2ec4908d1"
"artifacts\availprobe_SEQ-D3A-BASE-S43-V0918_on0918.csv","507","91125b1b0d7fd98f5d3f12f63363357174562f4c067d32d38cf88d8fe9901920"
"artifacts\availprobe_SEQ-D3A-G1-BASE-S43-V1016_on1016.csv","512","72a4e97e63c090be7c509178c64266475851a55596784356b7fe372915560de7"
"artifacts\availprobe_SEQ-D3A-G1-S43-V1016_on1016.csv","501","a2e4302dff85a33ed2ee0760c243b619679a1f63f05318f4665213fd9de157b2"
"artifacts\availprobe_SEQ-D3A-G2-BASE-S44-V1016_on1016.csv","514","5086c4c9179181bfefb8a249dd334409004a0e24cc188967428485b688c6ab81"
"artifacts\availprobe_SEQ-D3A-G2-S44-V1016_on1016.csv","502","4f6636503b2b35056c611f5d4aef990e4373ee2c0d9e5bda880a0df87a8ecac8"
"artifacts\availprobe_SEQ-D3A-S42-V1016_on1016.csv","494","be0c00052c6c72fe4d94953d41c6712f97119e16e8d085474911629f250cd91a"
"artifacts\availprobe_SEQ-D3A-S43-V0918_on0918.csv","502","8187742138e07df4caa63f87838f624e1211a0f256e113cef6df0ab9c8cf2179"
"artifacts\BLOCK4_SAF_fold_20250904.npz","10174616","f4c439ba7531adbe1dc7fbedabe781ac8b1a74c8245c13d511412f39be9ab6b6"
"artifacts\BLOCK4_SAF_fold_20250918.npz","10304634","35f29cec48a4a18066265219d36e87a2b295ea95acb843047cce373e093db8de"
"artifacts\BLOCK4_SAF_fold_20251002.npz","10436049","c91369206b0f8e20e281772d7ad0a263e70dae01ebaa6141e4155dbb539236fc"
"artifacts\BLOCK4_SAF_fold_20251016.npz","10626232","576e59bf34bd386d5f3b72d3ace2bdf6678ea15fc8ea7661ffd326fa9333c5ae"
"artifacts\BLOCK4_SAF_test_raw.npz","12927670","658bb6435b35fbe445ecd9cef9faa4376fd62282f6b158205c3496591be465a2"
"artifacts\curve_ETX-01-S42-V0904.json","4113","12b289c2cc0fb2358e8f52360c921435066620639d8f83ce4dd69ab687604e37"
"artifacts\curve_ETX-01-S42-V0918.json","4100","d1446ea4a7ae8da8bb7d026d09e1ba77b879dd805724f3786f290ab5a3a570bd"
"artifacts\curve_ETX-01-S42-V1002.json","4102","6e1e3a7de167380d98a1bbdeadd74c9311a8b8827d5366e386873040bbdd31d1"
"artifacts\curve_ETX-01-S42-V1016.json","4095","cfbfb6f3dd739e7f77aa5dffd0705103fdac0e54a8d7cc68bb53b4464b0f7f00"
"artifacts\curve_ETX-01-S43-V0904.json","3841","ff8b6c870191ef62f92e709291d6aad56abea173778e200339274497ee8af873"
"artifacts\curve_ETX-01-S43-V0918.json","3859","ebe849a2cac99e622351654b8ed78f34b8c0952d40a2ea4da0df3ea41d68398f"
"artifacts\curve_ETX-01-S43-V1002.json","3878","81933fa6718ec72c55cf69dd6d33f1ea0e2e20fb48c26385745ad5cb619a6ea6"
"artifacts\curve_ETX-01-S43-V1016.json","3886","670109bfe800522ecb40253912c315b563e49e7a230b8c47c9503f96ecd81a26"
"artifacts\curve_ETX-01-S44-V0904.json","4126","7c6e844fb5d65285c8301490d4958a575ddd2b5d1640ccf39e291de8059d891f"
"artifacts\curve_ETX-01-S44-V0918.json","4158","910e2f023fa706d079779568abcf110435530ab59a4b6f94919934e8a19e10ed"
"artifacts\curve_ETX-01-S44-V1002.json","4138","772e58879d214da921f56a2d4db6ca6a144c1428b9afaf0cd358aac16a88705f"
"artifacts\curve_ETX-01-S44-V1016.json","3878","bea7f0524e28a6c887d26800db744ef9a6dd8460b0a038429ef092c082df8287"
"artifacts\curve_ETX-PROBE-LR0.00075-V1016.json","1685","127837aff38e87761b9b95a5bd9c191b843a7178349a9a2c7c110917f11a8a52"
"artifacts\curve_ETX-PROBE-LR0.0015-V1016.json","1766","e4e4608fb0c432dbf114a9f678dfd60711333ea4a0bae5592f8baa30e6602421"
"artifacts\curve_ETX-PROBE-LR0.003-V1016.json","1760","f283a216d76258efe602d555e3f7d14d08bf647ea0c9f66dc8ee6426069568b5"
"artifacts\curve_FNL-BASE-E3-L00-S42-V1016.json","1263","05293204897575ee008ef3b7bf7fc786302b11b13ff2e7eba506382be5177ee7"
"artifacts\curve_FNL-BASE-L00-S42-V1016.json","1532","b2ea6ab59360e9911508d40e98bb70d434b4fe55db3e74837eab45f96fa6fb1a"
"artifacts\curve_FNL-BASER2-L00-S42-V1016.json","1527","d9d328803fb3cab3ea2dcda85480675b25dbe7963d21b4f1187f4118a197898c"
"artifacts\curve_FNL-BUYCTRL-L10-S42-V1016.json","1604","bacb88f8a772554901137d9d0fcf56477d41becee01017011ddfdd9b2463689b"
"artifacts\curve_FNL-BUYCTRL-L30-S42-V1016.json","1609","60591a8639a04d2cf9f4a4e0063e4f9002acd535d801dc4e323bd1c553b62a43"
"artifacts\curve_FNL-CART-L10-S42-V1016.json","1651","742856e4d2458fd8b47b7a75e70a6797d10bde7a026120362debc27e5eea67b4"
"artifacts\curve_FNL-CART-L30-S42-V1016.json","1664","d6d511400c2bcdb699a0af500a6aff8285f6c25c9be843d85dddd47c072968f6"
"artifacts\curve_FNL-FUNNEL-L10-S42-V1016.json","1741","327ef6771126a82bf5266aa9f0b7964e4a9cf5662c520092b18f97eec3f4e1fd"
"artifacts\curve_FNL-FUNNEL-L30-S42-V1016.json","1741","00a2a25f07b7ccdc91085157eeaae6c9ae6bc7e3dd7d45cd65e92aa251445afa"
"artifacts\curve_SEQ-01-S42-V1002.json","459","6f7ce2c8460474aa00dca63745a2ba3f3ecec578e4a1d32e1e9c292f99c975e1"
"artifacts\curve_SEQ-01-S42-V1016.json","1059","dcd3330c4a6fe89055072f1211d3a2e73688241cca565d9d39d6025a8ec13433"
"artifacts\curve_SEQ-01-S43-V0904.json","452","93a8a38af32c1bd5a939a54868a80f2a040f10576fa830e72653c1447c5e8ab9"
"artifacts\curve_SEQ-01-S43-V0918.json","453","3cbd772790a91c4110fe0d425cade2910c4b525849bfe1d93c38958ba994d1f3"
"artifacts\curve_SEQ-01-S43-V1002.json","449","15efe5dde783e84a031c77606fc539520dce922f7ade15529eb06c7838605676"
"artifacts\curve_SEQ-01-S43-V1016.json","460","63fd41cbd512d6ea345a1670d650f1fb7105dd3891d7e24d0f21f48ac1a8a6bd"
"artifacts\curve_SEQ-01-S44-V1016.json","452","ab3f8cf28427f4a6205974de83e7cac347141c4219039d18eb5ba9bf9335906d"
"artifacts\curve_SEQ-03A-A25-S42-V1016.json","540","44427e34d3edb7da2a015bc5ec5ba29f15c39f347786821903549ddab23fde98"
"artifacts\curve_SEQ-03A-B-S42-V1016.json","537","f2df7f67b4999bf4944df6ea411f614b042ca928eab9aef55c9ef7ee274abf39"
"artifacts\curve_SEQ-03A-BASE-S42-V1016.json","533","c62b91b28c609c060f6bd01075b464c478ab24f54b8d92e61db99df3bf28f8ee"
"artifacts\curve_SEQ-D3A-BASE-S42-V0904.json","643","0fd1dd9c7966061b52369ccf8ae39c4aaf16f4e8dd7ca4a392eab7b53e0b3c02"
"artifacts\curve_SEQ-D3A-BASE-S42-V0918.json","642","5179ada97332572ee0d5774cf85e83c05be07858d80aed9d2c988b9106172474"
"artifacts\curve_SEQ-D3A-BASE-S42-V1002.json","640","83c68527d27dea1abd415dd3ccebef9c98e3b34416c5e053edc06476dcef3873"
"artifacts\curve_SEQ-D3A-BASE-S42-V1016.json","533","c62b91b28c609c060f6bd01075b464c478ab24f54b8d92e61db99df3bf28f8ee"
"artifacts\curve_SEQ-D3A-BASE-S43-V0918.json","641","bd2e25a45cf8f2fe8b46e27ff0a70fc9c90d79c6ba72d1a7ef36ca14bb7bf365"
"artifacts\curve_SEQ-D3A-G1-BASE-S43-V0904.json","601","508032256fc4429a8436935d4d09d998ce5747e1436022c79170b70c60eda9fe"
"artifacts\curve_SEQ-D3A-G1-BASE-S43-V0918.json","602","58a149f870682f11dcef064f391e74e3ccb7f75f4d2b70c978b2fef06d517e14"
"artifacts\curve_SEQ-D3A-G1-BASE-S43-V1002.json","598","bdf8afec497daee90ce4cff6a7b4e9d3ead81d9c67f91b8ae12c13107b0b9014"
"artifacts\curve_SEQ-D3A-G1-BASE-S43-V1016.json","599","664c200af183acbe98b73d43755dd3dbac696e443455ce8706d9f0080364b9f2"
"artifacts\curve_SEQ-D3A-G1-S43-V0904.json","600","5958b807f2e979152b170f19dc0a452dc49917eefb022eee328db93f62eb21f7"
"artifacts\curve_SEQ-D3A-G1-S43-V0918.json","602","14cef1d6b6598ff804f438f59f094b2555e818551cb103847f4da99e63bf4ea6"
"artifacts\curve_SEQ-D3A-G1-S43-V1002.json","599","ad4bdb20a79ee3e01833a9c6a17deafbfd47eec4221c81a27a5dde8b6980db93"
"artifacts\curve_SEQ-D3A-G1-S43-V1016.json","600","022b0d04f8c939301ce03b380fe7576d2056b78fbb5962f9a70ccbb7022e07f5"
"artifacts\curve_SEQ-D3A-G2-BASE-S44-V0904.json","602","ece5af34854b805029a90a1a682c4eae6b2fec2f3271b6cd549f842b2065de7f"
"artifacts\curve_SEQ-D3A-G2-BASE-S44-V0918.json","604","3796df296a762c838d006dfe6cd5928dc50df7f4afa2ab658c7f07b5d39328aa"
"artifacts\curve_SEQ-D3A-G2-BASE-S44-V1002.json","598","36d9a3d308f49beb54a693019b1941ff444c69ea1777069fa2c33f092255b8f7"
"artifacts\curve_SEQ-D3A-G2-BASE-S44-V1016.json","600","36813bb7b259beea9f2812cf853b5c14c6e7bb92e7666a28c7428dc0477c6bc0"
"artifacts\curve_SEQ-D3A-G2-S44-V0904.json","600","65ae59a381c1d3527e54b1195a9d095e65c1a4bedb50e8e955db16c8c7f6235e"
"artifacts\curve_SEQ-D3A-G2-S44-V0918.json","603","b0084c8cb29655107cdd13e752536a6795838ca8de3635d9305a170b2e6f89ce"
"artifacts\curve_SEQ-D3A-G2-S44-V1002.json","602","d657a743e32f835d12f659fe1271d08c4138dfe9929a5d998b3c4f39204b989b"
"artifacts\curve_SEQ-D3A-G2-S44-V1016.json","599","3b2d83e2ba0dbd28ba2c8c17d0a20adc402f55265c22bece91bb76e71596f306"
"artifacts\curve_SEQ-D3A-S42-V0904.json","643","8275f06a7dff20b0ae7cd6ede863ed6e2d27aee2db1d03775c51467ce26c7292"
"artifacts\curve_SEQ-D3A-S42-V0918.json","642","034491a9e0f0d83b5d7aa06b2c77fe7eaea9536b539ef09f827db821790d2274"
"artifacts\curve_SEQ-D3A-S42-V1002.json","641","b8f9465ce4d9cdb67defcbdbbb382a64383cecf18eb814b2a163850f25e4b47d"
"artifacts\curve_SEQ-D3A-S42-V1016.json","641","befceeff81ff8ea63ffbab9aa7a0edfb39d1f2038bcf38ef60ea318c8876fa3e"
"artifacts\curve_SEQ-D3A-S43-V0918.json","643","758f2c9c64e795e773631391b5d8c1c8a1ebd53a8c4f6a5a3c065f1851969743"
"artifacts\depth_SEQ-01-S43-V0918.csv","1330","111523e7bd155c69fe8d71a911827c78ad59a2175625129e2f8ae182d6ad7beb"
"artifacts\depth_SEQ-01-S43-V1002.csv","1332","e9196da8ae931b33746c3356ba31a18bf0f84c9adb9f0fdd13bc154ef8f0a595"
"artifacts\depth_SEQ-01-S44-V1016.csv","1324","bab0d2becc207340bdd83f53c19d73f19f41f2f1c1f20e3add7c7660a290d808"
"artifacts\depth_SEQ-01C-S42-V0904.csv","1942","277229e175a33ec7ca77b129a64e38f2c2a195e4e455aa913eb0afe831045285"
"artifacts\depth_SEQ-03A-A25-S42-V1016.csv","1519","d05b7a3911da1de0eb093fdd71ba80e0e5ba03e97120d8153312fc179cfc504d"
"artifacts\depth_SEQ-03A-B-S42-V1016.csv","1523","ea7ae1b8c7e7741fb9bd89513f54784754f66f6a738ace1e64b563a1f718dfdb"
"artifacts\depth_SEQ-03A-BASE-S42-V1016.csv","1513","da016be1776864420252aaa4ab6687ce4fd36dd28f84c522038742fb8ffa348d"
"artifacts\depth_SEQ-D3A-BASE-S42-V0904.csv","1741","9f5aa452a5eebc2a12cabf870bf13c8eb2e5011fb7117cff65ccb392fd64f490"
"artifacts\depth_SEQ-D3A-BASE-S42-V0918.csv","2144","0d527eef78750a01f7f0f056fc47472f40ced82eabc886c5c50cc641ab066993"
"artifacts\depth_SEQ-D3A-BASE-S42-V1002.csv","1911","3539a2a98d1c02bce4bd5d7d1eed3e042e80c9674b2f45ce735bac08777e28eb"
"artifacts\depth_SEQ-D3A-BASE-S42-V1016.csv","2102","05e7d2f8e8034de3586054c99b02d6eed1635bf2d6eeb1ec463b6b5cbbc71813"
"artifacts\depth_SEQ-D3A-BASE-S43-V0918.csv","2121","74cb21acb450af602476c787e5a08fbc911e97b4d55b242bb5cb29e5cc1549c2"
"artifacts\depth_SEQ-D3A-G1-BASE-S43-V0904.csv","1125","52f82d82b042335af0b69a298f78a2541a6025a706673081a06ae4722aa9ebff"
"artifacts\depth_SEQ-D3A-G1-BASE-S43-V0918.csv","1538","523d105b11d29a45fbad54db616a537acd41039a85a3f4b16b28527487015cc5"
"artifacts\depth_SEQ-D3A-G1-BASE-S43-V1002.csv","1328","4ac27029fa15a32f8e3444e47d6d2d374371c9d57228fc994527b31169fd3ebd"
"artifacts\depth_SEQ-D3A-G1-BASE-S43-V1016.csv","1543","8de69fe5b9c4827319fa05c4b452191fe2e9727e048a3fc95df1b0e55e9e68cf"
"artifacts\depth_SEQ-D3A-G1-S43-V0904.csv","1139","89b4cb96e5c4d2f2a0601f28d424b977cfee24df3f4ef400aedab8a60fe5a58a"
"artifacts\depth_SEQ-D3A-G1-S43-V0918.csv","1541","82a144d2c3f6bc50d0877f7df95772ec610c3259d96bbc5342780f3794aed647"
"artifacts\depth_SEQ-D3A-G1-S43-V1002.csv","1321","e2c4208d4c03b6f6be338d6ac3e60dbb0b8da8ee8eda6b561428214867d06151"
"artifacts\depth_SEQ-D3A-G1-S43-V1016.csv","1518","b238e50bc90b2e305a6a2c3644dc553563ccf17a76dfd67680a4aaceaf4454e8"
"artifacts\depth_SEQ-D3A-G2-BASE-S44-V0904.csv","1123","f6b8d220a3c78461f5661bf9b0e36bda2274f0bdb19191b9588164c274f1def1"
"artifacts\depth_SEQ-D3A-G2-BASE-S44-V0918.csv","1534","9b8399e8d076cc7dc351b1b4dd64cca5b635708184eb63b8278729507e6141d0"
"artifacts\depth_SEQ-D3A-G2-BASE-S44-V1002.csv","1326","426f1f1d1816a9082b27a35b0a1aab26d95007758e058b679a701a76cc2628b1"
"artifacts\depth_SEQ-D3A-G2-BASE-S44-V1016.csv","1519","b45cbc229e1379895b48eaca75226f4fec2b62474ff3b1aa88ca497b2ed9f0da"
"artifacts\depth_SEQ-D3A-G2-S44-V0904.csv","1131","53084565f5559be1e732b767288c65ac51cb310680638614494c067f93290e3a"
"artifacts\depth_SEQ-D3A-G2-S44-V0918.csv","1408","b09bd7ff6d1e8fa2fe7e77c5b9ce0b512101758f15b164df83d6544ff524f6d5"
"artifacts\depth_SEQ-D3A-G2-S44-V1002.csv","1279","bd10cbdc60c4c20f54b7191f2656c8d94e8dd6326ac1a6267bf6400f54d54204"
"artifacts\depth_SEQ-D3A-G2-S44-V1016.csv","1542","fd9ae542f45069b9f563e4970cb6e1d3789a78c85fd822548ce49ed940a5c8fa"
"artifacts\depth_SEQ-D3A-S42-V0904.csv","1738","66554feebe477a0c40fb7e0b83d483d95381fe89e413a5e97d63a28ee41275b6"
"artifacts\depth_SEQ-D3A-S42-V0918.csv","1974","5f4fc13a12dd0d4bdb3ea3d3000002537bb3d01b443453c6101bba7545583de9"
"artifacts\depth_SEQ-D3A-S42-V1002.csv","1934","25d877179a8b56dae9e4938696791676009078c9984f72c043814880974b8cb6"
"artifacts\depth_SEQ-D3A-S42-V1016.csv","2105","7fa2e067b8d22824cbcf5616e027822d0b9328cbe301c80a38e43454302be8a6"
"artifacts\depth_SEQ-D3A-S43-V0918.csv","2159","a71fc6ac43c75023d19655a6b03388afb113a43333e3054f8a54d9c57b33e8c8"
"artifacts\e0_A.log","1078","e98857a1ef0f6bd9f1511d0f4c53e49dfbe2166c116171b63fdd13a008d1ae81"
"artifacts\e0_B.log","1078","29426c75298c8361dc6c6e3b6d8c584b5fa03faf47ec62a06f7701b4bbdb38d0"
"artifacts\e0_predict.log","435","6458762aa88468577bd08297820601748a93b2a1edf90d1aba034f224c9c40a1"
"artifacts\e11_predict.log","472","3b981fe9ea19a8beced613e3e431811d19f14dfed58aea277ba21db0f8760f4d"
"artifacts\etx_depth_ETX-01-S42-V1016.csv","1277","c72a89aaa72ece95bd8df040eb67ae7d6d08610f7b111fb38bd2462127b96bd2"
"artifacts\ETX_probe_lr0.00075.log","1071","0fe86b4acf3c51369667e0cec7a4d85c917cbf399cd95cd7686cfc3cfa2c4e76"
"artifacts\ETX_probe_lr0.0015.log","1098","d7ef72d2e2d5c0273fb837418769cdb18f54a0346720b6c34c9161233e4cdf74"
"artifacts\ETX_probe_lr0.003.log","1098","84d4ddb772a4db1b60c561bb968b02b137ac20c24c6b619c5be85c92ccfbca00"
"artifacts\ETX1_ETX-01-S42-V0904.log","1812","0d9b4a7294e1d96a94d82e34accbca9441e1b678ac247ef9b9eff4ad071dc7ec"
"artifacts\ETX1_ETX-01-S42-V0918.log","1815","311f23d8f9f044031f88cf9e0845880cdcd12142416107883a229a4401ba8566"
"artifacts\ETX1_ETX-01-S42-V1002.log","1815","b2004cddca171b0fe570855ccc9bd6a5aae14668b9d07c8e4d4e4958b69e9e01"
"artifacts\ETX1_ETX-01-S42-V1016.log","1813","a1a4335eae1db57cf882f3ef68408cec6917effe39e6608dd5be2e307134e020"
"artifacts\ETX1_lofo.json","7138","e62c12c209e08603a23bb4017783d55d78737538af051fc128e8abef28bc653c"
"artifacts\ETX1_test_ETX-01-S42.log","1351","092753d7a7f9b9b08d3e1c4c4e41e4c1be8da23670d335e9923570f17a3f5166"
"artifacts\ETX2_ETX-01-S43-V0904.log","1796","931adae3c7d72398181fb262ba0eb47a6cea82022daa6041ecd7a09184bf88ac"
"artifacts\ETX2_ETX-01-S43-V0918.log","1792","9a036e33bc05d899e97df80fdf3060abfce3aaf995377636df1e5305062c6cf1"
"artifacts\ETX2_ETX-01-S43-V1002.log","1795","1ec09797a76b11b8a46ba444b270448f9d82f418d884908157cc6821da276308"
"artifacts\ETX2_ETX-01-S43-V1016.log","1795","49387c44e9aa8518353ddc7a02f7c557613af6935bed2b8bedd1824fbd14bf0b"
"artifacts\ETX2_ETX-01-S44-V0904.log","1819","2ccf071c1e0a8141d4058a47e6c7678dc80496b51b7641b40ce40b8d08c7e473"
"artifacts\ETX2_ETX-01-S44-V0918.log","1823","270ca17bb91dc2a82e7ace93223afe7020e927592c80e904fb6cb847f7eec915"
"artifacts\ETX2_ETX-01-S44-V1002.log","1819","21b71b95e80dc21de576d2c4c5d9747c3eac447315dcd4687df738ed7ffc782d"
"artifacts\ETX2_ETX-01-S44-V1016.log","1795","eb530ae90dcd37bbbb336cdf9ca7d82384d8120533cafe7c853c968e13bc4018"
"artifacts\ETX2_LOCAL_ALLDONE","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"artifacts\ETX2_lofo.json","20647","fb6f07fb849bcec79e31d9f8a3952980e69e579034810fffcfb3569e60648287"
"artifacts\ETX2_queue_local.log","1429","323da371d902cf7dffb824619cefff4156fee8e72faf94c247cc29c12bd69369"
"artifacts\ETX2_queue.log","3371","a6675eb2d76fa3176977312c56f804dfb2f1e87c56fb1c2a77ae7d3d4a85aaa8"
"artifacts\ETX2_regime.json","19768","ed7fa70dd98a41c2388a30b231bc29ca37ac1e50da1b97476242d67742a778b6"
"artifacts\ETX2_segblend.json","5076","f45de5297adea98b77f0b53c4ff2e42ae5092112b7f429727cfcb3b8c65a48c9"
"artifacts\ETX2_test_ETX-01-S43.log","1338","89368bd461f737993d5a013cf996a5f3c720acf7e4e616795140adbb072604b9"
"artifacts\ETX2_test_ETX-01-S44.log","1342","0e4e74e078b1ae8b9002efaa61898790de4d241ea1430668803c0a27a00715ac"
"artifacts\f4_predict.log","497","95139218a7fc6eaa69806e49a50e51f3a5645dbd155fa1e1717aa4af322a1312"
"artifacts\feats_GAP-DIST-K5-G030-S42.txt","3423","bfc340662ae46276a909edbcc215fa4c6ed7df6f6ca5edd12360f6a870afc46a"
"artifacts\feats_GAP-DIST-K5-G060-S42.txt","3423","bfc340662ae46276a909edbcc215fa4c6ed7df6f6ca5edd12360f6a870afc46a"
"artifacts\feats_GAP-DIST-K5-G120-S42.txt","3423","bfc340662ae46276a909edbcc215fa4c6ed7df6f6ca5edd12360f6a870afc46a"
"artifacts\feats_GAP-E02-K5-G030-S42.txt","3543","57f425cb5dab5654d137709dd74d5277f4272df1828b431f7b00afe7fed74683"
"artifacts\feats_GAP-E02-K5-G060-S42.txt","3543","57f425cb5dab5654d137709dd74d5277f4272df1828b431f7b00afe7fed74683"
"artifacts\feats_GAP-E02-K5-G090-S42.txt","3543","57f425cb5dab5654d137709dd74d5277f4272df1828b431f7b00afe7fed74683"
"artifacts\feats_GAP-E02-K5-G120-S42.txt","3543","57f425cb5dab5654d137709dd74d5277f4272df1828b431f7b00afe7fed74683"
"artifacts\feats_GAP-E03A-K11-G030-S42.txt","2902","30f3d7e77fd62c740d6d0b3260fbe82c90ac9563b1833e39ca484106bfd61fb9"
"artifacts\feats_GAP-E03A-K11-G060-S42.txt","2902","30f3d7e77fd62c740d6d0b3260fbe82c90ac9563b1833e39ca484106bfd61fb9"
"artifacts\feats_GAP-E03A-K11-G090-S42.txt","2902","30f3d7e77fd62c740d6d0b3260fbe82c90ac9563b1833e39ca484106bfd61fb9"
"artifacts\feats_GAP-E03A-K11-G120-S42.txt","2902","30f3d7e77fd62c740d6d0b3260fbe82c90ac9563b1833e39ca484106bfd61fb9"
"artifacts\feats_GAP-E03A-K5-G030-S42.txt","2902","30f3d7e77fd62c740d6d0b3260fbe82c90ac9563b1833e39ca484106bfd61fb9"
"artifacts\feats_GAP-E03A-K5-G060-S42.txt","2902","30f3d7e77fd62c740d6d0b3260fbe82c90ac9563b1833e39ca484106bfd61fb9"
"artifacts\feats_GAP-E03A-K5-G090-S42.txt","2902","30f3d7e77fd62c740d6d0b3260fbe82c90ac9563b1833e39ca484106bfd61fb9"
"artifacts\feats_GAP-E03A-K5-G120-S42.txt","2902","30f3d7e77fd62c740d6d0b3260fbe82c90ac9563b1833e39ca484106bfd61fb9"
"artifacts\feats_GAP-E10-K11-G030-S42.txt","3423","bfc340662ae46276a909edbcc215fa4c6ed7df6f6ca5edd12360f6a870afc46a"
"artifacts\feats_GAP-E10-K11-G060-S42.txt","3423","bfc340662ae46276a909edbcc215fa4c6ed7df6f6ca5edd12360f6a870afc46a"
"artifacts\feats_GAP-E10-K11-G090-S42.txt","3423","bfc340662ae46276a909edbcc215fa4c6ed7df6f6ca5edd12360f6a870afc46a"
"artifacts\feats_GAP-E10-K11-G120-S42.txt","3423","bfc340662ae46276a909edbcc215fa4c6ed7df6f6ca5edd12360f6a870afc46a"
"artifacts\feats_GAP-E10-K5-G030-S42.txt","3423","bfc340662ae46276a909edbcc215fa4c6ed7df6f6ca5edd12360f6a870afc46a"
"artifacts\feats_GAP-E10-K5-G060-S42.txt","3423","bfc340662ae46276a909edbcc215fa4c6ed7df6f6ca5edd12360f6a870afc46a"
"artifacts\feats_GAP-E10-K5-G090-S42.txt","3423","bfc340662ae46276a909edbcc215fa4c6ed7df6f6ca5edd12360f6a870afc46a"
"artifacts\feats_GAP-E10-K5-G120-S42.txt","3423","bfc340662ae46276a909edbcc215fa4c6ed7df6f6ca5edd12360f6a870afc46a"
"artifacts\feats_PT-FULL-S42-A.txt","3879","f6626d859d86f677d7d7ae11ea643dd784896e9986de500c161c70cdd5a85d55"
"artifacts\feats_PT-FULL-S42-B.txt","3879","f6626d859d86f677d7d7ae11ea643dd784896e9986de500c161c70cdd5a85d55"
"artifacts\feats_PT-FULL-S43-A.txt","3879","f6626d859d86f677d7d7ae11ea643dd784896e9986de500c161c70cdd5a85d55"
"artifacts\feats_PT-FULL-S43-B.txt","3879","f6626d859d86f677d7d7ae11ea643dd784896e9986de500c161c70cdd5a85d55"
"artifacts\feats_PT-FULL-S44-A.txt","3879","f6626d859d86f677d7d7ae11ea643dd784896e9986de500c161c70cdd5a85d55"
"artifacts\feats_PT-FULL-S44-B.txt","3879","f6626d859d86f677d7d7ae11ea643dd784896e9986de500c161c70cdd5a85d55"
"artifacts\feats_PT-OD-S42-A.txt","3566","3ba848d84df5eed08deeb5fdf69b9963b2cfdd33cbb902f6725c55c44bb172dd"
"artifacts\feats_PT-OD-S42-B.txt","3566","3ba848d84df5eed08deeb5fdf69b9963b2cfdd33cbb902f6725c55c44bb172dd"
"artifacts\feats_PT-OD-S43-A.txt","3566","3ba848d84df5eed08deeb5fdf69b9963b2cfdd33cbb902f6725c55c44bb172dd"
