audit_index,cutoff,panel_blocks,user_id,fast_target,fast_N30,slow_target,slow_N30,target_abs_error,target_match,N30_match,feature_window_end,target_window_start,target_window_end,feature_target_nonoverlap
50,2025-04-10,1,104415,755.627275238937,7,755.627275238937,7,0.0,True,True,2025-04-10,2025-04-11,2025-05-10,True
51,2025-05-22,1,474031,0.0,0,0.0,0,0.0,True,True,2025-05-22,2025-05-23,2025-06-21,True
52,2025-07-31,1,121989,0.0,0,0.0,0,0.0,True,True,2025-07-31,2025-08-01,2025-08-30,True
53,2025-07-17,1,546638,0.0,0,0.0,0,0.0,True,True,2025-07-17,2025-07-18,2025-08-16,True
54,2025-04-10,1,32460,109.60509139826961,2,109.60509139826961,2,0.0,True,True,2025-04-10,2025-04-11,2025-05-10,True
55,2025-06-26,1,481774,0.0,0,0.0,0,0.0,True,True,2025-06-26,2025-06-27,2025-07-26,True
56,2025-07-24,1,400094,75.4090100591601,1,75.4090100591601,1,0.0,True,True,2025-07-24,2025-07-25,2025-08-23,True
57,2025-07-31,1,742831,0.0,0,0.0,0,0.0,True,True,2025-07-31,2025-08-01,2025-08-30,True
58,2025-06-05,1,904922,0.0,0,0.0,0,0.0,True,True,2025-06-05,2025-06-06,2025-07-05,True
59,2025-09-04,3,599541,26.35672308041982,2,26.35672308041982,2,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
60,2025-08-14,1,46671,0.0,0,0.0,0,0.0,True,True,2025-08-14,2025-08-15,2025-09-13,True
61,2025-06-12,1,503102,0.0,0,0.0,0,0.0,True,True,2025-06-12,2025-06-13,2025-07-12,True
62,2025-07-31,1,830185,0.0,0,0.0,0,0.0,True,True,2025-07-31,2025-08-01,2025-08-30,True
63,2025-05-08,1,244070,0.0,0,0.0,0,0.0,True,True,2025-05-08,2025-05-09,2025-06-07,True
64,2025-05-29,1,881930,111.2803872529841,4,111.2803872529841,4,0.0,True,True,2025-05-29,2025-05-30,2025-06-28,True
65,2025-05-22,1,414899,0.0,0,0.0,0,0.0,True,True,2025-05-22,2025-05-23,2025-06-21,True
66,2025-04-24,1,263472,0.0,0,0.0,0,0.0,True,True,2025-04-24,2025-04-25,2025-05-24,True
67,2025-09-04,1,604957,0.0,0,0.0,0,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
68,2025-06-05,1,540050,273.3345276586222,7,273.3345276586223,7,5.684341886080802e-14,True,True,2025-06-05,2025-06-06,2025-07-05,True
69,2025-10-02,3,872361,0.0,0,0.0,0,0.0,True,True,2025-10-02,2025-10-03,2025-11-01,True
70,2025-08-07,1,630020,11.0305902368402,1,11.0305902368402,1,0.0,True,True,2025-08-07,2025-08-08,2025-09-06,True
71,2025-08-14,1,16913,0.0,0,0.0,0,0.0,True,True,2025-08-14,2025-08-15,2025-09-13,True
72,2025-07-10,1,805151,0.0,0,0.0,0,0.0,True,True,2025-07-10,2025-07-11,2025-08-09,True
73,2025-04-17,1,408540,0.0,0,0.0,0,0.0,True,True,2025-04-17,2025-04-18,2025-05-17,True
74,2025-04-03,1,335851,0.0,0,0.0,0,0.0,True,True,2025-04-03,2025-04-04,2025-05-03,True
75,2025-04-24,1,423165,85.5164493312259,2,85.5164493312259,2,0.0,True,True,2025-04-24,2025-04-25,2025-05-24,True
76,2025-08-14,1,331800,0.0,0,0.0,0,0.0,True,True,2025-08-14,2025-08-15,2025-09-13,True
77,2025-07-17,1,55120,0.0,0,0.0,0,0.0,True,True,2025-07-17,2025-07-18,2025-08-16,True
78,2025-06-26,1,570757,14.7898029540724,1,14.7898029540724,1,0.0,True,True,2025-06-26,2025-06-27,2025-07-26,True
79,2025-07-10,1,566074,0.0,0,0.0,0,0.0,True,True,2025-07-10,2025-07-11,2025-08-09,True
80,2025-07-17,1,811253,264.90956788067086,2,264.90956788067086,2,0.0,True,True,2025-07-17,2025-07-18,2025-08-16,True
81,2025-04-03,1,205272,462.1671917280893,8,462.16719172808934,8,5.684341886080802e-14,True,True,2025-04-03,2025-04-04,2025-05-03,True
82,2025-09-04,3,157138,14.493638555045,1,14.493638555045,1,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
83,2025-09-04,1,115182,500.0312024956996,4,500.0312024956995,4,5.684341886080802e-14,True,True,2025-09-04,2025-09-05,2025-10-04,True
84,2025-04-24,1,882382,216.414423548786,6,216.41442354878598,6,2.842170943040401e-14,True,True,2025-04-24,2025-04-25,2025-05-24,True
85,2025-07-24,1,178512,0.0,0,0.0,0,0.0,True,True,2025-07-24,2025-07-25,2025-08-23,True
86,2025-04-17,1,669594,66.8930185438891,1,66.8930185438891,1,0.0,True,True,2025-04-17,2025-04-18,2025-05-17,True
87,2025-06-05,1,407782,0.0,0,0.0,0,0.0,True,True,2025-06-05,2025-06-06,2025-07-05,True
88,2025-09-04,3,848726,9.67781010662318,1,9.67781010662318,1,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
89,2025-08-21,1,278219,0.0,0,0.0,0,0.0,True,True,2025-08-21,2025-08-22,2025-09-20,True
90,2025-07-17,1,82253,0.0,0,0.0,0,0.0,True,True,2025-07-17,2025-07-18,2025-08-16,True
91,2025-05-15,1,699150,109.47537957787812,4,109.4753795778781,4,1.4210854715202004e-14,True,True,2025-05-15,2025-05-16,2025-06-14,True
92,2025-06-26,1,589590,0.0,0,0.0,0,0.0,True,True,2025-06-26,2025-06-27,2025-07-26,True
93,2025-04-10,1,267993,86.2239121818712,1,86.2239121818712,1,0.0,True,True,2025-04-10,2025-04-11,2025-05-10,True
94,2025-07-24,1,430296,193.97288147119033,4,193.97288147119036,4,2.842170943040401e-14,True,True,2025-07-24,2025-07-25,2025-08-23,True
95,2025-05-22,1,54568,40.69444848431892,3,40.69444848431892,3,0.0,True,True,2025-05-22,2025-05-23,2025-06-21,True
96,2025-04-24,1,56480,0.0,0,0.0,0,0.0,True,True,2025-04-24,2025-04-25,2025-05-24,True
97,2025-07-17,1,87259,0.0,0,0.0,0,0.0,True,True,2025-07-17,2025-07-18,2025-08-16,True
98,2025-09-18,3,374912,15.7047734015493,1,15.7047734015493,1,0.0,True,True,2025-09-18,2025-09-19,2025-10-18,True
99,2025-08-21,1,402519,0.0,0,0.0,0,0.0,True,True,2025-08-21,2025-08-22,2025-09-20,True
100,2025-06-12,1,641853,411.3327672137518,4,411.3327672137518,4,0.0,True,True,2025-06-12,2025-06-13,2025-07-12,True
101,2025-06-05,1,450423,79.8318869808251,5,79.83188698082512,5,1.4210854715202004e-14,True,True,2025-06-05,2025-06-06,2025-07-05,True
102,2025-04-17,1,148821,0.0,0,0.0,0,0.0,True,True,2025-04-17,2025-04-18,2025-05-17,True
103,2025-04-03,1,787112,0.0,0,0.0,0,0.0,True,True,2025-04-03,2025-04-04,2025-05-03,True
104,2025-06-05,1,547701,0.0,0,0.0,0,0.0,True,True,2025-06-05,2025-06-06,2025-07-05,True
105,2025-07-03,1,364611,19.857689742665052,2,19.857689742665052,2,0.0,True,True,2025-07-03,2025-07-04,2025-08-02,True
106,2025-04-03,1,379603,5.62496288766249,1,5.62496288766249,1,0.0,True,True,2025-04-03,2025-04-04,2025-05-03,True
107,2025-04-03,1,689891,0.0,0,0.0,0,0.0,True,True,2025-04-03,2025-04-04,2025-05-03,True
108,2025-07-17,1,607876,13.7526288140878,1,13.7526288140878,1,0.0,True,True,2025-07-17,2025-07-18,2025-08-16,True
109,2025-05-08,1,859185,44.085936678302005,2,44.085936678302005,2,0.0,True,True,2025-05-08,2025-05-09,2025-06-07,True
110,2025-08-14,1,592457,15.534403830183681,3,15.534403830183681,3,0.0,True,True,2025-08-14,2025-08-15,2025-09-13,True
111,2025-08-07,1,74841,123.02139581237665,4,123.02139581237665,4,0.0,True,True,2025-08-07,2025-08-08,2025-09-06,True
112,2025-08-28,1,606347,341.0387141920983,2,341.0387141920983,2,0.0,True,True,2025-08-28,2025-08-29,2025-09-27,True
113,2025-10-16,3,773399,7.33387666798876,1,7.33387666798876,1,0.0,True,True,2025-10-16,2025-10-17,2025-11-15,True
114,2025-06-05,1,313945,52.2638264854454,3,52.2638264854454,3,0.0,True,True,2025-06-05,2025-06-06,2025-07-05,True
115,2025-07-31,1,603393,0.0,0,0.0,0,0.0,True,True,2025-07-31,2025-08-01,2025-08-30,True
116,2025-07-10,1,688755,96.03080849355233,2,96.03080849355233,2,0.0,True,True,2025-07-10,2025-07-11,2025-08-09,True
117,2025-08-07,1,129011,655.141074997892,10,655.141074997892,10,0.0,True,True,2025-08-07,2025-08-08,2025-09-06,True
118,2025-10-16,3,53634,34.5494546123853,1,34.5494546123853,1,0.0,True,True,2025-10-16,2025-10-17,2025-11-15,True
119,2025-08-07,1,123354,27.53656853383295,2,27.53656853383295,2,0.0,True,True,2025-08-07,2025-08-08,2025-09-06,True
120,2025-07-24,1,574293,0.0,0,0.0,0,0.0,True,True,2025-07-24,2025-07-25,2025-08-23,True
121,2025-04-17,1,168449,144.3584713358489,3,144.3584713358489,3,0.0,True,True,2025-04-17,2025-04-18,2025-05-17,True
122,2025-07-10,1,81527,873.9515571602225,5,873.9515571602226,5,1.1368683772161603e-13,True,True,2025-07-10,2025-07-11,2025-08-09,True
123,2025-08-14,1,546394,0.0,0,0.0,0,0.0,True,True,2025-08-14,2025-08-15,2025-09-13,True
124,2025-08-28,1,894978,174.106879101333,1,174.106879101333,1,0.0,True,True,2025-08-28,2025-08-29,2025-09-27,True
125,2025-08-21,1,741345,495.7564648156208,6,495.7564648156208,6,0.0,True,True,2025-08-21,2025-08-22,2025-09-20,True
126,2025-05-01,1,155052,0.0,0,0.0,0,0.0,True,True,2025-05-01,2025-05-02,2025-05-31,True
127,2025-04-17,1,652965,0.0,0,0.0,0,0.0,True,True,2025-04-17,2025-04-18,2025-05-17,True
128,2025-04-10,1,687356,0.0,0,0.0,0,0.0,True,True,2025-04-10,2025-04-11,2025-05-10,True
129,2025-07-17,1,16054,0.0,0,0.0,0,0.0,True,True,2025-07-17,2025-07-18,2025-08-16,True
130,2025-05-08,1,724050,56.8534867192847,2,56.8534867192847,2,0.0,True,True,2025-05-08,2025-05-09,2025-06-07,True
131,2025-10-16,3,688131,0.0,0,0.0,0,0.0,True,True,2025-10-16,2025-10-17,2025-11-15,True
132,2025-08-07,1,311314,0.0,0,0.0,0,0.0,True,True,2025-08-07,2025-08-08,2025-09-06,True
133,2025-06-26,1,359971,0.0,0,0.0,0,0.0,True,True,2025-06-26,2025-06-27,2025-07-26,True
134,2025-09-04,1,413119,619.6433099370005,4,619.6433099370005,4,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
135,2025-08-07,1,639687,0.0,0,0.0,0,0.0,True,True,2025-08-07,2025-08-08,2025-09-06,True
136,2025-07-24,1,97666,18.8966520565471,1,18.8966520565471,1,0.0,True,True,2025-07-24,2025-07-25,2025-08-23,True
137,2025-05-15,1,393582,598.3461338845058,8,598.3461338845059,8,1.1368683772161603e-13,True,True,2025-05-15,2025-05-16,2025-06-14,True
138,2025-06-26,1,122688,56.9017517900984,1,56.9017517900984,1,0.0,True,True,2025-06-26,2025-06-27,2025-07-26,True
139,2025-07-10,1,914021,19.6988150079781,1,19.6988150079781,1,0.0,True,True,2025-07-10,2025-07-11,2025-08-09,True
140,2025-04-17,1,332912,106.57545970672349,2,106.57545970672349,2,0.0,True,True,2025-04-17,2025-04-18,2025-05-17,True
141,2025-09-11,1,32250,0.0,0,0.0,0,0.0,True,True,2025-09-11,2025-09-12,2025-10-11,True
142,2025-09-11,1,712426,38.21229343172567,3,38.21229343172567,3,0.0,True,True,2025-09-11,2025-09-12,2025-10-11,True
143,2025-09-11,1,772223,57.7969146135458,2,57.7969146135458,2,0.0,True,True,2025-09-11,2025-09-12,2025-10-11,True
144,2025-08-28,1,391949,0.0,0,0.0,0,0.0,True,True,2025-08-28,2025-08-29,2025-09-27,True
145,2025-07-31,1,201725,0.0,0,0.0,0,0.0,True,True,2025-07-31,2025-08-01,2025-08-30,True
146,2025-08-28,1,767079,0.0,0,0.0,0,0.0,True,True,2025-08-28,2025-08-29,2025-09-27,True
147,2025-10-16,3,484642,338.3650172787826,6,338.3650172787826,6,0.0,True,True,2025-10-16,2025-10-17,2025-11-15,True
148,2025-06-26,1,423077,0.0,0,0.0,0,0.0,True,True,2025-06-26,2025-06-27,2025-07-26,True
149,2025-08-14,1,240571,0.0,0,0.0,0,0.0,True,True,2025-08-14,2025-08-15,2025-09-13,True
150,2025-05-29,1,83225,93.1928386205565,1,93.1928386205565,1,0.0,True,True,2025-05-29,2025-05-30,2025-06-28,True
151,2025-06-26,1,374683,0.0,0,0.0,0,0.0,True,True,2025-06-26,2025-06-27,2025-07-26,True
152,2025-04-10,1,157354,0.0,0,0.0,0,0.0,True,True,2025-04-10,2025-04-11,2025-05-10,True
153,2025-04-24,1,107471,430.8002398409426,4,430.80023984094254,4,5.684341886080802e-14,True,True,2025-04-24,2025-04-25,2025-05-24,True
154,2025-09-11,1,261362,0.0,0,0.0,0,0.0,True,True,2025-09-11,2025-09-12,2025-10-11,True
155,2025-06-19,1,537085,145.9100775855214,2,145.9100775855214,2,0.0,True,True,2025-06-19,2025-06-20,2025-07-19,True
156,2025-08-14,1,258040,0.0,0,0.0,0,0.0,True,True,2025-08-14,2025-08-15,2025-09-13,True
157,2025-08-14,1,131252,6.32214177309874,1,6.32214177309874,1,0.0,True,True,2025-08-14,2025-08-15,2025-09-13,True
158,2025-10-02,3,601246,135.9273909728494,3,135.9273909728494,3,0.0,True,True,2025-10-02,2025-10-03,2025-11-01,True
159,2025-07-10,1,3888,0.0,0,0.0,0,0.0,True,True,2025-07-10,2025-07-11,2025-08-09,True
160,2025-05-22,1,475866,6.40656722588362,1,6.40656722588362,1,0.0,True,True,2025-05-22,2025-05-23,2025-06-21,True
161,2025-04-24,1,460009,0.0,0,0.0,0,0.0,True,True,2025-04-24,2025-04-25,2025-05-24,True
162,2025-05-29,1,152307,249.379514287417,2,249.379514287417,2,0.0,True,True,2025-05-29,2025-05-30,2025-06-28,True
163,2025-06-19,1,43109,178.13402860174324,6,178.13402860174324,6,0.0,True,True,2025-06-19,2025-06-20,2025-07-19,True
164,2025-05-22,1,121109,0.0,0,0.0,0,0.0,True,True,2025-05-22,2025-05-23,2025-06-21,True
165,2025-05-01,1,804798,474.7073490545885,11,474.7073490545886,11,5.684341886080802e-14,True,True,2025-05-01,2025-05-02,2025-05-31,True
166,2025-10-16,3,244310,17.8470216153574,1,17.8470216153574,1,0.0,True,True,2025-10-16,2025-10-17,2025-11-15,True
167,2025-05-01,1,883918,0.0,0,0.0,0,0.0,True,True,2025-05-01,2025-05-02,2025-05-31,True
168,2025-08-21,1,54755,29.7362512015566,1,29.7362512015566,1,0.0,True,True,2025-08-21,2025-08-22,2025-09-20,True
169,2025-05-08,1,131174,0.0,0,0.0,0,0.0,True,True,2025-05-08,2025-05-09,2025-06-07,True
170,2025-04-03,1,865171,0.0,0,0.0,0,0.0,True,True,2025-04-03,2025-04-04,2025-05-03,True
171,2025-05-08,1,584867,20.6197642679132,1,20.6197642679132,1,0.0,True,True,2025-05-08,2025-05-09,2025-06-07,True
172,2025-08-14,1,777086,1466.8082169847935,10,1466.8082169847937,10,2.2737367544323206e-13,True,True,2025-08-14,2025-08-15,2025-09-13,True
173,2025-06-19,1,245507,292.2054678862091,2,292.2054678862091,2,0.0,True,True,2025-06-19,2025-06-20,2025-07-19,True
174,2025-06-26,1,538471,0.0,0,0.0,0,0.0,True,True,2025-06-26,2025-06-27,2025-07-26,True
175,2025-08-07,1,815425,0.0,0,0.0,0,0.0,True,True,2025-08-07,2025-08-08,2025-09-06,True
176,2025-09-18,3,355143,6.6671949169335,1,6.6671949169335,1,0.0,True,True,2025-09-18,2025-09-19,2025-10-18,True
177,2025-04-10,1,515648,204.2269745370522,4,204.2269745370522,4,0.0,True,True,2025-04-10,2025-04-11,2025-05-10,True
178,2025-04-24,1,778320,91.8372981221021,1,91.8372981221021,1,0.0,True,True,2025-04-24,2025-04-25,2025-05-24,True
179,2025-09-04,3,194124,196.0900399069976,2,196.0900399069976,2,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
180,2025-06-19,1,692408,282.29431462079253,10,282.2943146207926,10,5.684341886080802e-14,True,True,2025-06-19,2025-06-20,2025-07-19,True
181,2025-05-15,1,602575,0.0,0,0.0,0,0.0,True,True,2025-05-15,2025-05-16,2025-06-14,True
182,2025-08-07,1,361388,224.49289384844172,6,224.49289384844172,6,0.0,True,True,2025-08-07,2025-08-08,2025-09-06,True
183,2025-07-17,1,340201,122.36291722348572,2,122.36291722348572,2,0.0,True,True,2025-07-17,2025-07-18,2025-08-16,True
184,2025-08-21,1,560113,0.0,0,0.0,0,0.0,True,True,2025-08-21,2025-08-22,2025-09-20,True
185,2025-08-14,1,383903,0.0,0,0.0,0,0.0,True,True,2025-08-14,2025-08-15,2025-09-13,True
186,2025-07-10,1,915324,76.9237535845207,2,76.9237535845207,2,0.0,True,True,2025-07-10,2025-07-11,2025-08-09,True
187,2025-04-03,1,425157,358.232766880116,2,358.232766880116,2,0.0,True,True,2025-04-03,2025-04-04,2025-05-03,True
188,2025-09-18,3,853081,28.61735998489497,4,28.61735998489497,4,0.0,True,True,2025-09-18,2025-09-19,2025-10-18,True
189,2025-07-17,1,343417,12.4950756935582,1,12.4950756935582,1,0.0,True,True,2025-07-17,2025-07-18,2025-08-16,True
190,2025-07-10,1,369157,0.0,0,0.0,0,0.0,True,True,2025-07-10,2025-07-11,2025-08-09,True
191,2025-09-04,1,101878,20.455248658654092,2,20.455248658654092,2,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
192,2025-06-12,1,668974,0.0,0,0.0,0,0.0,True,True,2025-06-12,2025-06-13,2025-07-12,True
193,2025-08-07,1,639987,60.14409747831254,4,60.14409747831254,4,0.0,True,True,2025-08-07,2025-08-08,2025-09-06,True
194,2025-04-10,1,871585,214.6054997738043,6,214.6054997738043,6,0.0,True,True,2025-04-10,2025-04-11,2025-05-10,True
195,2025-06-26,1,516165,27.334077616121903,2,27.334077616121903,2,0.0,True,True,2025-06-26,2025-06-27,2025-07-26,True
196,2025-06-19,1,684630,71.7567353066144,1,71.7567353066144,1,0.0,True,True,2025-06-19,2025-06-20,2025-07-19,True
197,2025-10-16,3,45380,18.40647806719774,2,18.40647806719774,2,0.0,True,True,2025-10-16,2025-10-17,2025-11-15,True
198,2025-05-22,1,599164,102.3008809848632,3,102.3008809848632,3,0.0,True,True,2025-05-22,2025-05-23,2025-06-21,True
199,2025-06-19,1,427182,0.0,0,0.0,0,0.0,True,True,2025-06-19,2025-06-20,2025-07-19,True
200,2025-04-24,1,477519,73.61374371940958,3,73.6137437194096,3,1.4210854715202004e-14,True,True,2025-04-24,2025-04-25,2025-05-24,True
201,2025-05-08,1,666719,29.5255393684545,2,29.5255393684545,2,0.0,True,True,2025-05-08,2025-05-09,2025-06-07,True
202,2025-04-03,1,612430,11.3727885201323,1,11.3727885201323,1,0.0,True,True,2025-04-03,2025-04-04,2025-05-03,True
203,2025-08-21,1,267749,883.5129895063943,3,883.5129895063943,3,0.0,True,True,2025-08-21,2025-08-22,2025-09-20,True
204,2025-05-29,1,174078,5.98926240679156,1,5.98926240679156,1,0.0,True,True,2025-05-29,2025-05-30,2025-06-28,True
205,2025-08-28,1,294082,170.34666359208313,4,170.34666359208313,4,0.0,True,True,2025-08-28,2025-08-29,2025-09-27,True
206,2025-10-16,3,699111,0.0,0,0.0,0,0.0,True,True,2025-10-16,2025-10-17,2025-11-15,True
207,2025-04-03,1,707554,0.0,0,0.0,0,0.0,True,True,2025-04-03,2025-04-04,2025-05-03,True
208,2025-05-22,1,552726,118.0162501678207,3,118.01625016782071,3,1.4210854715202004e-14,True,True,2025-05-22,2025-05-23,2025-06-21,True
209,2025-09-11,1,391556,0.0,0,0.0,0,0.0,True,True,2025-09-11,2025-09-12,2025-10-11,True
210,2025-08-07,1,40111,528.7168649383755,9,528.7168649383755,9,0.0,True,True,2025-08-07,2025-08-08,2025-09-06,True
211,2025-08-07,1,38704,71.4073038956934,2,71.4073038956934,2,0.0,True,True,2025-08-07,2025-08-08,2025-09-06,True
212,2025-10-16,3,550182,41.634424975871596,2,41.634424975871596,2,0.0,True,True,2025-10-16,2025-10-17,2025-11-15,True
213,2025-09-18,3,149712,0.0,0,0.0,0,0.0,True,True,2025-09-18,2025-09-19,2025-10-18,True
214,2025-08-21,1,390373,29.56142596269735,3,29.56142596269735,3,0.0,True,True,2025-08-21,2025-08-22,2025-09-20,True
215,2025-08-07,1,307676,0.0,0,0.0,0,0.0,True,True,2025-08-07,2025-08-08,2025-09-06,True
216,2025-07-31,1,836535,0.0,0,0.0,0,0.0,True,True,2025-07-31,2025-08-01,2025-08-30,True
217,2025-05-01,1,478993,0.0,0,0.0,0,0.0,True,True,2025-05-01,2025-05-02,2025-05-31,True
218,2025-09-04,3,190167,0.0,0,0.0,0,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
219,2025-09-04,1,294168,0.0,0,0.0,0,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
220,2025-07-24,1,833770,8.80277401977696,1,8.80277401977696,1,0.0,True,True,2025-07-24,2025-07-25,2025-08-23,True
221,2025-09-04,1,276794,0.0,0,0.0,0,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
222,2025-09-04,3,521723,0.0,0,0.0,0,0.0,True,True,2025-09-04,2025-09-05,2025-10-04,True
