catalog_id,namespace,experiment_id,title,kind,original_path,source_ref,source_commit,source_files,commands,model,features,validation,score,submission,seed,preprocessing,postprocessing,external_data,reproducibility,notes,preserved_document
team_a_current__exp_015_last_fold_only,team_a_current,exp_015_last_fold_only,"exp_015 — S1-DIST-F4: модель, обученная только на выборке последнего фолда",experiment card,experiments/exp_015_last_fold_only.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/predict.py | src/test_pipeline.py,"python -m src.predict --exp S1-DIST-F4 --variant S1-DIST-F4 --L 0 --norm-long \
  --min-history 90 --step 7 --train-blocks 1 --rounds 250 --blend dist \
  --train-for-fold 2025-10-16
python -m src.submit --z S1-DIST-F4 --level 2.3293 --out submission_experimental_f4.csv
python -m src.submit --z S1-NORM S1-UNC S1-CAP S1-DIST-F4 --weights 0.15 0.30 0.10 0.45 \
  --level 2.3293 --out submission_experimental_f4_mix.csv | python -m src.predict --exp S1-DIST-F4 --variant S1-DIST-F4 --L 0 --norm-long \ | python -m src.submit --z S1-DIST-F4 --level 2.3293 --out submission_experimental_f4.csv | python -m src.submit --z S1-NORM S1-UNC S1-CAP S1-DIST-F4 --weights 0.15 0.30 0.10 0.45 \","blend, calibration diagnostic",See preserved experiment card and implementation,"# exp_015 — S1-DIST-F4: модель, обученная только на выборке последнего фолда","самый низкий** — модель фолда `2025-10-16` (RMSLE 1.74491, калиброванный 1.74427),",level 2.3293 --out submission_experimental_f4_mix.csv,Seed from src/config.py unless the preserved card explicitly states otherwise,See preserved experiment card and frozen implementation,level 2.3293 --out submission_experimental_f4_mix.csv,Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_016_validator_calibration,team_a_current,exp_016_validator_calibration,exp_016 — калибровка валидатора по leaderboard: единая схема wCV,experiment card,experiments/exp_016_validator_calibration.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/report.py | src/cv_lb.py | src/test_validation.py,,"blend, calibration diagnostic",See preserved experiment card and implementation,# exp_016 — калибровка валидатора по leaderboard: единая схема wCV,"Уровень сабмита влияет на LB отдельно от модели: `MSE(L) = C + (L*−L)²`, `L* = 2.3293`",Проверить это дальше нечем: сабмиты кончились.,Seed from src/config.py unless the preserved card explicitly states otherwise,See preserved experiment card and frozen implementation,ошибка уровня на тесте равна нулю по построению и не должна попадать в сравнение,Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_017_capacity_curve,team_a_current,exp_017_capacity_curve,exp_017 — S_05 A: кривая по раундам для `direct` (ёмкость оценщика),experiment card,experiments/exp_017_capacity_curve.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/tune.py | src/train.py,"model=direct, L=None, norm_long=True, min_history=90, cutoffs=all шаг 7,
train_blocks=1, panel_blocks=3, LGB_PARAMS из config.py, seed=42, 227 признаков

LGB_THREADS=6 python -m src.train --exp S1-ROUNDS-A --model direct --L 0 --norm-long \
  --min-history 90 --train-blocks 1 --cutoffs all --rounds 1600 \
  --snap 300 450 600 800 1000 1200 1400 --snap-save --val 2025-10-16 2025-09-04 --no-log
LGB_THREADS=6 python -m src.train --exp S1-ROUNDS-B ... --val 2025-10-02 2025-09-18 --no-log
LGB_THREADS=6 python -m src.train --exp S1-ROUNDSL-A --model direct --L 0 --norm-long \
  --min-history 90 --train-blocks 1 --cutoffs all --rounds 300 \
  --snap 25 50 75 100 125 150 200 250 --snap-save --val 2025-10-16 2025-09-04 --no-log
LGB_THREADS=6 python -m src.train --exp S1-ROUNDSL-B ... --val 2025-10-02 2025-09-18 --no-log
for k in ...: python -m src.merge_oof --out S1-ROUNDS-R$k --parts <A-R$k> <B-R$k> \
  --ref S1-E10 --model direct --no-log
# строка журнала: S1-ROUNDS = точка 300 раундов (боевой выбор)","ensemble, calibration diagnostic",227 tabular features,ось: зависимость `RMSLE_cal(rounds)` по всем четырём фолдам. Срез по префиксу,"Опорная модель — `S1-E10` (600 раундов), **wCV 1.75170**.","LB: не отправлялось, сабмиты кончились (`STATE.md`).","train_blocks=1, panel_blocks=3, LGB_PARAMS из config.py, seed=42, 227 признаков",See preserved experiment card and frozen implementation,None documented,Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_018_seed_average,team_a_current,exp_018_seed_average,exp_018 — S_05 B: дисперсия по сидам и усреднение,experiment card,experiments/exp_018_seed_average.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/seedavg.py | src/train.py,"model=direct, L=None, norm_long=True, min_history=90, cutoffs=all шаг 7,
train_blocks=1, panel_blocks=3, rounds=300, LGB_PARAMS из config.py, 227 признаков
seeds = 42 (config.SEED), 43, 44, 45, 46

# каждый сид — 4 фолда двумя процессами (сид 42 = полный прогон из exp_017)
for s in 43 44 45 46; do
  LGB_THREADS=6 python -m src.train --exp S1-SEED$s-A --seed $s --model direct --L 0 \
    --norm-long --min-history 90 --train-blocks 1 --cutoffs all --rounds 300 \
    --val 2025-10-16 2025-09-04 --no-log
  LGB_THREADS=6 python -m src.train --exp S1-SEED$s-B --seed $s ... --val 2025-10-02 2025-09-18 --no-log
  python -m src.merge_oof --out S1-SEED$s --parts S1-SEED$s-A S1-SEED$s-B \
    --ref S1-ROUNDS-R300 --model direct --no-log
done
python -m src.merge_oof --out S1-SEED42 --parts S1-ROUNDSL-A S1-ROUNDSL-B --ref S1-E10 --no-log
python -m src.seedavg --out S1-SEEDAVG5 --exps S1-SEED42 S1-SEED43 S1-SEED44 S1-SEED45 S1-SEED46 \
  --ref S1-SEED42 --stats --model direct --n-features 227
python -m src.seedavg --out S1-SEEDAVG3 --exps S1-SEED42 S1-SEED43 S1-SEED44 \
  --ref S1-SEED42 --no-log | python -m src.merge_oof --out S1-SEED$s --parts S1-SEED$s-A S1-SEED$s-B \ | python -m src.merge_oof --out S1-SEED42 --parts S1-ROUNDSL-A S1-ROUNDSL-B --ref S1-E10 --no-log | python -m src.seedavg --out S1-SEEDAVG5 --exps S1-SEED42 S1-SEED43 S1-SEED44 S1-SEED45 S1-SEED46 \ | python -m src.seedavg --out S1-SEEDAVG3 --exps S1-SEED42 S1-SEED43 S1-SEED44 \","LightGBM, ensemble",227 tabular features,| сид | 09-04 | 09-18 | 10-02 | 10-16 | wCV |,"Он требовал закрыть тему, если разброс `wCV` по сидам < 0.0003; фактический","LB: не отправлялось, сабмиты кончились (`STATE.md`).",раундов повторил `S1-E10` на 4 фолдах из 4). `src/seedavg.py`: усреднение,See preserved experiment card and frozen implementation,в лог-пространстве равными весами + статистика разброса и кривая усреднения.,Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_019_gap_axis,team_a_current,exp_019_gap_axis,exp_019 — STRATEGY_01 gap-axis validation,experiment card,experiments/exp_019_gap_axis.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/gapval.py,,Unknown / not recoverable from repository history,gap/burst features,# exp_019 — STRATEGY_01 gap-axis validation,`E10`: stress wCV 1.751415 → 1.756366 (**+0.004951**).,None documented,"k=5, gaps={30,60,90,120}, actual={35,63,91,126}, seed=config.SEED",See preserved experiment card and frozen implementation,None documented,Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_020_train_blocks_zero,team_a_current,exp_020_train_blocks_zero,exp_020 — STRATEGY_02A: `train_blocks=0`,experiment card,experiments/exp_020_train_blocks_zero.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/sampleval.py,,Unknown / not recoverable from repository history,See preserved experiment card and implementation,"Seed 42: Δ = −0.000049 wCV, 3/4 fold, но последний хуже на +0.000134.","Seed 42: Δ = −0.000049 wCV, 3/4 fold, но последний хуже на +0.000134.",None documented,"VAL_FOLDS_S1, seeds={config.SEED=42,43,44}, log-space avg3",See preserved experiment card and frozen implementation,"VAL_FOLDS_S1, seeds={config.SEED=42,43,44}, log-space avg3",Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_021_personal_time,team_a_current,exp_021_personal_time,exp_021 — STRATEGY_08: личное время пользователя как представление,experiment card,experiments/exp_021_personal_time.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/ptime.py | src/ptime_eval.py | src/ptime_imp.py | src/smoke.py,,Unknown / not recoverable from repository history,"personal-time features, calendar features, gap/burst features, window aggregates, 227 tabular features","+0.001 AUC ≈ −0.0006…−0.0019 wCV, то есть нужно +0.003…+0.008 AUC.",0.54% gain на `buygap_*`. Диагностика (`research/rmsle_diagnostics`) ставит цель,"LB: не отправлялось, сабмиты кончились (`STATE.md`).","seeds 42/43/44 (усреднение в лог-пространстве), 4 фолда VAL_FOLDS_S1",See preserved experiment card and frozen implementation,"seeds 42/43/44 (усреднение в лог-пространстве), 4 фолда VAL_FOLDS_S1",Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_022_dense_temporal_grid,team_a_current,exp_022_dense_temporal_grid,exp_022 — STRATEGY_02B: dense temporal grid при равном объёме,experiment card,experiments/exp_022_dense_temporal_grid.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/densityval.py,,dilated TCN,227 tabular features,по минимуму последнего fold; dense minimum wCV на 150 также хуже baseline.,"wCV: **1.752339** против **1.751076**, Δ **+0.001263**.",None documented,"panel_blocks=3, train_blocks=1, VAL_FOLDS_S1, seed=config.SEED=42,",See preserved experiment card and frozen implementation,None documented,Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_023_holiday_yoy,team_a_current,exp_023_holiday_yoy,exp_023 — HOLIDAY-YOY: персональная сезонность 14.02–15.03,experiment card,experiments/exp_023_holiday_yoy.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/holiday_yoy.py,"base=S1-DIST-MIX; weights=0.15/0.30/0.10/0.45; level=2.3293
feature source=2025-01-15..2025-04-14; test cutoff=2026-02-13
shrinkage reliability=support/(support+median_positive_support)
beta_m=max(slope_yoy_m-slope_placebo_m, 0); correction=mean_m(beta_m*hy_m)
correction centered within holiday-history; no-history=0; seed=config.SEED
python src/holiday_yoy.py --stage diagnostic
python src/holiday_yoy.py --stage fast | python src/holiday_yoy.py --stage diagnostic | python src/holiday_yoy.py --stage fast",Unknown / not recoverable from repository history,"holiday/YoY features, Search/Catalog decomposition, window aggregates, 227 tabular features","колонок были включены в дорогой DIST-retrain, остановленный после двух фолдов.",| **wCV 1:2:4:8** | **1.749484** | **1.749577** | **+0.000093** | **−0.000003** |,"Создан `submissions/submission_HOLIDAY-YOY.csv`: 250 000 строк, SHA-256",correction centered within holiday-history; no-history=0; seed=config.SEED,See preserved experiment card and frozen implementation,"`41C551A62A663D29382D3D82274F075F223FFE8E0989ECEF4C71EFD53E9456AA`, уровень",Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_024_multihorizon_hazard,team_a_current,exp_024_multihorizon_hazard,exp_024 — MHZ: multi-horizon hazard + count supervision,experiment card,experiments/exp_024_multihorizon_hazard.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/mhz.py | src/test_mhz.py | research/strategies/results/MHZ/analyze.py,bash research/strategies/results/MHZ/run.sh,"LightGBM, calibration diagnostic","gap/burst features, window aggregates, 227 tabular features","признаки, панели, коридор, фолды и метрика не менялись.","Диагностика (`research/rmsle_diagnostics` §4) показывает, что 74.0% остаточной",Сабмит не создавался.,"`2025-04-03..2025-10-16` шаг 7, `LGB_PARAMS` и `SEED = 42` из `config.py`,",See preserved experiment card and frozen implementation,"смеси на 0.0094 — на уровне, который проект уже классифицировал как шум.",Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_025_sequence_encoder,team_a_current,exp_025_sequence_encoder,exp_025 — SEQ-01: энкодер сырой дневной последовательности (dilated TCN),experiment card,experiments/exp_025_sequence_encoder.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/seq.py | src/test_seq.py | src/blend.py,"bash research/strategies/results/SEQ/run.sh` — полный прогон (панель, тесты,","dilated TCN, sequence model, blend","history-depth features, window aggregates, 227 tabular features","`exp_021` закрыл новые **функции** от тех же событий (личное время: −0.000006 wCV),","`exp_021` закрыл новые **функции** от тех же событий (личное время: −0.000006 wCV),","четырёх фолдах, к нулю. Для планирования следующего сабмита этого направления","bf16, **4 эпохи**, seed 42 из `config.py`.",See preserved experiment card and frozen implementation,"уровень `L* = 2.3293` (не трогался), страховка `S1-CAP` сохранена.",Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
team_a_current__exp_026_seq_seed_averaging,team_a_current,exp_026_seq_seed_averaging,exp_026 — SEQ-02: усреднение сидов TCN и диагностика по глубине истории,experiment card,experiments/exp_026_seq_seed_averaging.md,working tree,cdf74c77108e3b731f9ecb4f4e8f7b198cbded66,src/config.py | src/data.py | src/features.py | src/validation.py | src/seq.py | src/seedavg.py | src/test_seq.py,bash research/strategies/results/SEQ2/run.sh`.,"event Transformer / ETX, dilated TCN, sequence model, calibration diagnostic","history-depth features, 227 tabular features","Архитектура, представление, таргет и схема валидации **не меняются**. Ни",| RMSLE_cal | 1.81087 | 1.79371 | 1.78334 | 1.77684 | 1.77405 | **1.77273** | 1.77207 | 1.77086 | **1.77013** |,сабмита — −0.00060.,"четвёртый сид (насыщение измерено), плотная позиционная супервизия (её гейт",See preserved experiment card and frozen implementation,"том числе по уровню (mean z 2.4161 против 2.5165). Уровень снимает якорь `L*`,",Competition train.parquet and sample_submit.csv; additional artifacts are listed in the card,FULL when required data/artifacts are present; otherwise PARTIAL as stated in the card,,README.md
