team_fraction_of_tab_slot,team_absolute_weight,wcv
0.36,0.198,1.7471426793780764
0.365,0.20075,1.7471410319303728
0.37,0.20350000000000001,1.7471394790799848
0.375,0.20625000000000002,1.747138020827151
0.38,0.20900000000000002,1.74713665717211
0.385,0.21175000000000002,1.7471353881150853
0.39,0.21450000000000002,1.7471342136562835
0.395,0.21725000000000003,1.7471331337958973
0.4,0.22000000000000003,1.7471321485341038
0.405,0.22275000000000003,1.7471312578710583
0.41000000000000003,0.22550000000000003,1.7471304618068535
0.41500000000000004,0.22825000000000004,1.7471297603416078
0.42,0.231,1.7471291534754363
0.425,0.23375,1.7471286412084386
0.43,0.23650000000000002,1.7471282235406997
0.435,0.23925000000000002,1.747127900472289
0.44,0.24200000000000002,1.74712767200326
0.445,0.24475000000000002,1.7471275381336517
0.45,0.24750000000000003,1.7471274988634855
0.455,0.25025000000000003,1.7471275541927624
0.46,0.25300000000000006,1.747127704121468
0.465,0.25575000000000003,1.7471279486495699
0.47000000000000003,0.25850000000000006,1.7471282877770298
0.47500000000000003,0.26125000000000004,1.7471287215037932
0.48,0.264,1.7471292498297744
0.485,0.26675,1.7471298727548585
0.49,0.2695,1.7471305902789458
0.495,0.27225,1.7471314024019202
0.5,0.275,1.7471323091236515
0.505,0.27775000000000005,1.747133310443993
0.51,0.2805,1.7471344063627838
0.515,0.28325000000000006,1.7471355968798468
0.52,0.28600000000000003,1.7471368819949655
0.525,0.28875000000000006,1.7471382617077265
0.53,0.29150000000000004,1.7471397360178045
0.535,0.29425000000000007,1.7471413049249473
0.54,0.29700000000000004,1.747142968428873
0.545,0.29975000000000007,1.7471447265293032
0.55,0.30250000000000005,1.7471465792259524
0.555,0.3052500000000001,1.7471485265185211
0.56,0.30800000000000005,1.7471505684066941
0.5650000000000001,0.3107500000000001,1.7471527048901383
0.5700000000000001,0.31350000000000006,1.7471549359684666
0.5750000000000001,0.3162500000000001,1.7471572616412994
0.58,0.319,1.7471596819082602
0.585,0.32175,1.747162196768957
0.59,0.3245,1.7471648062229819
0.595,0.32725,1.7471675102699122
0.6,0.33,1.7471703089093098
0.605,0.33275,1.74717320214072
0.61,0.3355,1.7471761899636755
0.615,0.33825,1.7471792723776904
0.62,0.341,1.7471824493822656
0.625,0.34375,1.7471857209768857
0.63,0.34650000000000003,1.7471890871610205
0.635,0.34925000000000006,1.7471925479340717
0.64,0.35200000000000004,1.7471961032953691
0.645,0.35475000000000007,1.7471997531487446
0.65,0.35750000000000004,1.7472034972228192
0.655,0.36025000000000007,1.7472073358832994
0.66,0.36300000000000004,1.7472112691295272
0.665,0.3657500000000001,1.747215296960845
0.67,0.36850000000000005,1.7472194193765986
0.675,0.3712500000000001,1.7472236363761198
0.68,0.37400000000000005,1.7472279479587238
0.685,0.3767500000000001,1.7472323541237111
0.6900000000000001,0.37950000000000006,1.7472368548703676
0.6950000000000001,0.3822500000000001,1.7472414501979403
0.7000000000000001,0.38500000000000006,1.7472461401056625
0.705,0.38775,1.747250924592773
0.71,0.3905,1.747255803658495
0.715,0.39325,1.7472607773020374
0.72,0.396,1.7472658455225925
0.725,0.39875,1.7472710083193381
0.73,0.4015,1.7472762656914365
0.735,0.40425,1.7472816176380344
0.74,0.40700000000000003,1.7472870641582634
0.745,0.40975,1.7472926052512392
0.75,0.41250000000000003,1.7472982409160631
0.755,0.41525000000000006,1.74730397115182
0.76,0.41800000000000004,1.74730979595758
0.765,0.42075000000000007,1.7473157153323684
0.77,0.42350000000000004,1.7473217292751946
0.775,0.4262500000000001,1.7473278377850827
0.78,0.42900000000000005,1.7473340408610416
0.785,0.4317500000000001,1.7473403385020645
0.79,0.43450000000000005,1.7473467307071289
0.795,0.4372500000000001,1.747353217475172
0.8,0.44000000000000006,1.7473597988051184
0.805,0.4427500000000001,1.7473664746958997
0.81,0.44550000000000006,1.747373245146433
0.8150000000000001,0.4482500000000001,1.747380110155619
0.8200000000000001,0.45100000000000007,1.7473870697223315
0.8250000000000001,0.4537500000000001,1.747394123845355
0.8300000000000001,0.4565000000000001,1.7474012725235275
0.835,0.45925,1.747408515755688
0.84,0.462,1.7474158535406619
0.845,0.46475,1.7474232858772576
0.85,0.4675,1.747430812764269
0.855,0.47025,1.747438434200223
0.86,0.47300000000000003,1.7474461501835823
0.865,0.47575,1.7474539607130888
0.87,0.47850000000000004,1.74746186578745
0.875,0.48125000000000007,1.7474698654053749
0.88,0.48400000000000004,1.7474779595655652
0.885,0.48675000000000007,1.7474861482667075
0.89,0.48950000000000005,1.7474944315074548
0.895,0.4922500000000001,1.7475028092861047
0.9,0.49500000000000005,1.7475112816011216
0.905,0.4977500000000001,1.747519848451131
0.91,0.5005000000000001,1.7475285098347417
0.915,0.5032500000000001,1.7475372657505437
0.92,0.5060000000000001,1.7475461161971064
0.925,0.50875,1.7475550611729944
0.93,0.5115000000000001,1.7475641006767555
0.935,0.5142500000000001,1.7475732347069235
0.9400000000000001,0.5170000000000001,1.747582463261997
0.9450000000000001,0.51975,1.7475917863399753
0.9500000000000001,0.5225000000000001,1.7476012039383757
0.9550000000000001,0.5252500000000001,1.7476107160553256
0.96,0.528,1.7476203226892812
0.965,0.53075,1.7476300238386833
0.97,0.5335,1.7476398195019576
0.975,0.53625,1.747649709677515
0.98,0.539,1.7476596943636233
0.985,0.5417500000000001,1.7476697735585072
0.99,0.5445,1.7476799472605313
0.995,0.54725,1.7476902154680445
1.0,0.55,1.747700578179381
