date_first_seen,research_line,baseline_id_or_recipe,introduced_or_first_referenced_by,validation_protocol,comparison_class,score_if_directly_measured,referenced_by,evidence,notes
2026-08-11,team_a_s2,plain/offset Poisson structural count,team_a_s2:EXP-010,single latest fold 2025-10-16 with train-only calibration,team_a_s2:single_fold_protocol,unknown,"[""team_a_s2:EXP-010""]","[""experiments/team_a_s2/exp_010_s2_count_hurdle.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-11,team_a_s2,pure Fenton-Wilkinson aggregation,team_a_s2:EXP-009,"simulation accuracy audit, not ML CV",team_a_s2:simulation_or_analytic_check,unknown,"[""team_a_s2:EXP-009""]","[""experiments/team_a_s2/exp_009_s2_aggregation.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-11,team_b_alt,team_b_alt:EXP-001,team_b_alt:EXP-001,single validation cutoff 2026-01-15,team_b_alt:single_fold_protocol,1.711195,"[""team_b_alt:EXP-001"",""team_b_alt:EXP-002"",""team_b_alt:EXP-003"",""team_b_alt:EXP-004"",""team_b_alt:EXP-005"",""team_b_alt:EXP-007""]","[""experiments/team_b_alt/exp_001_baseline.md"",""experiments/team_b_alt/exp_002_conversions.md"",""experiments/team_b_alt/exp_003_trends.md"",""experiments/team_b_alt/exp_004_recency.md"",""experiments/team_b_alt/exp_005_scale_calibration.md"",""experiments/team_b_alt/exp_007_multi_cutoff_cv.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-11,team_b_alt,team_b_alt:EXP-001 HGBR,team_b_alt:EXP-006,single validation cutoff 2026-01-15,team_b_alt:single_fold_protocol,unknown,"[""team_b_alt:EXP-006""]","[""experiments/team_b_alt/exp_006_lightgbm.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-11,team_b_alt,team_b_alt:EXP-001; components EXP-004/005/006,team_b_alt:EXP-008,single validation cutoff 2026-01-15 plus public LB,team_b_alt:single_fold_protocol,unknown,"[""team_b_alt:EXP-008""]","[""experiments/team_b_alt/exp_008_recency_lightgbm_scale.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-11,team_b_alt,team_b_alt:EXP-006,team_b_alt:EXP-006,single validation cutoff 2026-01-15,team_b_alt:single_fold_protocol,1.710143,"[""team_b_alt:EXP-006""]","[""experiments/team_b_alt/exp_006_lightgbm.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-12,team_a_current,E10 direct at 600 rounds,team_a_current:EXP-017,4 temporal folds; calibrated 1:2:4:8 wCV,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""team_a_current:EXP-017""]","[""experiments/team_a_current/exp_017_capacity_curve.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-12,team_a_current,E10/E03a/E02/DIST at standard gap,team_a_current:EXP-019,4 gap stress conditions; not standard project CV,team_a_current:diagnostic_stress_not_ordinary_cv,unknown,"[""team_a_current:EXP-019""]","[""experiments/team_a_current/exp_019_gap_axis.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-12,team_a_current,EXP-017 300-round model,team_a_current:EXP-022,4 temporal folds; calibrated 1:2:4:8 wCV,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""team_a_current:EXP-022""]","[""experiments/team_a_current/exp_022_dense_temporal_grid.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-12,team_a_current,EXP-017 E10 at 300 rounds seed42,team_a_current:EXP-018,4 temporal folds; calibrated 1:2:4:8 wCV,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""team_a_current:EXP-018""]","[""experiments/team_a_current/exp_018_seed_average.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-12,team_a_current,EXP-018 AVG3,team_a_current:EXP-020,4 temporal folds; calibrated 1:2:4:8 wCV,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""team_a_current:EXP-020"",""team_a_current:EXP-021""]","[""experiments/team_a_current/exp_020_train_blocks_zero.md"",""experiments/team_a_current/exp_021_personal_time.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-12,team_b_alt,team_b_alt:EXP-008,team_b_alt:EXP-009,single validation cutoff 2026-01-15 plus public LB,team_b_alt:single_fold_protocol,unknown,"[""team_b_alt:EXP-009""]","[""experiments/team_b_alt/exp_009_long_buy_ensemble.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-12,team_b_alt,team_b_alt:EXP-009,team_b_alt:EXP-010,single validation cutoff 2026-01-15; weight/scale grid,team_b_alt:single_fold_protocol,unknown,"[""team_b_alt:EXP-010""]","[""experiments/team_b_alt/exp_010_ensemble_tuning.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-12,team_b_core,naive30/naive90 rules,team_b_core:EXP-001,two decision folds; third score not yet part of recorded baseline,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,unknown,"[""team_b_core:EXP-001""]","[""experiments/team_b_core/exp_001_baseline_lgbm50.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-12,team_b_core,team_b_core:EXP-001,team_b_core:EXP-001,two decision folds; third score not yet part of recorded baseline,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,1.717017,"[""team_b_core:EXP-001"",""team_b_core:EXP-002"",""team_b_core:EXP-003"",""team_b_core:EXP-004"",""team_b_core:EXP-005"",""team_b_core:EXP-006"",""team_b_core:EXP-007"",""team_b_core:EXP-008"",""team_b_core:EXP-009"",""team_b_core:EXP-010"",""team_b_core:EXP-011"",""team_b_core:EXP-012"",""team_b_core:EXP-013"",""team_b_core:EXP-014"",""team_b_core:EXP-015"",""team_b_core:EXP-031"",""team_b_core:EXP-032""]","[""experiments/team_b_core/exp_001_baseline_lgbm50.md"",""experiments/team_b_core/exp_002_sply.md"",""experiments/team_b_core/exp_003_calendar.md"",""experiments/team_b_core/exp_004_ewm.md"",""experiments/team_b_core/exp_005_multicutoff.md"",""experiments/team_b_core/exp_006_hurdle.md"",""experiments/team_b_core/exp_007_tweedie.md"",""experiments/team_b_core/exp_008_huber.md"",""experiments/team_b_core/exp_009_search_catalog.md"",""experiments/team_b_core/exp_010_aov_intensity.md"",""experiments/team_b_core/exp_011_trends.md"",""experiments/team_b_core/exp_012_clip_target.md"",""experiments/team_b_core/exp_013_seed_bagging.md"",""experiments/team_b_core/exp_014_second_lgbm_blend.md"",""experiments/team_b_core/exp_015_calibration_shift.md"",""experiments/team_b_core/exp_031_multicutoff.md"",""experiments/team_b_core/exp_032_delta_model.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,independent_calendar,DOMAIN-01 fixed-L180 real-test domain classifier,independent_calendar:EXP-029,9 balanced placebo tasks at gaps7/28/56/105 plus real120d; error-direction diagnostics,independent_calendar:exp-029:comparability_unconfirmed,unknown,"[""independent_calendar:EXP-029""]","[""experiments/independent_calendar/exp_029_calendar_placebo.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,independent_domain,S1-ROUNDS direct and SEQ-01-MIX production ranking,independent_domain:EXP-028,5 user-group domain folds; 4 temporal production folds with ordinary and weighted wCV,independent_domain:exp-028:comparability_unconfirmed,unknown,"[""independent_domain:EXP-028""]","[""experiments/independent_domain/exp_028_domain_shift.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,independent_renewal,SEQ-01-MIX with existing b30 occurrence head,independent_renewal:EXP-027,"4 temporal folds; wCV1:2:4:8; classification, LOFO replacement and cross-fitted meta",independent_renewal:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""independent_renewal:EXP-027""]","[""experiments/independent_renewal/exp_027_next_purchase_clock.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_a_current,EXP-014 DIST mix; internal MHZ base,team_a_current:EXP-024,4 temporal folds; calibrated 1:2:4:8 wCV,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""team_a_current:EXP-024""]","[""experiments/team_a_current/exp_024_multihorizon_hazard.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_a_current,EXP-025 SEQ-01 and EXP-014 DIST mix,team_a_current:EXP-026,4 temporal folds; calibrated 1:2:4:8 wCV; LOFO blend,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""team_a_current:EXP-026""]","[""experiments/team_a_current/exp_026_seq_seed_averaging.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_a_current,EXP-025 SEQ-01 submission and EXP-026 SEQ-AVG3 submission,team_a_current:EXP-027,LB comparison plus depth-support diagnostics and 4-fold LOFO for clipped candidate,team_a_current:diagnostic_stress_not_ordinary_cv,unknown,"[""team_a_current:EXP-027""]","[""experiments/team_a_current/exp_027_depth_support.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_a_current,S1-DIST-MIX,team_a_current:RUN-S04-LGB,canonical four S1 folds on full panel plus group-A split; final fixed blend reconstructed from OOF,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""team_a_current:RUN-S04-LGB""]","[""evidence/strategy_results_records.jsonl#run_s04_lgb""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_a_current,existing DIST training construction,team_a_current:EXP-028,pre-training leakage audit; no comparable CV,team_a_current:preflight_or_auxiliary_metric,unknown,"[""team_a_current:EXP-028""]","[""experiments/team_a_current/exp_028_fresh_dist_mix.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_alt,team_b_alt:EXP-009 only for LB lineage; local regime differs,team_b_alt:EXP-011,single clean validation cutoff 2025-10-16; separate LB scale probes,team_b_alt:single_fold_protocol,unknown,"[""team_b_alt:EXP-011""]","[""experiments/team_b_alt/exp_011_dense_clean_ensemble.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_alt,team_b_alt:EXP-011 prediction recipe,team_b_alt:EXP-012,two single-cutoff folds; compare ranking with reused LB results,team_b_alt:two_fold_temporal_rmsle,unknown,"[""team_b_alt:EXP-012""]","[""experiments/team_b_alt/exp_012_lb_validation_alignment.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_alt,team_b_alt:EXP-011 scale1.2,team_b_alt:EXP-013,two-fold scale tuning plus two public LB probes,team_b_alt:two_fold_temporal_rmsle,unknown,"[""team_b_alt:EXP-013"",""team_b_alt:EXP-014""]","[""experiments/team_b_alt/exp_013_scale_grid_main_validation.md"",""experiments/team_b_alt/exp_014_classifier_gate.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_core,rounded uncalibrated LB baseline and G_hurdle LB candidate,team_b_core:EXP-033,no local spring validation; public LB only,team_b_core:public_lb_only_no_local_cv,unknown,"[""team_b_core:EXP-033""]","[""experiments/team_b_core/exp_033_spring_submit.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_core,same-run central single-cutoff LightGBM,team_b_core:EXP-034,folds1-2 decision; fold3 diagnostic; paired same-run central control,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,unknown,"[""team_b_core:EXP-034""]","[""experiments/team_b_core/exp_034_temporal_ensemble.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_core,team_b_core:EXP-001 feature/model baseline; secondary team_b_core:EXP-015,team_b_core:EXP-028,folds1-2 decision mean; fold3 diagnostic; threshold grid,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,unknown,"[""team_b_core:EXP-028""]","[""experiments/team_b_core/exp_028_hurdle_log_threshold.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_core,team_b_core:EXP-015,team_b_core:EXP-016,folds1-2 decision mean; fold3 diagnostic,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,unknown,"[""team_b_core:EXP-016"",""team_b_core:EXP-017"",""team_b_core:EXP-018"",""team_b_core:EXP-019"",""team_b_core:EXP-020"",""team_b_core:EXP-021"",""team_b_core:EXP-022"",""team_b_core:EXP-023"",""team_b_core:EXP-024"",""team_b_core:EXP-025"",""team_b_core:EXP-026""]","[""experiments/team_b_core/exp_016_num_leaves31.md"",""experiments/team_b_core/exp_017_min_leaf50.md"",""experiments/team_b_core/exp_018_min_leaf300.md"",""experiments/team_b_core/exp_019_num_leaves127.md"",""experiments/team_b_core/exp_020_lr003.md"",""experiments/team_b_core/exp_021_g15_combo.md"",""experiments/team_b_core/exp_022_classifier_feature.md"",""experiments/team_b_core/exp_023_catboost_blend.md"",""experiments/team_b_core/exp_024_post_g14_diagnostics.md"",""experiments/team_b_core/exp_025_funnel.md"",""experiments/team_b_core/exp_026_activity_trend.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_core,team_b_core:EXP-016,team_b_core:EXP-016,folds1-2 decision mean; fold3 diagnostic,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,1.708734,"[""team_b_core:EXP-016""]","[""experiments/team_b_core/exp_016_num_leaves31.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_core,team_b_core:EXP-017,team_b_core:EXP-017,folds1-2 decision mean; fold3 diagnostic,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,1.708632,"[""team_b_core:EXP-017""]","[""experiments/team_b_core/exp_017_min_leaf50.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_core,team_b_core:EXP-018,team_b_core:EXP-018,folds1-2 decision mean; fold3 diagnostic,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,1.708783,"[""team_b_core:EXP-018""]","[""experiments/team_b_core/exp_018_min_leaf300.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_core,team_b_core:EXP-019,team_b_core:EXP-019,folds1-2 decision mean; fold3 diagnostic,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,1.709231,"[""team_b_core:EXP-019""]","[""experiments/team_b_core/exp_019_num_leaves127.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_core,team_b_core:EXP-028; secondary EXP-001/EXP-015,team_b_core:EXP-029,folds1-2 decision mean; fold3 diagnostic; threshold grid; separate LB,team_b_core:two_fold_decision_mean_with_fold3_diagnostic,unknown,"[""team_b_core:EXP-029""]","[""experiments/team_b_core/exp_029_variance_predictability_hurdle.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_core,team_b_core:EXP-029 E_hurdle submission,team_b_core:EXP-030,no local CV; target-window-specific public LB probe,team_b_core:no_comparable_cv,unknown,"[""team_b_core:EXP-030""]","[""experiments/team_b_core/exp_030_submit_season_yoy_coefficient.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-13,team_b_core,team_b_core:EXP-033,team_b_core:EXP-033,no local spring validation; public LB only,team_b_core:public_lb_only_no_local_cv,incomparable_unknown,"[""team_b_core:EXP-033""]","[""experiments/team_b_core/exp_033_spring_submit.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-14,team_a_current,fresh local sequence base on fold 2025-10-16,team_a_current:EXP-029,single latest fold only,team_a_current:single_fold_protocol,unknown,"[""team_a_current:EXP-029""]","[""experiments/team_a_current/exp_029_seq_avail_aug.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-14,team_b_alt,team_b_alt:EXP-011 weights0.5/0.5 scale1.2,team_b_alt:EXP-015,two-fold coarse+narrow weight grid plus one LB submission,team_b_alt:two_fold_temporal_rmsle,unknown,"[""team_b_alt:EXP-015""]","[""experiments/team_b_alt/exp_015_ensemble_weight_grid.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-15,team_b_alt,team_b_alt:EXP-011-like direct long-buy ensemble,team_b_alt:EXP-016,two main-style folds plus public LB,team_b_alt:two_fold_temporal_rmsle,unknown,"[""team_b_alt:EXP-016""]","[""experiments/team_b_alt/exp_016_post_order_activity.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-15,team_b_alt,team_b_alt:EXP-016 direct post-order ensemble,team_b_alt:EXP-017,two main-style folds; weight mini-grid; public LB,team_b_alt:two_fold_temporal_rmsle,unknown,"[""team_b_alt:EXP-017""]","[""experiments/team_b_alt/exp_017_dist_head_post_order.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-18,team_a_current,paired sequence base seed42,team_a_current:EXP-030,4 temporal folds; paired seed42 calibrated 1:2:4:8 wCV,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""team_a_current:EXP-030""]","[""experiments/team_a_current/exp_030_seq_depth_curriculum.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-19,team_a_current,paired base for seeds42-44,team_a_current:EXP-030C,3 seeds x 4 temporal folds; paired 1:2:4:8 wCV deltas,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""team_a_current:EXP-030C""]","[""experiments/team_a_current/exp_030c_seq_d3a_multiseed.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-19,team_a_current,paired base seed43,team_a_current:EXP-030B,single paired fold,team_a_current:single_fold_protocol,unknown,"[""team_a_current:EXP-030B""]","[""experiments/team_a_current/exp_030b_seq_d3a_seed43.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-19,team_a_current,plain base and DIST-TAB/sequence ensemble slots on half-panel A,team_a_current:EXP-032B,half-panel group A; 4 temporal folds; one encoder seed and three head seeds; multiple slot comparisons,team_a_current:group_a_half_panel_4fold,unknown,"[""team_a_current:EXP-032B""]","[""experiments/team_a_current/exp_032b_prod_extensive.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-19,team_a_current,plain sequence base on half-panel group A,team_a_current:EXP-032,half-panel user group A; 4 temporal folds; three head seeds over one encoder seed; wCV(A),team_a_current:group_a_half_panel_4fold,unknown,"[""team_a_current:EXP-032""]","[""experiments/team_a_current/exp_032_s04_cond_fresh_pilot.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-19,team_a_current,sent SEQ01 sequence slot,team_a_current:EXP-035,4-fold fixed and LOFO deltas on existing OOF,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""team_a_current:EXP-035""]","[""experiments/team_a_current/exp_035_mix9_seq_slot.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-20,team_a_current,D3A seed42 standalone and current sequence slot,team_a_current:EXP-036,4 temporal folds; calibrated 1:2:4:8 wCV; replacement and coauthor LOFO,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""team_a_current:EXP-036""]","[""experiments/team_a_current/exp_036_etx_sparse_event_transformer.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-20,team_a_current,prior strongest ensemble/sequence slot,team_a_current:EXP-037,4 temporal folds; calibrated 1:2:4:8 wCV and LOFO,team_a_current:calibrated_temporal_4fold_wcv_1_2_4_8,unknown,"[""team_a_current:EXP-037""]","[""experiments/team_a_current/exp_037_etx_avg3_strongest.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-21,team_a_current,EXP-037 strongest-current,team_a_current:EXP-039,full 4-fold honest candidate against strongest-current; seed controls,team_a_current:calibrated_temporal_4fold_nested_lofo,unknown,"[""team_a_current:EXP-039"",""team_a_current:EXP-040"",""team_a_current:EXP-041"",""team_a_current:EXP-051"",""team_a_current:EXP-055"",""team_a_current:EXP-059"",""team_a_current:EXP-061"",""team_a_current:EXP-062"",""team_a_current:EXP-063"",""team_a_current:EXP-064"",""team_a_current:EXP-065""]","[""experiments/team_a_current/exp_039_block4_saf.md"",""experiments/team_a_current/exp_040_fresh_contrast_moe.md"",""experiments/team_a_current/exp_041_ridge15.md"",""experiments/team_a_current/exp_051_btyd_stable_production.md"",""experiments/team_a_current/exp_055_landmark_memory_etx.md"",""experiments/team_a_current/exp_059_seq65_temporal_heavy.md"",""experiments/team_a_current/exp_061_open_funnel.md"",""experiments/team_a_current/exp_062_platform_detrend.md"",""experiments/team_a_current/exp_063_occurrence_revisit.md"",""experiments/team_a_current/exp_064_event_order.md"",""experiments/team_a_current/exp_065_final_integration.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-21,team_a_current,EXP-037 strongest-current exact wCV 1.747509863,team_a_current:EXP-042,"4 temporal folds; honest candidate, amount-only and shuffled-p0 controls",team_a_current:calibrated_temporal_4fold_nested_lofo,unknown,"[""team_a_current:EXP-042"",""team_a_current:EXP-046"",""team_a_current:EXP-047""]","[""experiments/team_a_current/exp_042_zero2d_shrink.md"",""experiments/team_a_current/exp_046_tabular_backbone_refresh.md"",""experiments/team_a_current/exp_047_btyd_day_bgnbd_residual.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-21,team_a_current,paired fold-2025-10-16 sequence base,team_a_current:EXP-038,single latest fold; paired deterministic-run control,team_a_current:single_fold_protocol,unknown,"[""team_a_current:EXP-038""]","[""experiments/team_a_current/exp_038_fnl_future_funnel.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-22,team_a_current,plain SEQ01 paired base on fold 2025-10-16,team_a_current:EXP-044,single latest fold; seeds42-44; fresh-vs-volume control,team_a_current:single_fold_protocol,unknown,"[""team_a_current:EXP-044""]","[""experiments/team_a_current/exp_044_fresh_conditional_ft.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-22,team_a_current,plain paired base on fold 2025-10-16,team_a_current:EXP-045,single latest fold; true-vs-shuffled control across seeds42-44,team_a_current:single_fold_protocol,unknown,"[""team_a_current:EXP-045""]","[""experiments/team_a_current/exp_045_buyctrl_det.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-22,team_a_current,same configuration repeated,team_a_current:EXP-043,single fold 2025-10-16; two identical runs,team_a_current:single_fold_protocol,unknown,"[""team_a_current:EXP-043""]","[""experiments/team_a_current/exp_043_det_pair.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-23,team_a_current,BTYD05/FRESH candidates from EXP-047-049,team_a_current:EXP-050,production artifact/support and optimizer audit; no new CV,team_a_current:no_comparable_cv,unknown,"[""team_a_current:EXP-050""]","[""experiments/team_a_current/exp_050_btyd05_production_resolution.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-23,team_a_current,candidate rankings from prior artifact-only searches,team_a_current:EXP-048,3-fold pseudo-matched versus 4-fold standard; exact production support unavailable,team_a_current:invalid_mixed_fold_comparison,unknown,"[""team_a_current:EXP-048""]","[""experiments/team_a_current/exp_048_selection_mismatch_cv.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-23,team_a_current,standard 3-fold evaluation of BTYD05_FRESH1,team_a_current:EXP-049,same-fold 3-fold standard versus pseudo-matched,team_a_current:three_fold_protocol,unknown,"[""team_a_current:EXP-049""]","[""experiments/team_a_current/exp_049_selection_mismatch_production_followup.md""]",Chronology is within this research line; cross-line baselines are not equated by name.
2026-08-23,teammate_review,STRONGEST_CURRENT + table_core,teammate_review:TM-RUN-FIXEDSTACK-20260823,"walk-forward meta-fit on 2025-09-04/09-18/10-02/10-16, weights 1:2:4:8; first fold unchanged",teammate_review:walk_forward_4fold_wcv_1_2_4_8,unknown,"[""teammate_review:TM-RUN-FIXEDSTACK-20260823""]","[""evidence/teammate_records.jsonl#TM-RUN-FIXEDSTACK-20260823""]",Chronology is within this research line; cross-line baselines are not equated by name.
