component,family,oof_path,oof_field,oof_sha256,rows,fold_coverage,alignment,target_log_max_abs_error,provenance,test_path,test_sha256,deployable,exclusion_reason,prediction_fields_used,forbidden_activity_used
ETX-AVG3,ETX,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_ETX-AVG3.npz,z,890aef1a0967df5fb70b4546dadb77b70b4aafa08f4cae6a31a3a030f3e7bf2f,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_ETX-AVG3.json,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_ETX-01-S42-DCW.npy;C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_ETX-01-S43-DCW.npy;C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_ETX-01-S44-DCW.npy,2a9f9955503578fb48b959c7253f1d8a7de0c1ffb85704dfb2ff85253fea1c39;eba71ea4cc7eb43958fa5b3fae9ae6812052643293677f85d8acac7b86283c04;eb69c69fbabef0648ae555bcda4ada05d3ec3d7bbf8214b10fa2ebaab4a19c34,True,,z,False
ETX-AVG2,ETX,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_ETX-AVG2.npz,z,ab36c9cf57d849f08bbd66f90abf59c80a2b0710a6cf5e021789ae1e9ce7868b,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_ETX-AVG2.json,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_ETX-01-S42-DCW.npy;C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_ETX-01-S43-DCW.npy,2a9f9955503578fb48b959c7253f1d8a7de0c1ffb85704dfb2ff85253fea1c39;eba71ea4cc7eb43958fa5b3fae9ae6812052643293677f85d8acac7b86283c04,True,,z,False
ETX-01-S42,ETX,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_ETX-01-S42.npz,z,679aa17bfadbb376552c28494de625b29feebe8b4cf09b4a1c18f1e41de819fa,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_ETX-01-S42.json,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_ETX-01-S42-DCW.npy,2a9f9955503578fb48b959c7253f1d8a7de0c1ffb85704dfb2ff85253fea1c39,True,,z,False
PT-FULL-AVG3,BTYD_OTHER,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_PT-FULL-AVG3.npz,z,d9009d8d0f78cd59bd18cfea2387e8bbe2bc9061bd3a04133f703cda1b76b49c,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",reindexed,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_PT-FULL-AVG3.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
PT-OD-AVG3,BTYD_OTHER,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_PT-OD-AVG3.npz,z,b3ea10b5957a900fc28d6bf58eaf12b95de8ef5a9202cda6d70d877ee202861a,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",reindexed,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_PT-OD-AVG3.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
PT-SHUF-AVG3,BTYD_OTHER,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_PT-SHUF-AVG3.npz,z,313d05184764adb5dd9445b93ede10c3f0bb13789f6c71d0664cfb7913e25016,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",reindexed,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_PT-SHUF-AVG3.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
RIDGE15,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_RIDGE15.npz,z,99d19c2157a19733c86485452e97093fa288c10a9684f11551c60867e69aeecd,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\research\strategies\results\RIDGE15\summary.json,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_RIDGE15.npy,a67fffe58c9e3f66cf8a29a605c6485d06e37f2fe080efa7d7581deab532c6f4,True,,z,False
HOLIDAY-YOY-FAST,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_HOLIDAY-YOY-FAST.npz,z,d58b7356b71cd2aecc4b6b43fb9209010013c118db0c9eaff869cdca6bffb1fb,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",reindexed,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_HOLIDAY-YOY-FAST.json,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_HOLIDAY-YOY-FAST.npy,35b6249bbdf387740bd50bb07eea57aacf0be79008b0f34fe0fdb5fed1ac3d2e,True,,z,False
MHZ-FULL,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_MHZ-FULL.npz,z,809103c075595205c0a344ea82ff7b38d02614d0fb9c039a26438d3d8a0dd9c9,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_MHZ-FULL.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
MHZ-BASE,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_MHZ-BASE.npz,z,f56afa94287cff7c9f1ea6fce1222347ed91d30d1603c4d83ffdfcdb7f46b241,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_MHZ-BASE.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
MHZ-P30,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_MHZ-P30.npz,z,2b800c4e7d38c8b45ccad928b5289d4d357ad23574af997a0a8ce590908fe9b1,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_MHZ-P30.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
MHZ-SELF,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_MHZ-SELF.npz,z,beb22ed00dfd0346dbd12ce6fc928ff971d4515f754f73ef4eeac1ab0b304ca3,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_MHZ-SELF.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
S04-A,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S04-A.npz,z,9e44e828fe9f1586ee9880071bc5a318315f8e7cbbefb585918df0fdb1d388d3,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_S04-A.json,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_S04-A.npy,9951fae01eb18dfebfc0e5d6f84711d64c5c155d44e4819f9cfcf7ca64dc6e24,True,,z,False
S04-B,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S04-B.npz,z,d795681e74f7dfe2d83e9dedc7b7f8bbb67f1d216d62ac06dc88218f9a208163,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_S04-B.json,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_S04-B.npy,4ec5cc13f6bbf14eac4e00c2a2653731428188ca16c572858fd8b9586537b62f,True,,z,False
S04-C,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S04-C.npz,z,7cf02441b1c3c3fa4fbb874763557b695c0fbc4c94c5807b07fdc204d6e091d0,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_S04-C.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
GAP-E02-K5-G090-S42,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_GAP-E02-K5-G090-S42.npz,z,30367f3fbd655af4b4145c4736bfbe3201ac5541e110ab307aeca59520d5edc6,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_GAP-E02-K5-G090-S42.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
GAP-E10-K5-G090-S42,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_GAP-E10-K5-G090-S42.npz,z,fe827de3b49d4b0c9cf51378d8fbddcff936165e83d8fd1fabffce6bee84e450,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_GAP-E10-K5-G090-S42.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
GAP-DIST-K5-G060-S42,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_GAP-DIST-K5-G060-S42.npz,z,4ee8e5b19855221023271c89bca653dfc68c9e985a4e79527efce0a6e7acffa5,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_GAP-DIST-K5-G060-S42.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
SAMPLE-TB1-AVG3-R300,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_SAMPLE-TB1-AVG3-R300.npz,z,418a5b1827a34a0a6d92b27ec638ddf7ae9a44c29e1f1ace00632b33d4168e37,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",reindexed,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_SAMPLE-TB1-AVG3-R300.json,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\ztest_TIER-A-DIRECT-AVG3-R300.npy,5379cacdb75e9c7aa50a8ae84b2e2ca994346447e290d556353887730333bbab,True,,z,False
SAMPLE-DENSE-S3-F422-S42-R300,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_SAMPLE-DENSE-S3-F422-S42-R300.npz,z,713f593ea3e13d996471075a38fe5d736bbc011b14dac33f5b240e736756caa9,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_SAMPLE-DENSE-S3-F422-S42-R300.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
S1-ROUNDS-R600,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S1-ROUNDS-R600.npz,z,68f53ac490c4bac589efae4cb2d11ea34d994f75869807d97c137e4d2629087a,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",reindexed,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_S1-ROUNDS-R600.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
S1-ROUNDS-R300,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_S1-ROUNDS-R300.npz,z,572757bdc0b489cb213bb2f01fe993ff36b0dc72503fdaf003a291a39860e6d1,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",reindexed,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_S1-ROUNDS-R300.json,,,False,no exact TEST counterpart; OOF-reference only,z,False
BTYD:z_btyd,BTYD_OTHER,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\BTYD_STABLE_EXP051\oof_raw.npz,z_btyd,093358cc2da37fd5aa545ec3c68f693e5de1d13889bcc5006d62a5ed131f87c7,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",reindexed,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\research\strategies\results\BTYD_STABLE_EXP051\artifact_manifest.json,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\BTYD_STABLE_EXP051\test_raw.npz,5222d26166c600ba201958937d7226ba535a49a1c7aeb2a8dc3b328b437e5a43,True,,z_btyd,False
BTYD:z_strongest,BTYD_OTHER,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\BTYD_STABLE_EXP051\oof_raw.npz,z_strongest,093358cc2da37fd5aa545ec3c68f693e5de1d13889bcc5006d62a5ed131f87c7,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",reindexed,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\research\strategies\results\BTYD_STABLE_EXP051\artifact_manifest.json,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\BTYD_STABLE_EXP051\test_raw.npz,5222d26166c600ba201958937d7226ba535a49a1c7aeb2a8dc3b328b437e5a43,True,,z_strongest,False
BLOCK4:z_new_honest,BTYD_OTHER,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_BLOCK4_SAF.npz,z_new_honest,1d97523f05a0b0dddb8356de95ec0edaa9146d6b1b87549eff68b1d7385c40c4,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\research\strategies\results\BLOCK4_SAF\audit.json,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\test_BLOCK4_SAF.npz,38c684d69600c8a2ee0e7dad8a18a22d0891e1bda0762d321b0497d9e5db18ee,True,,z_new_honest,False
FRESH:z_fresh,BTYD_OTHER,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_FRESH_CONTRAST_MOE.npz,z_fresh,1fb3b8a2d0d77afd06bc529d69e32e07bd5f01060a775a7fc02fb65f6cb03cda,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\research\strategies\results\FRESH_CONTRAST\validation.json,,,False,no exact TEST counterpart; OOF-reference only,z_fresh,False
FRESH:z_vol,BTYD_OTHER,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_FRESH_CONTRAST_MOE.npz,z_vol,1fb3b8a2d0d77afd06bc529d69e32e07bd5f01060a775a7fc02fb65f6cb03cda,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\research\strategies\results\FRESH_CONTRAST\validation.json,,,False,no exact TEST counterpart; OOF-reference only,z_vol,False
FRESH:z_clean,BTYD_OTHER,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_FRESH_CONTRAST_MOE.npz,z_clean,1fb3b8a2d0d77afd06bc529d69e32e07bd5f01060a775a7fc02fb65f6cb03cda,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",direct,5.919868772963355e-08,C:\Users\Admin\Desktop\OZON-E-CUP\research\strategies\results\FRESH_CONTRAST\validation.json,,,False,no exact TEST counterpart; OOF-reference only,z_clean,False
SAMPLE-BASELINE-B-AVG3-R300,TABULAR,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\oof_SAMPLE-BASELINE-B-AVG3-R300.npz,z,418a5b1827a34a0a6d92b27ec638ddf7ae9a44c29e1f1ace00632b33d4168e37,770616,"4/4: 2025-09-04,2025-09-18,2025-10-02,2025-10-16",not loaded (deduplicated),0.0,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\report_SAMPLE-BASELINE-B-AVG3-R300.json,,,False,near-exact duplicate removed by EXP076 canonical-bank construction,none,False
